arm,chunks,cells_per_chunk,world_samples,world_air,visited,rebuild_visited,visited_over_rebuild
single,2,32,70785,69696,69696,70785,0.9846
chunked,2,32,70785,69696,34848,35937,0.9697
single,4,32,140481,139392,139392,140481,0.9922
chunked,4,32,140481,139392,34848,35937,0.9697
single,8,32,279873,278784,278784,279873,0.9961
chunked,8,32,279873,278784,34848,35937,0.9697
single,16,32,558657,557568,557568,558657,0.9981
chunked,16,32,558657,557568,34848,35937,0.9697
