# family sweep (M-001), sphere, f32
# commit a4960e4 on amd-ryzen-9-5900x-12-core at 2026-08-16T06:07:38Z
# cycles/ipc/ghz are `unavailable` where perf_event_open is not; budget 2000 ms per run
algorithm,scalar,field,samples,n_cubed,median_ms,ns_per_sample,cycles_per_sample,instructions_per_sample,ipc,ghz,vertices,triangles
subgrid_marching_tetrahedra,f32,sphere,48,110592,178.260441,1611.8746,6740.198,24426.441,3.624,4.182,7754,15504
subgrid_marching_tetrahedra,f32,sphere,64,262144,419.880971,1601.7188,6700.870,24412.981,3.643,4.184,14042,28080
subgrid_marching_tetrahedra,f32,sphere,96,884736,1399.308389,1581.6112,6614.761,24329.914,3.678,4.182,31862,63720
subgrid_marching_tetrahedra,f32,sphere,128,2097152,3299.252277,1573.2061,6569.618,24278.908,3.696,4.176,56786,113568
surface_nets,f32,sphere,16,4096,0.032511,7.9373,33.790,178.539,5.284,4.257,266,528
surface_nets,f32,sphere,24,13824,0.108021,7.8140,32.968,173.615,5.266,4.219,674,1344
surface_nets,f32,sphere,32,32768,0.266722,8.1397,34.273,166.636,4.862,4.211,1130,2256
surface_nets,f32,sphere,48,110592,0.815746,7.3762,30.836,162.272,5.262,4.180,2594,5184
surface_nets,f32,sphere,64,262144,2.303227,8.7861,36.761,160.219,4.358,4.184,4730,9456
surface_nets,f32,sphere,96,884736,7.720650,8.7265,36.458,157.772,4.327,4.178,10682,21360
surface_nets,f32,sphere,128,2097152,48.512644,23.1326,96.764,156.543,1.618,4.183,19010,38016
surface_nets,f32,sphere,192,7077888,73.062072,10.3226,43.137,155.343,3.601,4.179,43058,86112
surface_nets,f32,sphere,256,16777216,221.410925,13.1971,55.192,154.733,2.804,4.182,76778,153552
