strokes,q_min,q_p01,q_median,eikonal_pct,trace_steps_mean
0,0.577350,0.707107,1.000000,100.000,5.167
1,0.577350,0.707107,1.000000,100.000,5.167
2,0.577350,0.707107,1.000000,100.000,5.167
4,0.181488,0.707107,1.000000,100.000,5.174
8,0.156512,0.707107,1.000000,100.000,5.201
16,0.156512,0.540779,1.000000,100.000,5.250
32,0.072567,0.323130,1.000000,100.000,5.368
64,0.045106,0.239601,1.000000,100.000,5.514
128,0.005233,0.151750,1.000000,100.000,7.160
256,0.004033,0.078099,1.000000,100.000,9.944
