field,operator,level,samples,triangles,worst
fbm_terrain,mean,3,9,198,0.83055047
noise_cavity,mean,0,65,58112,0.10940806
noise_cavity,mean,1,33,9968,0.27873922
noise_cavity,mean,2,17,1284,0.49547032
noise_cavity,mean,3,9,248,0.31302998
ball_drilled_g1,mean,0,65,26448,0.01265901
ball_drilled_g1,mean,1,33,6624,0.01181896
ball_drilled_g1,mean,2,17,1648,0.07355339
ball_drilled_g1,mean,3,9,328,0.28000000
graph_theta_g2,mean,0,65,10408,0.01441777
graph_theta_g2,mean,1,33,2520,0.03624366
graph_theta_g2,mean,2,17,608,0.08318851
graph_theta_g2,mean,3,9,0,0.00000000
ball_drilled_g2,mean,0,65,28280,0.00854095
ball_drilled_g2,mean,1,33,7272,0.03154430
ball_drilled_g2,mean,2,17,1832,0.08596289
ball_drilled_g2,mean,3,9,312,0.23172366
ball_drilled_g3,mean,0,65,30952,0.01324889
ball_drilled_g3,mean,1,33,7944,0.04893003
ball_drilled_g3,mean,2,17,1888,0.08596289
ball_drilled_g3,mean,3,9,312,0.23808045
graph_k4_g3,mean,0,65,12944,0.00120965
graph_k4_g3,mean,1,33,3104,0.02743358
graph_k4_g3,mean,2,17,656,0.06591310
graph_k4_g3,mean,3,9,32,0.24204610
graph_cube_g5,mean,0,65,17152,0.00144326
graph_cube_g5,mean,1,33,4864,0.01846131
graph_cube_g5,mean,2,17,1408,0.03526306
graph_cube_g5,mean,3,9,0,0.00000000
sphere,tent,0,65,9512,0.00045788
sphere,tent,1,33,2312,0.00379022
sphere,tent,2,17,536,0.01649770
sphere,tent,3,9,104,0.05573114
torus,tent,0,65,8416,0.00145659
torus,tent,1,33,2256,0.00982690
torus,tent,2,17,640,0.04120005
torus,tent,3,9,96,0.28456222
box_exact,tent,0,65,11528,0.00000000
box_exact,tent,1,33,2696,0.00000000
box_exact,tent,2,17,584,0.00405698
box_exact,tent,3,9,104,0.01071202
csg_difference,tent,0,65,12020,0.00062969
csg_difference,tent,1,33,2768,0.02254006
csg_difference,tent,2,17,584,0.02290748
csg_difference,tent,3,9,104,0.13162840
thin_plate,tent,0,65,4088,0.00000000
thin_plate,tent,1,33,0,0.00000000
thin_plate,tent,2,17,0,0.00000000
thin_plate,tent,3,9,0,0.00000000
gyroid,tent,0,65,43116,0.11371631
gyroid,tent,1,33,10296,0.21532309
gyroid,tent,2,17,2260,0.37279860
gyroid,tent,3,9,460,0.92681032
fbm_terrain,tent,0,65,16884,0.07275794
fbm_terrain,tent,1,33,3658,0.31115381
fbm_terrain,tent,2,17,812,0.48602545
fbm_terrain,tent,3,9,214,0.81011022
noise_cavity,tent,0,65,58112,0.10940806
noise_cavity,tent,1,33,10664,0.26390533
noise_cavity,tent,2,17,1364,0.47362100
noise_cavity,tent,3,9,264,0.31171649
ball_drilled_g1,tent,0,65,26448,0.01265901
ball_drilled_g1,tent,1,33,6688,0.01089769
ball_drilled_g1,tent,2,17,1648,0.07182657
ball_drilled_g1,tent,3,9,368,0.24199599
graph_theta_g2,tent,0,65,10408,0.01441777
graph_theta_g2,tent,1,33,2520,0.02871287
graph_theta_g2,tent,2,17,624,0.06171489
graph_theta_g2,tent,3,9,56,0.25302359
ball_drilled_g2,tent,0,65,28280,0.00854095
ball_drilled_g2,tent,1,33,7272,0.03213351
ball_drilled_g2,tent,2,17,1832,0.07355339
