field,samples,triangles,cpu_ms,upload_ms,count_ms,scan_ms,emit_ms,geometry_readback_ms,gpu_total_ms,gpu_compute_ms,gpu_field_total_ms
sphere,17,536,0.059260,0.021861,0.027551,0.124881,0.028460,0.096851,0.299604,0.056011,0.218962
sphere,33,2312,0.340023,0.124941,0.025290,0.122431,0.027300,0.117751,0.417713,0.052590,0.224991
sphere,49,5240,1.049328,0.390823,0.022160,0.177791,0.027670,0.161852,0.780296,0.049830,0.264972
sphere,65,9512,2.443999,0.897977,0.019270,0.181042,0.025350,0.225102,1.348741,0.044620,0.272022
sphere,97,21464,8.618436,3.045234,0.022040,0.238611,0.029121,0.380323,3.715329,0.051161,0.327282
sphere,129,38456,20.141495,7.323576,0.019660,0.365713,0.025250,0.635185,8.369384,0.044910,0.535714
