epsilon_rel,ambiguous,flipped,disagree,both,expected
1e-1,6348,1818,1005,156,287.8214
1e-2,6348,81,1005,2,12.8237
1e-3,6348,3,1005,0,0.4750
1e-4,6348,0,1005,0,0.0000
1e-5,6348,0,1005,0,0.0000
