field,algorithm,samples,median_ms,vertices,triangles,non_manifold_edges,self_intersections_per_1k,hausdorff
gyroid,subgrid_marching_tetrahedra,33,1006.679274,16158,32364,0,0,
gyroid,marching_cubes,65,13.832089,21534,43116,0,,
gyroid,marching_cubes+decider,65,13.884630,21537,43122,0,,
gyroid,marching_tetrahedra,65,20.828055,62802,125676,0,,
gyroid,surface_nets,65,21.726711,21432,43068,69,,
gyroid,dual_contouring,65,48.376333,21432,43068,69,,
gyroid,manifold_dual_contouring,65,50.630370,21510,43068,0,,
gyroid,subgrid_marching_tetrahedra,65,7088.168527,64104,128256,0,,
fbm_terrain,marching_cubes,33,7.338368,2069,3946,0,0,
fbm_terrain,marching_cubes+decider,33,7.356938,2069,3946,0,0,
fbm_terrain,marching_tetrahedra,33,7.914993,5935,11544,0,0,
fbm_terrain,surface_nets,33,8.233356,1958,3758,15,0,
fbm_terrain,dual_contouring,33,11.813773,1958,3758,15,13.837147418839809,
fbm_terrain,manifold_dual_contouring,33,12.164766,1973,3758,0,15.433741351782864,
fbm_terrain,subgrid_marching_tetrahedra,33,3804.713816,6537,12736,8,0,
fbm_terrain,marching_cubes,65,54.378930,8638,16884,0,,
fbm_terrain,marching_cubes+decider,65,54.565281,8638,16884,0,,
fbm_terrain,marching_tetrahedra,65,55.617710,24827,48994,0,,
fbm_terrain,surface_nets,65,62.095051,8413,16496,29,,
fbm_terrain,dual_contouring,65,77.326441,8413,16496,29,,
fbm_terrain,manifold_dual_contouring,65,78.060146,8442,16496,0,,
fbm_terrain,subgrid_marching_tetrahedra,65,29177.750437,25756,50840,12,,
noise_cavity,marching_cubes,33,2.642083,6522,13236,0,0,
noise_cavity,marching_cubes+decider,33,2.751634,6536,13052,0,0,
noise_cavity,marching_tetrahedra,33,4.483870,17862,35832,0,0,
noise_cavity,surface_nets,33,3.689223,6176,13044,297,0,
noise_cavity,dual_contouring,33,12.898884,6176,13044,297,29.745476847592762,
noise_cavity,manifold_dual_contouring,33,13.881254,6426,13044,64,45.23152407237044,
noise_cavity,subgrid_marching_tetrahedra,33,1388.923475,22247,45082,258,0,
noise_cavity,marching_cubes,65,17.578007,28882,58112,0,,
noise_cavity,marching_cubes+decider,65,17.815689,28890,58104,0,,
noise_cavity,marching_tetrahedra,65,27.064860,83208,166848,0,,
noise_cavity,surface_nets,65,25.920801,28375,57764,322,,
noise_cavity,dual_contouring,65,64.981238,28375,57764,322,,
noise_cavity,manifold_dual_contouring,65,69.939112,28708,57764,26,,
noise_cavity,subgrid_marching_tetrahedra,65,9507.665834,89397,179326,165,,
