# experiment P-98 (R-098)
# hypothesis: M-378 NAMED THIS AND EXPLICITLY REFUSED TO SUBSTITUTE IT FOR THE VERDICT. The Plantinga-Vegter predicate costs 21% of extraction standalone, against a registered 5% ceiling -- but the BARE EIGHT- CORNER GATHER IS 0.51 ms ON EVERY SINGLE ARM, and two thirds of the standalone cost is re-reading corners the extractor has already read. A version fused into the extractor's existing gather would pay 0.0658, which is still above 5% but by 1.3 points rather than 16. The entry states that as a number and files nothing. This is that ticket. (C1) Fused into the extraction gather, the predicate costs AT MOST 0.0658 of extraction at 65^3 on all eight fields -- the figure M-378 derived, used as a bar rather than a target. (C2) The certification result is IDENTICAL to the standalone predicate on all 25 rows of p-62.csv plus the 400,000-cell random arm -- same certified set, same zero unsound. (C3) At 0.0658 it is shippable as a default rather than a debug gate: the certified fraction is reportable per chunk at NO EXTRA PASS, and a consumer can read 'this chunk is 87% certified' from the existing report. SHARE: C1 is a share of extraction, which is exactly how M-378 stated it.
# falsified by: C1 by above 0.0658, which would mean the derivation double-counted something and the fused cost has a term the decomposition missed. C2 by any difference, which would mean fusing changed the arithmetic and the soundness proof does not carry over. C3 by needing a second pass to aggregate, which puts it back above the ceiling. VACUITY CONTROL: the random arm from p-62.csv is inherited verbatim -- 2,202 tunnel and 180 twelve-vertex cells -- because the eight reference fields alone gave seven tunnel cells in 172,032, which M-378 itself called 'a hair from M-44's vacuous zero'.
# commit 0527d48 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:32:12Z
field,resolution,fused_predicate_ms,standalone_predicate_ms,bare_gather_ms,extract_ms,fused_share,standalone_share,certified_cells_fused,certified_cells_standalone,set_difference,unsound_certificates,tunnel_cells,twelve_vertex_cells,extra_passes,c1_holds,c2_holds,c3_holds,active_cells,bar,bar_budget_ms,c1_holds_upper_bound,cells,cells_visited,certified_active_fused,chunk_active_sum,chunk_cells,chunk_certified_sum,chunk_edge_cells,chunked_fused_ms,chunks,clause_one_margin_ms,clause_two_evals,clause_two_ns_per_cell,cpu_mhz,extra_passes_shipped_api,floor_share,forced_margin_ms,fused_predicate_median_ms,fused_share_upper,fused_share_vs_signs,fused_vs_signs_ms,global_fraction,hidden_population,isotopy_report_ms,loads_extraction,loads_fused_additional,loads_standalone_additional,mean_chunk_fraction,modelled_marginal_ms,modelled_share,mutant_set_difference,refused_cells,reps,resolution_floor_ms,sweeps,unsound_fused,unsound_if_certify_all,unsound_mutant,unsound_standalone,walk_case_ms,walk_forced_ms,walk_fused_ms,walk_signs_ms
box_exact,33,0.0216,0.0918,0.0710,0.3445,0.062599,0.266428,32592,32592,0,0,0,0,0,true,true,true,1352,0.0658,0.0227,true,32768,32768,1176,1352,512,1176,8,0.1677,64,0.0160,1352,11.7780,4200.1,1,0.000116,0.3859,0.0217,0.062715,0.304537,0.1049,0.869822,2389,0.1324,262144,0,262144,0.983728,0.0319,0.092613,392,176,25,0.0000,9,0,0,0,0,0.1264,0.5124,0.1480,0.0431
csg_difference,33,0.0220,0.0922,0.0635,0.4247,0.051864,0.217021,32569,32569,0,0,0,0,0,true,true,true,1388,0.0658,0.0279,true,32768,32768,1189,1388,512,1189,8,0.1681,64,0.0195,1388,11.8040,4197.3,1,0.000136,0.3868,0.0223,0.052000,0.248366,0.1055,0.856628,2389,0.1342,262144,0,262144,0.982288,0.0359,0.084544,339,199,25,0.0001,9,0,0,0,0,0.1266,0.5134,0.1486,0.0431
thin_plate,33,0.0124,0.0887,0.0635,0.2955,0.042111,0.300375,32768,32768,0,0,0,0,0,true,true,true,512,0.0658,0.0194,true,32768,32768,512,512,512,512,8,0.1579,64,0.0149,512,11.5369,4200.1,1,0.001414,0.3780,0.0125,0.043525,0.327936,0.0969,1.000000,2389,0.1296,262144,0,262144,1.000000,0.0208,0.070354,0,0,25,0.0004,9,0,0,0,0,0.1275,0.5056,0.1400,0.0431
gyroid,33,0.0822,0.1074,0.0639,2.1956,0.037455,0.048922,32398,32398,0,0,0,0,0,true,true,true,5240,0.0658,0.1445,true,32768,32768,4870,5240,512,4870,8,0.2078,64,0.0159,5240,14.1434,4200.1,1,0.000003,0.4635,0.0826,0.037458,0.075690,0.1662,0.929389,2389,0.1746,262144,0,262144,0.936921,0.0900,0.041009,251,370,25,0.0000,9,0,0,0,0,0.1270,0.5905,0.2093,0.0431
fbm_terrain,33,0.0291,0.0931,0.0710,7.1569,0.004065,0.013014,32768,32768,0,0,0,0,0,true,true,true,1958,0.0658,0.4709,true,32768,32768,1958,1958,512,1958,8,0.1799,64,0.0161,1958,11.1867,4197.6,1,0.000017,0.3666,0.0290,0.004082,0.015795,0.1130,1.000000,2389,0.1365,262144,0,262144,1.000000,0.0380,0.005314,0,0,25,0.0001,9,0,0,0,0,0.1270,0.4936,0.1561,0.0431
noise_cavity,33,0.1120,0.1080,0.0763,2.6480,0.042302,0.040770,29593,29593,0,0,4,0,0,true,true,true,6176,0.0658,0.1742,true,32768,32768,3001,6176,512,3001,8,0.2186,64,0.0163,6176,14.0001,4195.6,1,0.000067,0.4588,0.1320,0.042369,0.073952,0.1958,0.485913,2389,0.1876,262144,0,262144,0.616394,0.1028,0.038816,695,3175,25,0.0002,9,0,4,0,0,0.1269,0.5856,0.2389,0.0431
sphere,65,0.1283,0.7289,0.5064,2.4485,0.052404,0.297711,262144,262144,0,0,0,0,0,true,true,true,4760,0.0658,0.1611,true,262144,262144,4760,4760,512,4760,8,2.1206,512,0.1268,4760,11.5841,4200.1,1,0.000401,3.0367,0.1328,0.052805,0.348604,0.8535,1.000000,2389,1.0315,2097152,0,2097152,1.000000,0.1820,0.074320,0,0,25,0.0010,1,0,0,0,0,1.0120,4.0487,1.1403,0.2868
torus,65,0.1362,0.7334,0.5675,2.9205,0.046653,0.251128,262144,262144,0,0,0,0,0,true,true,true,4208,0.0658,0.1922,true,262144,262144,4208,4208,512,4208,8,1.3186,512,0.1258,4208,11.4710,4200.1,1,0.000167,3.0070,0.1370,0.046820,0.295295,0.8624,1.000000,2389,1.0172,2097152,0,2097152,1.000000,0.1740,0.059595,0,0,25,0.0005,1,0,0,0,0,1.0130,4.0201,1.1493,0.2869
box_exact,65,0.1373,0.7273,0.5668,2.4819,0.055328,0.293057,261776,261776,0,0,0,0,0,true,true,true,5768,0.0658,0.1633,true,262144,262144,5400,5768,512,5400,8,1.3423,512,0.1262,5768,11.9046,4200.1,1,0.000282,3.1207,0.1358,0.055610,0.347257,0.8619,0.936200,2389,1.0036,2097152,0,2097152,0.994841,0.1949,0.078522,1800,368,25,0.0007,1,0,0,0,0,1.0114,4.1321,1.1487,0.2868
csg_difference,65,0.1426,0.7340,0.5062,3.0098,0.047372,0.243884,261708,261708,0,0,0,0,0,true,true,true,6014,0.0658,0.1980,true,262144,262144,5578,6014,512,5578,8,1.3455,512,0.1256,6014,11.9717,4202.3,1,0.000097,3.1383,0.1444,0.047469,0.288837,0.8693,0.927502,2389,1.0281,2097152,0,2097152,0.989396,0.1976,0.065642,1566,436,25,0.0003,1,0,0,0,0,1.0138,4.1521,1.1564,0.2870
thin_plate,65,0.1019,1.3800,0.5069,2.2689,0.044898,0.608243,262144,262144,0,0,0,0,0,true,true,true,2048,0.0658,0.1493,true,262144,262144,2048,2048,512,2048,8,1.2902,512,0.1260,2048,11.7697,4200.1,1,0.000331,3.0853,0.1104,0.045229,0.364466,0.8269,1.000000,2389,0.9906,2097152,0,2097152,1.000000,0.1501,0.066145,0,0,25,0.0008,1,0,0,0,0,1.0120,4.0973,1.1138,0.2869
gyroid,65,0.4555,0.9820,0.5051,13.1726,0.034577,0.074551,261364,261364,0,0,0,0,0,true,true,true,21432,0.0658,0.8668,true,262144,262144,20652,21432,512,20652,8,1.6439,512,0.1255,21432,13.5061,4196.0,1,0.000005,3.5405,0.4574,0.034582,0.089451,1.1783,0.963606,2389,1.2191,2097152,0,2097152,0.966018,0.4150,0.031501,393,780,25,0.0001,1,0,0,0,0,1.0094,4.5500,1.4649,0.2866
fbm_terrain,65,0.2552,0.8067,0.5664,53.0894,0.004806,0.015195,262144,262144,0,0,0,0,0,true,true,true,8413,0.0658,3.4933,true,262144,262144,8413,8413,512,8413,8,1.4445,512,0.1255,8413,11.3143,4193.3,1,0.000014,2.9660,0.2604,0.004820,0.018444,0.9792,1.000000,2389,1.0660,2097152,0,2097152,1.000000,0.2207,0.004156,0,0,25,0.0008,1,0,0,0,0,1.0100,3.9760,1.2652,0.2860
noise_cavity,65,0.8395,1.2894,0.5674,17.3901,0.048276,0.074145,256474,256474,0,0,0,0,0,true,true,true,28375,0.0658,1.1443,true,262144,262144,22705,28375,512,22705,8,2.0413,512,0.1270,28375,14.5956,4200.1,1,0.000038,3.8261,0.8411,0.048314,0.089819,1.5620,0.800176,2389,1.4946,2097152,0,2097152,0.929270,0.5412,0.031121,2856,5670,25,0.0007,1,0,0,0,0,1.0096,4.8357,1.8491,0.2871
random_cells,0,0.0000,0.0000,0.0000,0.0000,NaN,NaN,22706,22706,0,0,2202,180,0,true,true,true,396865,0.0658,0.0000,true,400000,400000,19571,396865,800,19571,8,0.0000,500,0.0000,0,0.0000,4200.0,1,NaN,0.0000,0.0000,NaN,NaN,0.0000,0.049314,2389,0.0000,0,0,0,0.049313,0.0000,NaN,15578,377294,25,0.0000,0,0,2382,0,0,0.0000,0.0000,0.0000,0.0000
