# experiment P-49 (R-045)
# hypothesis: The crate can say whether two places are connected and cannot say how big a thing fits between them. R-022a's Air tracker answers 'is this sealed'; a game asks 'can the player get through', and that is a bottleneck value rather than a boolean: for a pair of chunk faces, the maximum over air paths of the minimum distance-to-solid along the path. It is computable by a monotone union-find over air voxels processed in DESCENDING (field value, grid index), which is a total order and therefore deterministic with no PRNG, no atomics and no HashMap -- the same discipline the crate already applies to its weld. The output is a 6x6 symmetric matrix of face-to-face apertures plus a reachability mask, which is the composable boundary summary: neighbouring chunks combine their matrices with no global solve. Clause one, against exact ground truth: on a BoxExact slab with a Capsule of radius r subtracted along x, for r of 2, 4 and 8 cells, the reported -x/+x aperture equals r to within one cell size, and every other face pair reports unreachable. Clause two, on a real field: the capped gyroid at 65 samples per axis reports all six faces mutually reachable -- it is a bicontinuous triply periodic surface, so a disconnected pair is a proven bug in the instrument, not a property of the field -- with a positive aperture on all 15 pairs. Clause three, cost: the whole 6x6 computation costs under 2x a Marching Cubes extraction of the same grid.
# falsified by: An aperture off by more than one cell on the drilled channel, where the answer is known exactly and the instrument has nowhere to hide -- that would mean the union-find is not computing the bottleneck it claims. Or any face pair reported reachable on the slab that is not, which is the unsound direction and is fatal for a clearance claim a game would gate movement on. Or a gyroid pair reported unreachable. Or cost at or above 2x, which prices a per-chunk summary above the mesh it summarises.
# commit ceda7c6 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T19:08:18Z
fixture,samples_per_axis,channel_radius_cells,aperture_reported_cells,aperture_error_cells,reachable_pairs,expected_reachable_pairs,false_reachable_pairs,aperture_ns,extract_ns,cost_ratio,air_census_agrees,air_samples,air_samples_expected,air_samples_visited,analytic_gradient,aperture_matrix_cells,aperture_max_cells,aperture_min_cells,aperture_ns_full,aperture_ns_marginal,connectivity,cost_ratio_full,cost_ratio_marginal,deterministic,loadavg_1min,mc_triangles,missed_reachable_pairs,reps
slab_r2,65,2,2.000000,0.000000,1,1,0,3153195,7104876,0.443807,true,585,585,585,false,-x/+x=2.0000 -x/-y=unreachable -x/+y=unreachable -x/-z=unreachable -x/+z=unreachable +x/-y=unreachable +x/+y=unreachable +x/-z=unreachable +x/+z=unreachable -y/+y=unreachable -y/-z=unreachable -y/+z=unreachable +y/-z=unreachable +y/+z=unreachable -z/+z=unreachable,2.000000,2.000000,2841822,163121,6,0.399982,0.022959,true,6.49,2560,0,7
slab_r4,65,4,4.000000,0.000000,1,1,0,4066892,7322978,0.555360,true,2925,2925,2925,false,-x/+x=4.0000 -x/-y=unreachable -x/+y=unreachable -x/-z=unreachable -x/+z=unreachable +x/-y=unreachable +x/+y=unreachable +x/-z=unreachable +x/+z=unreachable -y/+y=unreachable -y/-z=unreachable -y/+z=unreachable +y/-z=unreachable +y/+z=unreachable -z/+z=unreachable,4.000000,4.000000,4061902,278872,6,0.554679,0.038082,true,6.49,4608,0,7
slab_r8,65,8,8.000000,0.000000,1,1,0,4568166,7772552,0.587731,true,12545,12545,12545,false,-x/+x=8.0000 -x/-y=unreachable -x/+y=unreachable -x/-z=unreachable -x/+z=unreachable +x/-y=unreachable +x/+y=unreachable +x/-z=unreachable +x/+z=unreachable -y/+y=unreachable -y/-z=unreachable -y/+z=unreachable +y/-z=unreachable +y/+z=unreachable -z/+z=unreachable,8.000000,8.000000,4567406,781766,6,0.587633,0.100580,true,6.49,8704,0,7
gyroid_capped,65,n/a,17.826263,n/a,15,15,0,24760326,22348937,1.107897,n/a,231421,n/a,12101,true,-x/+x=17.8263 -x/-y=27.9971 -x/+y=27.9971 -x/-z=27.9971 -x/+z=27.9971 +x/-y=27.9971 +x/+y=27.9971 +x/-z=27.9971 +x/+z=27.9971 -y/+y=17.8263 -y/-z=27.9971 -y/+z=27.9971 +y/-z=27.9971 +y/+z=27.9971 -z/+z=17.8263,27.997054,17.826263,33213152,8739019,6,1.486118,0.391026,true,6.49,43116,0,7
gyroid_uncapped,65,n/a,6.394219,n/a,15,15,0,20659313,24912176,0.829286,n/a,137312,n/a,6331,true,-x/+x=6.3942 -x/-y=6.4134 -x/+y=6.4014 -x/-z=6.4134 -x/+z=6.8280 +x/-y=6.8280 +x/+y=6.8347 +x/-z=6.4014 +x/+z=6.8347 -y/+y=6.3942 -y/-z=6.4134 -y/+z=6.4014 +y/-z=6.8280 +y/+z=6.8347 -z/+z=6.3942,6.834664,6.394219,27425816,5256632,6,1.100900,0.211007,true,6.49,88560,0,7
