# experiment P-138 (R-138)
# hypothesis: The 2026-08-23 memo killed Bernstein-Bezier form for the trilinear and said explicitly: revisit the entire hypothesis if the crate ever adopts a tricubic reconstruction filter. P-157 may propose exactly that, so the price should be on the table first. (C1) The mixed volume for gradf = 0 with a tricubic reconstruction is computed and reported, giving the critical-point bound that would replace the trilinear's 2. (C2) The Bernstein-form arguments the memo killed are re-checked at degree 3 per variable and reported as alive or dead, with the specific reason -- the memo predicts alive, and a prediction registered before the check is worth more than one after. SHARE: none -- this prices a decision, it does not make one.
# falsified by: C1 by a mixed volume that makes the tricubic case space computationally hopeless, which would be a strong argument against P-157 and should be said plainly. C2 by the Bernstein arguments staying dead at degree 3, which would contradict the memo's own prediction. VACUITY CONTROL: the trilinear must be run through the same pipeline and reproduce MV = 2, or the tricubic number has no calibration.
# commit f72384f on amd-ryzen-9-5900x-12-core at 2026-08-30T09:28:17Z
reconstruction,degree_per_variable,mixed_volume,critical_points_bound,bernstein_route_alive,subdivision_exactness,estimated_case_count,c1_holds,c2_holds,bernstein_reason,case_classes_lower_bound,case_count_decimal,case_space_tractable,control_points_matching_samples,control_points_total,corner_sites_matching,degenerate_nets,enclosure_narrowed_instances,enclosure_shrink_ppm_max,enclosure_shrink_ppm_min,hidden_edge_sign_changes,instances,is_control,max_exact_magnitude,mv_permanent,mv_routes_agree,mv_vs_trilinear,net_is_the_samples,net_sign_bits,newton_boxes,ram_bytes_log2,seed,sharpness_theorems_vacuous,signs_are_the_case_index,subdivision_sites_matching,subdivision_sites_total,trilinear_case_classes,trilinear_case_group_order
trilinear,1,2,2,dead,exact_resampling,2^8,true,true,dead|coefficients_are_the_samples|subdivision_is_resampling|signs_are_the_case_index|sharpness_theorems_vacuous,3,256,true,16384,16384,16384,0,0,0,0,0,2048,true,576,2,true,1.000000,true,8,0x1x1|1x0x1|1x1x0,35,5778456113849643833,true,true,131072,131072,14,96
triquadratic,2,29,29,alive,inexact_strict_overestimate,2^27,true,true,alive|control_net_is_not_the_samples|subdivision_strictly_refines|signs_finer_than_the_case_index|sharpness_theorems_bite,1398102,134217728,true,17052,55296,16384,0,1623,500000,0,6060,2048,false,2359296,29,true,14.500000,false,27,1x2x2|2x1x2|2x2x1,35,5778456113849643834,false,false,133732,442368,14,96
tricubic,3,116,116,alive,inexact_strict_overestimate,2^64,true,true,alive|control_net_is_not_the_samples|subdivision_strictly_refines|signs_finer_than_the_case_index|sharpness_theorems_bite,192153584101141163,18446744073709551616,false,16555,131072,16384,0,1764,444444,0,9223,2048,false,46438023168,116,true,58.000000,false,64,2x3x3|3x2x3|3x3x2,35,5778456113849643835,false,false,131747,1048576,14,96
