# experiment P-173 (R-173)
# hypothesis: Hodge, Helmholtz, integrability and irrotational are zero across every file in this repository, and the corpus holds the machinery only as flow visualisation. A HermiteCell's <=12 edge normals are samples of gradf, and a true gradient field is curl-free -- so the curl residual over those edges is a direct, per-cell measure of 'these normals cannot come from one smooth sheet', computable in a few dozen flops on a struct the crate already builds. It has a reason to fire where the crate already hurts: CSG min/max makes the gradient discontinuous. (C1) The curl residual costs under 2% of extraction. (C2) It separates the cells M-60 says need a second vertex from those that do not -- AUC above 0.8 -- on gyroid and fbm_terrain, the only two fields where M-60's rate is non-zero, with the other five as a zero control. (C3) A per-cell lambda derived from the residual beats the global lambda = 0.01 on at least one of sharpness or self-intersection count, without losing on the other. SHARE: C1 moves the vertex-placement stage; C3 moves the same stage's quality, not its cost.
# falsified by: C1 by above 2%. C2 by AUC below 0.8, which would mean inconsistency and multi-sheet-ness are different phenomena and the residual predicts nothing M-60 cares about. C3 by the per-cell lambda losing on either axis, which would vindicate the global constant and is a perfectly good result. VACUITY CONTROL: the five fields with zero second-vertex cells must be included and must report near-zero residual, or C2's separation is measured on a population with no negatives.
# commit a8d381e on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:01Z
field,resolution,curl_residual,curl_residual_normalised,cells,second_vertex_cells,separation_auc,lambda_global,lambda_per_cell,qef_residual_delta,sharpness_delta,self_intersections_delta,curl_ms,curl_share,c1_holds,c2_holds,c3_holds,auc_bar,c1_holds_global,c1_holds_sampled,c1_rows_held,c2_holds_global,c2_rows_held,c3_holds_global,c3_rows_held,complete_faces_mean,control_ceiling,cost_ceiling,curl_ms_max,curl_ms_min,curl_ms_sampled,curl_share_sampled,dc_vertices,extra_vertices_measured,extra_vertices_predicted,extract_ms,extract_ms_max,extract_ms_min,lambda_cell_max,lambda_cell_min,lambda_max,lambda_min,lambda_score_mean,lambda_unit_circulation,mdc_vertices,mean_residual_second_vertex,mean_residual_single_vertex,mirror_mismatches,mirror_vertices,over_shipped_lambda_share,qef_residual_global,qef_residual_per_cell,repeats,residual_max,residual_median,reversal_floor,reversal_floor_cells,second_vertex_share,self_intersections_global,self_intersections_per_cell,separation_auc_reachable,sharpness_delta_top_decile,sharpness_global,sharpness_per_cell,sharpness_worst_global,sharpness_worst_per_cell,triangles
csg_difference,25,0.119169130,0.012162648,740,0,unreachable,0.010000000,0.001537778,0.000122399,0.000808597,0,0.003740,0.006489518,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.003830,0.003730,0.182081,0.315940616,740,0,0,0.576314,0.596924,0.569734,0.100000000,0.001000000,0.1,0.001,0.093446866,1,740,0.000000000,0.012162648,0,740,0.101351,0.000282672,0.000405072,5,0.175084095,0.000000000,0.408248290,0,0.000000000,0,0,false,0.011220491,0.005624474,0.006433071,0.077267510,0.077657927,1476
csg_difference,33,0.081249917,0.008292535,1388,0,unreachable,0.010000000,0.001338228,-0.000004432,0.000945409,0,0.007210,0.006273231,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.007410,0.007190,0.342072,0.297627831,1388,0,0,1.149328,1.161148,1.146089,0.100000000,0.001000000,0.1,0.001,0.063265103,1,1388,0.000000000,0.008292535,0,1388,0.064841,0.001625722,0.001621290,5,0.171295537,0.000000000,0.408248290,0,0.000000000,0,0,false,0.011700633,0.004146024,0.005091433,0.045623617,0.077422638,2772
thin_plate,17,0.000000000,0.000000000,128,0,unreachable,0.010000000,0.001000000,-0.000010003,-0.000060502,0,0.000670,0.006654682,true,true,true,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.000680,0.000670,0.024010,0.238475979,128,0,0,0.100681,0.103441,0.100040,0.001000000,0.001000000,0.1,0.001,0.000000000,1,128,0.000000000,0.000000000,0,128,0.000000,0.000010105,0.000000102,5,0.000000000,0.000000000,0.408248290,0,0.000000000,0,0,false,-0.000158097,0.000067269,0.000006766,0.000330033,0.000033300,252
thin_plate,25,0.000000000,0.000000000,288,0,unreachable,0.010000000,0.001000000,-0.000005825,-0.000058982,0,0.001470,0.005918065,true,true,true,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.001490,0.001470,0.054070,0.217680119,288,0,0,0.248392,0.252342,0.246941,0.001000000,0.001000000,0.1,0.001,0.000000000,1,288,0.000000000,0.000000000,0,288,0.000000,0.000005884,0.000000060,5,0.000000000,0.000000000,0.408248290,0,0.000000000,0,0,false,-0.000189456,0.000065576,0.000006593,0.000495050,0.000049950,572
thin_plate,33,0.000000000,0.000000000,512,0,unreachable,0.010000000,0.001000000,-0.000004061,-0.000058222,0,0.002590,0.005363729,true,true,true,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.002620,0.002590,0.096051,0.198915657,512,0,0,0.482873,0.483764,0.479123,0.001000000,0.001000000,0.1,0.001,0.000000000,1,512,0.000000000,0.000000000,0,512,0.000000,0.000004103,0.000000042,5,0.000000000,0.000000000,0.408248290,0,0.000000000,0,0,false,-0.000182563,0.000064729,0.000006507,0.000660066,0.000066600,1020
gyroid,17,0.410902630,0.041937574,1214,34,0.711415753,0.010000000,0.005359843,-0.003313679,-0.002438832,-9,0.006440,0.003005097,true,false,true,0.8,true,false,24,false,16,false,12,0.054366,0.25,0.02,0.006601,0.006330,1.140038,0.531975814,1214,38,38,2.143026,2.157866,2.137425,0.100000000,0.001000679,0.1,0.001,0.364576027,1,1252,0.070368607,0.041118375,0,1214,0.289127,0.045277807,0.041964128,5,0.190475461,0.020244329,0.408248290,0,0.028006590,18,9,true,-0.038795208,0.049265426,0.046826594,0.692464679,0.683065958,2520
gyroid,25,0.287623725,0.029355474,2879,49,0.714855412,0.010000000,0.003194000,-0.000724856,0.001627561,-9,0.015720,0.003187060,true,false,false,0.8,true,false,24,false,16,false,12,0.029177,0.25,0.02,0.015860,0.015371,2.642569,0.535752350,2879,59,59,4.932445,4.950446,4.929666,0.100000000,0.001000083,0.1,0.001,0.252167433,1,2938,0.080208327,0.028474982,0,2879,0.201111,0.031901991,0.031177135,5,0.238796492,0.011562144,0.408248290,0,0.017019799,42,33,true,-0.015825203,0.030198569,0.031826130,0.656862856,0.648645223,5880
gyroid,33,0.210407869,0.021474663,5240,28,0.914640664,0.010000000,0.002348935,0.001723893,0.003082213,-18,0.028130,0.003174068,true,true,false,0.8,true,false,24,false,16,false,12,0.005725,0.25,0.02,0.028451,0.027970,4.682394,0.528341166,5240,28,28,8.862444,8.868495,8.858344,0.100000000,0.001000000,0.1,0.001,0.185435497,1,5268,0.122768135,0.020930493,0,5240,0.143130,0.017057422,0.018781315,5,0.221779389,0.007720827,0.408248290,0,0.005343511,33,15,true,-0.007299582,0.020832935,0.023915148,0.638676535,0.724205378,10584
fbm_terrain,17,0.812008352,0.082875255,470,8,0.491883117,0.010000000,0.026548502,-0.006619921,-0.011752859,-8,0.002390,0.001283350,true,false,true,0.8,true,false,24,false,16,false,12,0.034043,0.25,0.02,0.002450,0.002390,1.110398,0.596246390,470,8,8,1.862314,1.887804,1.856204,0.100000000,0.001400355,0.1,0.001,0.712020009,1,478,0.082913383,0.082874595,0,470,0.736170,0.120437964,0.113818043,5,0.223578164,0.076495349,0.408248290,0,0.017021277,21,13,true,-0.030702158,0.134857349,0.123104490,0.769210232,0.769210232,866
fbm_terrain,25,0.652023200,0.066546839,1077,9,0.270443196,0.010000000,0.018380715,-0.007680104,-0.007202991,-6,0.005830,0.001137726,true,false,true,0.8,true,false,24,false,16,false,12,0.016713,0.25,0.02,0.006080,0.005720,2.558108,0.499215398,1077,9,9,5.124257,5.136697,5.118447,0.100000000,0.001490693,0.1,0.001,0.632181202,1,1086,0.046602577,0.066714909,0,1077,0.676880,0.093424101,0.085743997,5,0.206456327,0.061894470,0.408248290,0,0.008356546,19,13,true,-0.031677391,0.135058005,0.127855015,1.025606021,0.889006665,2036
fbm_terrain,33,0.515689777,0.052632367,1958,15,0.492674558,0.010000000,0.010560819,0.002632319,0.001542144,5,0.010640,0.000988233,true,false,false,0.8,true,false,24,false,16,false,12,0.015322,0.25,0.02,0.010970,0.010590,4.633853,0.430387971,1958,15,15,10.766688,10.953860,10.673177,0.100000000,0.001335299,0.1,0.001,0.511848809,1,1973,0.052583730,0.052632743,0,1958,0.500000,0.075346765,0.077979084,5,0.167078451,0.051052193,0.408248290,0,0.007660878,52,57,true,-0.022750498,0.105976651,0.107518794,0.938744707,0.938744707,3758
noise_cavity,17,1.306729206,0.133367491,1123,89,0.581949666,0.010000000,0.043612462,-0.021269562,-0.019059024,-47,0.005770,0.002676332,true,false,true,0.8,true,false,24,false,16,false,12,0.233304,0.25,0.02,0.006140,0.005750,1.145418,0.531285715,1123,97,97,2.155936,2.166755,2.149855,0.100000000,0.001000000,0.1,0.001,0.819805302,1,1220,0.155794063,0.131437158,0,1123,0.832591,0.239242333,0.217972770,5,0.397862469,0.137967173,0.408248290,0,0.079252004,106,59,true,-0.029812387,0.353920342,0.334861318,2.813076265,2.710270056,2500
noise_cavity,25,1.093230777,0.111577399,3168,172,0.583103052,0.010000000,0.033237782,-0.024624400,-0.031181368,-95,0.017020,0.002844302,true,false,true,0.8,true,false,24,false,16,false,12,0.156566,0.25,0.02,0.017190,0.016731,3.274084,0.547149489,3168,184,184,5.983893,6.180065,5.971313,0.100000000,0.001000000,0.1,0.001,0.760816016,1,3352,0.133285046,0.110331166,0,3168,0.784722,0.193339555,0.168715154,5,0.347587539,0.112399404,0.408248290,0,0.054292929,228,133,true,-0.058967045,0.348489393,0.317308025,3.803880527,3.289980147,6860
noise_cavity,33,0.942071890,0.096149810,6176,240,0.599750463,0.010000000,0.025394641,-0.016925036,-0.032149685,-193,0.033730,0.002907186,true,false,true,0.8,true,false,24,false,16,false,12,0.096179,0.25,0.02,0.038900,0.033510,6.446767,0.555646371,6176,250,250,11.602284,11.610844,11.596404,0.100000000,0.001000000,0.1,0.001,0.702371040,1,6426,0.119442377,0.095208062,0,6176,0.734780,0.144907897,0.127982861,5,0.305355103,0.096427435,0.408248290,0,0.038860104,388,195,true,-0.053399364,0.309475025,0.277325341,4.961530890,4.850437040,13044
