# experiment P-58 (R-056)
# hypothesis: Robins, Wood & Sheppard's ProcessLowerStars (10.1109/tpami.2011.95) builds a discrete Morse function from a sampled grid by pairing cells within each voxel's LOWER STAR -- at most 27 cells in 3D -- which is per-voxel local and, by the paper's own claim, produces a critical-cell census independent of the processing order. The paper requires distinct values and perturbs ties with a GLOBAL ramp that depends on the image dimensions I, J, K; this crate's fields tie exactly, so this registration fixes a CHUNK-LOCAL EXACT TIE-BREAK instead: order by (value, linear_index) lexicographically, comparing values by f64::total_cmp, which is a total order, deterministic, allocation-free, and perturbs no sample. (C1) the census by dimension (critical_0 .. critical_3) is IDENTICAL under the registered tie-break and under its reverse (value, Reverse(linear_index)), on all eight fields -- the paper's ordering-independence claim tested on data it has never seen. (C2) every cell the asymptotic decider flags ambiguous CONTAINS AT LEAST ONE CRITICAL CELL -- stated as containment, not set equality, because a Morse census can be non-empty where no MC ambiguity exists and equality would indict the instrument; the excess critical_cells_outside_ambiguous is reported per field either way. (C3) the census is resolution-stable on simple topology and grows on complex: critical_total on sphere and torus changes by less than 2x across 17^3/33^3/65^3 while on noise_cavity it grows by more than 4x.
# falsified by: C1 differing, which would mean the paper's ordering-independence does not survive exact ties and the tie-break is doing work it must not; or C2 finding an ambiguous cell with no critical cell, which would break the containment the whole framing rests on; or C3's sphere census growing like the grid, which would make it an artefact count rather than a topological signature. PROVENANCE CORRECTED BEFORE THE HARNESS EXISTED: the review that proposed this registration asserted the corpus markdown terminates mid-section-4 before Theorem 11 and that Theorem 11 is therefore not transcribable. THAT IS FALSE, checked line by line -- section 4 is complete (Lemmas 7-10), Theorem 11 is stated in full with both of its arms, and so are Theorem 3, Theorem 6, Propositions 4-5, Lemma 12 and the pseudocode of Algorithms 1, 2 and 3. The ordering-independence C1 tests is therefore the paper's own sentence, quoted: 'the results in Section 4 show that for 2D and 3D complexes the number and type of critical cells found by ProcessLowerStars are independent of this ordering'. What the paper does NOT have is any test of that claim against exact ties, because Eq. (8) assumes them away.
# commit 0d81ae6 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T03:47:27Z
field,samples_per_axis,voxels,critical_0,critical_1,critical_2,critical_3,critical_total,max_lower_star_cells,census_matches_reverse_order,ambiguous_cells,ambiguous_with_critical,ambiguous_containment_holds,critical_cells_outside_ambiguous,ns_per_voxel,algorithm_source,cells_total,critical_0_reverse,critical_1_reverse,critical_2_reverse,critical_3_reverse,critical_total_reverse,distinct_values,euler_characteristic,euler_characteristic_reverse,grid_cells,local_maxima,pairs,tied_voxels
sphere,17,4913,1,0,0,0,1,8,true,0,0,true,1,437.720,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,35937,1,0,0,0,1,116,1,1,4096,0,17968,4797
sphere,33,35937,1,0,0,0,1,8,true,0,0,true,1,446.530,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,274625,1,0,0,0,1,464,1,1,32768,0,137312,35473
sphere,65,274625,1,0,0,0,1,8,true,0,0,true,1,512.584,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,2146689,1,0,0,0,1,1914,1,1,262144,0,1073344,272711
torus,17,4913,8,8,1,0,17,18,true,0,0,true,17,457.616,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,35937,8,8,1,0,17,325,1,1,4096,0,17960,4588
torus,33,35937,20,20,1,0,41,18,true,0,0,true,41,449.200,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,274625,20,20,1,0,41,2088,1,1,32768,0,137292,33849
torus,65,274625,36,36,1,0,73,18,true,0,0,true,73,455.199,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,2146689,36,36,1,0,73,14274,1,1,262144,0,1073308,260351
box_exact,17,4913,5,4,0,0,9,8,true,0,0,true,9,430.287,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,35937,5,4,0,0,9,36,1,1,4096,0,17964,4877
box_exact,33,35937,9,8,0,0,17,8,true,0,0,true,17,436.533,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,274625,9,8,0,0,17,124,1,1,32768,0,137304,35813
box_exact,65,274625,17,16,0,0,33,8,true,0,0,true,33,449.158,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,2146689,17,16,0,0,33,480,1,1,262144,0,1073328,274145
csg_difference,17,4913,5,6,3,1,15,27,false,0,0,true,15,463.104,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,35937,20,33,15,1,69,85,1,1,4096,1,17961,4828
csg_difference,33,35937,11,18,9,1,39,27,false,0,0,true,39,462.554,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,274625,47,108,63,1,219,424,1,1,32768,1,137293,35513
csg_difference,65,274625,35,57,24,1,117,27,false,0,0,true,117,455.610,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,2146689,221,435,216,1,873,2160,1,1,262144,1,1073286,272465
thin_plate,17,4913,2,1,0,0,3,8,true,0,0,true,3,448.087,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,35937,2,1,0,0,3,136,1,1,4096,0,17967,4777
thin_plate,33,35937,2,1,0,0,3,8,true,0,0,true,3,449.910,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,274625,2,1,0,0,3,681,1,1,32768,0,137311,35256
thin_plate,65,274625,2,1,0,0,3,8,true,0,0,true,3,438.462,10.1109/tpami.2011.95 Alg.1 §3.1 + Eq.(7) + Prop.4-5 + Lemma 10 + Thm 11; Eq.(8) deliberately unused,2146689,2,1,0,0,3,3687,1,1,262144,0,1073343,270938
