# experiment P-45 (R-041a)
# hypothesis: P-42 took B to be the whole closed surface, which made its Gaussian clause an identity -- 3F = 2E, so the defect sum is 2*pi*chi combinatorially and the residual was one f64 epsilon per vertex with zero geometric content. The property this crate actually wants was therefore never tested: ADDITIVITY, N(A union B) = N(A) + N(B) - N(A intersect B), which is what lets a per-chunk curvature measure compose into a per-world one with no global pass. Partition an extracted closed mesh into a 4x4x4 grid of spatial chunks by triangle centroid, so every chunk is a patch with a real boundary. With the geodesic-curvature boundary term (pi minus the incident angle sum at a boundary vertex) and edges on a chunk boundary weighted one half: clause one, the sum over chunks of the Gaussian measure equals the global 2*pi*chi to within 1e-9 absolute on sphere and torus at 65 samples per axis; clause two, the sum over chunks of the mean measure equals the global sum of l*beta to within 1e-9 absolute on both; clause three, each chunk's value recomputed IN ISOLATION from its own triangles alone -- boundary detected from that set, nothing read from a neighbour -- reproduces its in-context value bit for bit, which is the difference between a measure that is chunk-local and one that merely sums.
# falsified by: Any of the three exceeding its tolerance. A failure of clause one or two means the boundary term as transcribed is wrong; a failure of clause three means the measure needs a one-ring halo, which would make it composable in principle and not chunk-local in practice -- and this crate meshes chunks independently, so that is the difference between usable and not. Recorded beside them, not registered: half the mean measure against the analytic integral of H on box_exact, where the surface is grid-aligned and the estimator may be exact rather than convergent.
# commit a492225 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:17:49Z
field,samples_per_axis,chunks,gaussian_global,gaussian_chunk_sum,gaussian_gap,mean_global,mean_chunk_sum,mean_gap,isolated_chunks_bit_identical,borel_gaussian_gap,borel_gaussian_sum,borel_mean_gap,borel_mean_sum,cell_size,chi_from_report,chunk_boundary_vertices_total,chunk_boxes,chunk_interior_edges_total,chunk_interior_vertices_total,chunk_max_faces,chunk_min_faces,degenerate_triangles,excess_chunk_incidence,faces_skipped,flat_edges,gaussian_defect_sum_global,gaussian_gap_matches_excess,gaussian_gap_over_pi,genus,global_boundary_edges,global_edges,global_non_manifold_edges,isolated_gaussian_bit_identical,isolated_gaussian_mismatched_chunks,isolated_mean_bit_identical,isolated_mean_mismatched_chunks,mean_curvature_half,mean_from_flat_edges,mean_from_other_edges,mean_from_right_angle_edges,mean_half_exact,mean_half_relative_error,mean_isolated_sum,mean_isolation_gap,mean_smooth_integral_h,other_edges,referenced_vertices,report_non_manifold_vertices,right_angle_edge_length,right_angle_edges,seam_edges_total,triangles,vertices,vertices_in_1_chunk,vertices_in_2_chunks,vertices_in_3_chunks,vertices_in_4_or_more_chunks
sphere,65,56,12.566370614359,351.858377202056,3.392920e2,25.121464935557,25.121464935557,2.984279e-13,false,1.122658e-12,12.566370614358,2.913225e-13,25.121464935557,0.062500000,2,2040,64,13248,3792,200,37,0,108,0,192,12.566370614358,true,108.000000000,Some(0),0,14268,0,true,0,false,56,12.560732467779,-0.000000000000,25.121464935557,0.000000000000,false,4.486694e-4,22.031908855743,3.089556e0,12.566370614359,14076,4758,0,0.000000000,0,2040,9512,4758,3792,912,0,54
torus,65,64,0.000000000000,647.168086639496,6.471681e2,39.479298281300,39.479298281300,1.705303e-13,false,1.000977e-12,-0.000000000001,1.989520e-13,39.479298281300,0.062500000,0,3218,64,10992,2702,271,44,0,206,0,16,-0.000000000001,true,206.000000000,Some(1),0,12624,0,true,0,false,64,19.739649140650,0.000000000000,39.479298281300,0.000000000000,false,2.230781e-5,34.746580149327,4.732718e0,19.739208802179,12608,4208,0,0.000000000,0,3264,8416,4208,2702,1332,142,32
box_exact,65,56,12.566370614359,351.858377202057,3.392920e2,36.648546979936,36.648546979936,2.486900e-13,true,3.552714e-15,12.566370614359,2.486900e-13,36.648546979936,0.062500000,2,2232,64,16176,4704,337,128,0,108,0,16548,12.566370614359,true,108.000000000,Some(0),0,17292,0,true,0,true,0,18.324273489968,0.000000000000,36.648546979936,0.000000000000,false,2.786710e-2,36.648546979936,2.486900e-13,18.849555921539,744,5766,0,0.000000000,0,2232,11528,5766,4704,1008,0,54
