# experiment P-30 (R-031)
# hypothesis: P-29's clause one with its INSTRUMENT replaced and its prediction unchanged; the falsification is M-326. The central-gap detector trimmed 1 percent tails -- 81 of 8,128 edges -- while a winning wormhole path is at most one input-to-output chain of 63 edges, so the registered statistic ate the mode it was looking for. Replaced: no trim; a split counts as bimodal only when the gap in sorted ln(a) is at least 0.2 AND both sides hold at least 8 edges -- 0.1 percent, eight-fold below the smallest possible winner mode (the lattice's own path length, 63, knowable before any run) and eight-fold above single-edge outliers. Unchanged: under constant heads the post-breakthrough aperture distribution is bimodal on both the seeded-homogeneous and lognormal-heterogeneous nets, and the recharge-limited arm stays unimodal at the same at-breakthrough dissolved volume. Recorded beside it: the water-flux top-10-percent share, next to the dissolution share M-326 closed at 78 percent.
# falsified by: No qualifying gap on either constant-head arm. With the mode guard in place that verdict would mean the aperture histogram is genuinely not gapped-bimodal -- the dossier's tier-R bimodality reading dies, and the competition claim rests on the concentration columns M-326 already measured (Gini 0.976 against 0.560). The positive-feedback premise itself is convicted only if those concentration columns also regress, which M-326 shows they do not. Instrument-falsified, as before, if the recharge arm reads bimodal while the t-zero green also fails; the synthetic red and t-zero green run again before any verdict is read.
# commit 655c685 on amd-ryzen-9-5900x-12-core at 2026-08-17T22:23:26Z
arm,ticks,years,breakthrough_years,max_gap_ln,guarded_gap_ln,guarded_bimodal,flux_top10_pct,flux_water_top10_pct,gini_flow,max_da_over_a_pct,tick_ms_median,dt_cap
hom_seeded3,896,216.81,180.6,0.0603,0.2218,true,16.06,53.95,0.7422,10.000,3.989,0.1
heterogeneous,250,27.51,22.9,0.0215,0.0369,false,78.05,99.80,0.9758,10.000,3.986,0.1
het_dt_control,473,26.34,21.9,0.0237,0.0375,false,80.02,99.81,0.9763,5.000,3.980,0.05
recharge_limited,175,35.43,none,0.0521,0.0628,false,100.00,35.70,0.5596,10.000,4.022,0.1
