# experiment P-48 (R-044)
# hypothesis: validate/isotopy.rs names its own gap in its own header: 'The general form needs interval arithmetic over an arbitrary F, which this crate has no way to do -- an Sdf hands back point values', so it settles for certifying the TRILINEAR INTERPOLANT and says plainly that it does not certify the analytic field against it. A compositional inclusion function over the crate's own field types closes that gap with no dependency and no interval library: (lo, hi) pairs and six operations, widened by one ULP per operation because core has no directed rounding, which keeps the enclosure sound in the only direction that matters. Clause one, SOUNDNESS, and it is fatal: over the eight reference fields at 33 samples per axis, every cell the certificate calls surface-free is surface-free under 4096-point dense sampling -- zero unsound certifications, no tolerance. Clause two, NON-VACUITY: on the fields built from exact distance primitives -- sphere, box_exact, torus and csg_difference -- the certificate proves at least 90% of the cells that dense sampling shows to be surface-free. Clause three, REACH: the certified fraction is reported for all eight fields and is strictly greater than zero on at least six of them, so the mechanism is not confined to the eikonal cases.
# falsified by: Any unsound certification whatever -- a cell called surface-free that dense sampling shows is not. That is fatal rather than a threshold miss: a certificate that can be wrong is not a certificate, and the failure would be in the one direction isotopy.rs says a predicate must never err. Or the certified share falling under 90% on the exact fields, which would mean the enclosure is too loose to be worth evaluating; or fewer than six fields above zero, which would confine it to the eikonal cases and leave gyroid, noise_cavity and fbm_terrain -- the three that actually go wrong -- outside its reach.
# commit 94e9635 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T19:14:31Z
field,samples_per_axis,cells,cells_surface_free_sampled,cells_certified_empty,certified_fraction,unsound_certifications,undecided_fraction,certified_vs_trilinear,cell_size,cells_definitely_active,cells_undecided,certified_and_sampled_free,certified_of_sampled_free,dense_points_per_cell,domain_half_extent,enclosure_kind,first_unsound_cell,mean_enclosure_width,mean_enclosure_width_over_h,noise_transcription_max_abs_diff,noise_transcription_points,noise_transcription_verified,trilinear_active_cells,trilinear_certified,trilinear_inactive_fraction,trilinear_uncertified,trust_gap_fraction,undecided_fraction_naive
sphere,33,32768,31584,31584,0.963867188,0,0.000732422,1.000000000,0.125000000,1160,24,31584,1.000000000,4096,2.000000,exact_distance,none,0.193358155,1.546865241,0.000e0,137842,true,1160,1160,0.964599609,0,0.000732422,0.036132812
torus,33,32768,31640,31640,0.965576172,0,0.000000000,1.000000000,0.125000000,1128,0,31640,1.000000000,4096,2.000000,exact_distance,none,0.181071180,1.448569441,0.000e0,137842,true,1128,1128,0.965576172,0,0.000000000,0.034423828
box_exact,33,32768,29680,29680,0.905761719,0,0.052978516,0.869822485,0.125000000,1352,1736,29680,1.000000000,4096,2.000000,exact_distance,none,0.147493346,1.179946768,0.000e0,137842,true,1352,1176,0.958740234,176,0.052978516,0.094238281
csg_difference,33,32768,29798,29746,0.907775879,0,0.049865723,0.856628242,0.125000000,1388,1634,29746,0.998254916,4096,2.000000,csg_max,none,0.150044423,1.200355385,0.000e0,137842,true,1388,1189,0.957641602,199,0.049865723,0.092224121
thin_plate,33,32768,32120,32120,0.980224609,0,0.004150391,1.000000000,0.125000000,512,136,32120,1.000000000,4096,2.000000,exact_distance,none,0.157512240,1.260097918,0.000e0,137842,true,512,512,0.984375000,0,0.004150391,0.019775391
gyroid,33,32768,27431,26873,0.820098877,0,0.019989014,0.929389313,0.437500000,5240,655,26873,0.979658051,4096,7.000000,csg_max,none,0.816492186,1.866267853,0.000e0,137842,true,5240,4870,0.840087891,370,0.019989014,0.179901123
fbm_terrain,33,32768,30716,24145,0.736846924,0,0.203399658,1.000000000,0.500000000,1958,6665,24145,0.786072405,4096,8.000000,lattice_noise,none,4.219431232,8.438862465,0.000e0,137842,true,1958,1958,0.940246582,0,0.203399658,0.263153076
noise_cavity,33,32768,26198,24313,0.741973877,0,0.069549561,0.485913212,0.125000000,6176,2279,24313,0.928047943,4096,2.000000,csg_max,none,0.999995207,7.999961656,0.000e0,137842,true,6176,3001,0.811523438,3175,0.069549561,0.258026123
