# experiment P-46 (R-040a)
# hypothesis: P-41 measured a bijection -- critical cells == non-manifold vertices == critical cells hosting one, exactly, on every affected field -- which gives the repair a target it did not have when R-040 deliberately withheld it. Repair the SIGN LATTICE rather than the mesh, and do it by minimal value perturbation rather than by flipping a sign arbitrarily: for each critical cell, move the corner of smallest |value| across zero by the smallest representable step, which is Boutry's self-dual repair applied to the grey-level function rather than to the binary set. Clause one: on the three fields with a non-zero census -- noise_cavity, gyroid, fbm_terrain at 65 samples per axis -- DualContouring and SurfaceNets emit exactly 0 non-manifold edges and exactly 0 non-manifold vertices after the repair, where before they emitted 322/602, 69/141 and 29/58. Clause two: the repair reaches a fixpoint in at most TWO sweeps over the chunk, because a perturbation can create a critical configuration in a neighbour and an unbounded cascade would rule the mechanism out of a frame budget outright; the residual critical count after two sweeps is recorded either way. Clause three, the price: the symmetric Hausdorff distance of the repaired mesh against the unrepaired field rises by less than 10% on each of the three fields -- the repair moves geometry, and a manifold mesh of the wrong surface is not a bargain.
# falsified by: Any non-manifold output surviving the repair, which would mean well-composedness of the sign lattice is not sufficient for a manifold dual mesh even though P-41 measured it to be necessary -- and that gap is the more interesting result, because ManifoldDualContouring already pays extra vertices for the same guarantee. Or a residual critical count above zero after two sweeps, which prices the cascade out. Or Hausdorff rising 10% or more, which says the manifoldness was bought with geometry the caller did not agree to sell.
# commit 6157a1c (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:34:00Z
field,samples_per_axis,extractor,critical_before,critical_after,sweeps,non_manifold_edges_before,non_manifold_edges_after,non_manifold_vertices_before,non_manifold_vertices_after,hausdorff_before,hausdorff_after,hausdorff_ratio,accuracy_coverage_after,accuracy_coverage_before,corners_moved,critical_2d_before,critical_3d_before,critical_after_two_sweeps,mesh_hash_after,mesh_hash_before,mesh_triangles_after,mesh_triangles_before,mesh_vertices_after,mesh_vertices_before,residual_bytes,residual_critical_2d,residual_critical_3d,residual_distinct_bytes,residual_exhausted_cells,residual_nm_vertices_in_critical,samples_moved,samples_moved_fraction,samples_total,stuck_cells,wrapper_faithful
gyroid,65,dual_contouring,141,0,5,69,0,141,0,1.817384550e-1,1.817384550e-1,1.000000,true,true,143,132,9,8,5955995122817281298,16381186612293391506,42828,43068,21390,21432,,0,0,0,0,0,143,0.000520710,274625,0,true
gyroid,65,surface_nets,141,0,5,69,0,141,0,2.931156608e-1,2.931156608e-1,1.000000,true,true,143,132,9,8,17952564106796554922,16415647085261510969,42828,43068,21390,21432,,0,0,0,0,0,143,0.000520710,274625,0,true
fbm_terrain,65,dual_contouring,58,0,1,29,0,58,0,1.425992001e-1,1.425992001e-1,1.000000,true,true,28,58,0,0,18170908509185042722,9812071185542855496,16408,16496,8398,8413,,0,0,0,0,0,28,0.000101957,274625,0,true
fbm_terrain,65,surface_nets,58,0,1,29,0,58,0,1.471529822e-1,1.471529822e-1,1.000000,true,true,28,58,0,0,9594625637379918528,4107995977859428269,16408,16496,8398,8413,,0,0,0,0,0,28,0.000101957,274625,0,true
noise_cavity,65,dual_contouring,602,118,64,322,70,602,118,2.527964148e-1,1.125624073e0,4.452690,true,true,5190,567,35,103,16261339853628669410,1753316796342302489,65272,57764,32137,28375,0x21x5 0x43x5 0x60x5 0x9fx5 0xd7x5 0x41x4 0x09x3 0x89x3 0x99x3 0xb7x3 0xd3x3 0xebx3 0x26x2 0x29x2 0x58x2 0x5ex2 0x6fx2 0x76x2 0x84x2 0x90x2 0x97x2 0xb5x2 0xb6x2 0xc1x2 0xc2x2 0xc6x2 0xd9x2 0xedx2 0xf6x2 0x12x1 0x18x1 0x19x1 0x1cx1 0x25x1 0x2cx1 0x34x1 0x3cx1 0x48x1 0x4ax1 0x5bx1 0x62x1 0x63x1 0x64x1 0x6ax1 0x6cx1 0x7ex1 0x81x1 0x85x1 0x93x1 0x98x1 0x9bx1 0x9dx1 0xa1x1 0xa7x1 0xa9x1 0xadx1 0xc3x1 0xc7x1 0xcbx1 0xd6x1 0xdax1 0xdex1 0xe3x1 0xe6x1 0xe7x1 0xf9x1,114,4,66,118,118,5190,0.018898498,274625,6307,true
noise_cavity,65,surface_nets,602,118,64,322,70,602,118,4.534272264e-1,7.681978933e-1,1.694203,true,true,5190,567,35,103,2243046452960029677,13597207501439871432,65272,57764,32137,28375,0x21x5 0x43x5 0x60x5 0x9fx5 0xd7x5 0x41x4 0x09x3 0x89x3 0x99x3 0xb7x3 0xd3x3 0xebx3 0x26x2 0x29x2 0x58x2 0x5ex2 0x6fx2 0x76x2 0x84x2 0x90x2 0x97x2 0xb5x2 0xb6x2 0xc1x2 0xc2x2 0xc6x2 0xd9x2 0xedx2 0xf6x2 0x12x1 0x18x1 0x19x1 0x1cx1 0x25x1 0x2cx1 0x34x1 0x3cx1 0x48x1 0x4ax1 0x5bx1 0x62x1 0x63x1 0x64x1 0x6ax1 0x6cx1 0x7ex1 0x81x1 0x85x1 0x93x1 0x98x1 0x9bx1 0x9dx1 0xa1x1 0xa7x1 0xa9x1 0xadx1 0xc3x1 0xc7x1 0xcbx1 0xd6x1 0xdax1 0xdex1 0xe3x1 0xe6x1 0xe7x1 0xf9x1,114,4,66,118,118,5190,0.018898498,274625,6307,true
