# experiment P-42 (R-041)
# hypothesis: Curvature computed as a normal-cycle MEASURE is additive over chunks and carries an error bound the crate can compute from its own output, which is a class of claim it has never made -- validate::accuracy measures distance and validate::isotopy certifies topology, and neither states a bound it derived rather than sampled. On a triangle mesh the Gaussian measure is the vertex angle defect and the mean measure is edge length times signed dihedral angle; Cohen-Steiner and Morvan's Theorem 6 bounds the deviation from the smooth surface by C*K*eps with K a sum of triangle circumradii and eps their maximum. Clause one: on sphere at 33, 65 and 129 samples per axis, the residual |sum of angle defects - 4*pi| falls inside the computed bound at all three. Clause two: that residual falls at least linearly as h halves. Clause three: on torus the defect sum is zero to within the same bound, which an accumulator that lost the sign would fail loudly. Recorded beside them, not registered: the mean-curvature total, and the chi recovered from the defect sum against the chi MeshReport computes independently.
# falsified by: The residual exceeding its own computed bound at any of the three resolutions, or failing to fall as h halves. Either means Theorem 6's closely-inscribed hypothesis does not hold for a marching-cubes mesh -- whose vertices lie on the trilinear interpolant's zero set rather than on the field's -- and that is a better result than the bound holding, because it says the bound must be stated against the interpolant, which is the move isotopy.rs already makes.
# commit cceb112 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:00:26Z
field,samples_per_axis,gaussian_total,gaussian_expected,residual,bound,within_bound,mean_curvature_total,chi_from_defect,chi_from_report,bound_constant_c,bound_eps,bound_excl_degenerate,bound_k,bound_k_area_term,bound_k_boundary_term,bound_over_residual,boundary_edges,boundary_vertices,c_required,cell_size,chi_from_defect_combinatorial,degenerate_triangles,edges,faces_considered,faces_skipped,gaussian_abs_defect_sum,genus,max_abs_dihedral,max_circumradius,mean_abs_measure,mean_circumradius,mean_curvature_half,mean_half_relative_error,mean_smooth_integral_h,min_triangle_fatness,non_finite_circumradius,non_manifold_edges,referenced_vertices,residual_ratio_prev,residual_rounding,residual_topological,triangles,vertices,within_bound_excl_degenerate,zero_length_sides
sphere,33,12.566370614359,12.566370614359,2.806644e-13,2.871923e0,true,25.087471198,2.000000000,2,unstated_in_source,1.747305853e-1,2.871923e0,1.643629202e1,1.643629202e1,0.000000000e0,1.023259e13,0,0,9.772699e-14,0.125000000,2.000000000,0,3468,2312,0,12.566370614,Some(0),0.135280981,1.747305853e-1,26.092439077,8.137547287e-2,12.543735599,1.801237e-3,12.566370614,4.164030357e-2,0,0,1158,NaN,2.806644e-13,0.000000e0,2312,1158,true,0
sphere,65,12.566370614358,12.566370614359,1.126210e-12,1.684931e0,true,25.121464936,2.000000000,2,unstated_in_source,9.959398356e-2,1.684931e0,1.691800194e1,1.691800194e1,0.000000000e0,1.496107e12,0,0,6.684013e-13,0.062500000,2.000000000,0,14268,9512,0,12.566370614,Some(0),0.069795988,9.959398356e-2,26.149789708,4.054791411e-2,12.560732468,4.486694e-4,12.566370614,2.220211467e-2,0,0,4758,4.012658,1.126210e-12,0.000000e0,9512,4758,true,0
sphere,129,12.566370614354,12.566370614359,4.948930e-12,2.099254e0,true,25.129925419,2.000000000,2,unstated_in_source,1.127570161e-1,2.099254e0,1.861750267e1,1.861750267e1,0.000000000e0,4.241834e11,0,0,2.357471e-12,0.031250000,2.000000000,0,57684,38456,0,12.566370614,Some(0),0.035064354,1.127570161e-1,26.141850035,2.057729893e-2,12.564962710,1.120375e-4,12.566370614,1.209710509e-2,0,0,19230,4.394322,4.948930e-12,0.000000e0,38456,19230,true,0
torus,33,-0.000000000000,0.000000000000,2.318146e-13,3.781034e0,true,39.477361071,-0.000000000,0,unstated_in_source,2.347107532e-1,3.781034e0,1.610933427e1,1.610933427e1,0.000000000e0,1.631060e13,0,0,6.130983e-14,0.125000000,0.000000000,0,3384,2256,0,26.950898046,Some(1),0.528059997,2.347107532e-1,66.272204599,8.095713606e-2,19.738680536,2.676230e-5,19.739208802,8.738159739e-3,0,0,1128,NaN,2.318146e-13,0.000000e0,2256,1128,true,0
torus,65,-0.000000000001,0.000000000000,1.000977e-12,1.776434e0,true,39.479298281,-0.000000000,0,unstated_in_source,1.169774602e-1,1.776434e0,1.518612643e1,1.518612643e1,0.000000000e0,1.774700e12,0,0,5.634754e-13,0.062500000,0.000000000,0,12624,8416,0,26.404592664,Some(1),0.269336781,1.169774602e-1,66.475356438,4.099397025e-2,19.739649141,2.230781e-5,19.739208802,2.861466875e-3,0,0,4208,4.318008,1.000977e-12,0.000000e0,8416,4208,true,0
torus,129,-0.000000000004,0.000000000000,4.460432e-12,2.093583e0,true,39.478660553,-0.000000000,0,unstated_in_source,1.268851660e-1,2.093583e0,1.649982127e1,1.649982127e1,0.000000000e0,4.693677e11,0,0,2.130526e-12,0.031250000,0.000000000,16,52296,34864,0,27.111193098,Some(1),0.136295337,1.268851660e-1,66.862638919,2.056003452e-2,19.739330277,6.153966e-6,19.739208802,2.616305875e-4,0,0,17432,4.456078,4.460432e-12,0.000000e0,34864,17432,true,0
