# experiment P-89 (R-089)
# hypothesis: M-377'S OWN OPEN QUESTION, AND IT IS AN HOUR OF WORK. The granularity curve is still RISING at 2^3 on both fields, so 1^3 should be worse -- the sample-duplication penalty ((c+1)/c)^3 is 8.0 at c = 1 against 3.375 at c = 2 -- but it is untested, and M-377 is the entry that established that a boundary minimum is not an answer. The same entry derived a two-term model that gets a stencil of exactly 6 on all twelve arms, so the model is available to be extrapolated against rather than merely fitted. (C1) 1^3 is worse than 2^3 on both gyroid and fbm_terrain, confirming the interior optimum at 4^3. (C2) The measured cost at 1^3 matches M-377's two- term model to within 10%. SHARE: this experiment measures a curve and moves nothing; it settles whether M-377's 51x is a shape or a sample.
# falsified by: C1 by 1^3 winning, which would mean the duplication model is wrong and the whole granularity result needs re-deriving. C2 by above 10%, which means the model does not extrapolate and the 4^3 optimum is a coincidence of the sampled points. VACUITY CONTROL: M-377's own assertion is inherited verbatim -- 'VOID: chunk N marked no dirty chunk in 11 edits' -- and the 1^3 arm must mark dirty chunks on every edit or the row is void.
# commit 22c9fa0 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:27:43Z
field,chunk_cells,world_cells,chunks,sample_duplication,predicted_ms,measured_ms,model_error,mark_ms,remesh_ms,total_ms,dirty_chunks_total,c1_holds,c2_holds,arm_wall_s,build_field_calls,build_stencil,build_vertices,distinct_surface_points,edits,k_ns_per_call,k_residual,mark_field_calls,mark_model_error,min_dirty_chunks_per_edit,model_work_calls,ms_per_edit,predicted_mark_ms,predicted_remesh_ms,region_cells_total,region_chunks_total,remesh_field_calls,remesh_model_error,remesh_stencil,remesh_vertices,remeshed_cells_total,reps,samples_per_chunk,triangles,vertex_duplication,vertices
gyroid,1,128,2097152,8.000000,11.5093,42.2777,2.673356,29.3633,12.9144,42.2777,5976,true,false,2.114,17992540,6,202554,53110,11,41.985658,NaN,90112,4.860460,493,154788,3.843424,5.0104,6.4989,37125,37125,154788,0.987177,6,17830,5976,3,8,104518,3.935794,209030
gyroid,2,128,262144,3.375000,9.6168,9.6883,0.007437,5.0371,4.6512,9.6883,1501,true,false,0.851,7760844,6,113826,53110,11,41.985658,0.001826,90112,0.005321,121,109713,0.880754,5.0104,4.6064,37125,5632,109713,0.009738,6,11531,12008,3,27,104518,2.212201,117490
gyroid,4,128,32768,1.953125,9.6041,8.5748,0.107169,4.0393,4.5355,8.5748,396,true,false,0.520,4570084,6,79014,53110,11,41.985658,0.001843,90112,0.193820,30,109410,0.779526,5.0104,4.5937,37125,868,109410,0.012657,6,9985,25344,3,125,104518,1.535455,81548
fbm_terrain,1,128,2097152,8.000000,37.4387,54.7217,0.461635,27.4164,27.3053,54.7217,5811,true,false,6.355,17560264,6,130508,34360,11,152.875911,NaN,90112,0.846518,440,147774,4.974698,14.8476,22.5911,37125,37125,147774,0.208677,6,16881,5811,3,8,67910,3.952619,135812
fbm_terrain,2,128,262144,3.375000,30.9766,31.0779,0.003269,14.9387,16.1392,31.0779,1456,true,false,2.666,7518156,6,73378,34360,11,152.875911,0.003132,90112,0.006133,109,105504,2.825263,14.8476,16.1290,37125,5632,105504,0.000633,6,11032,11648,3,27,67910,2.221886,76344
fbm_terrain,4,128,32768,1.953125,30.7384,29.8045,0.030383,13.9623,15.8422,29.8045,376,true,false,1.536,4401778,6,50963,34360,11,152.875911,0.003248,90112,0.059628,31,103946,2.709501,14.8476,15.8908,37125,856,103946,0.003058,6,9491,24064,3,125,67910,1.543161,53023
