# experiment P-121 (R-121)
# hypothesis: BEFORE ANY OF GROUP A IS BUILT, DECOMPOSE EXTRACTION INTO FLOAT WORK AND INTEGER WORK. x51's rule requires it and x51 is itself the example of what happens without it: P-69's C1 asked for 2x on the marginal extraction cost from restructuring the SAMPLE loop, and the loop is 11.6% of that marginal -- not the 11.5% the research doc says -- so its ceiling was 1/(1 - 0.116/2) = 1.061x and the clause was unreachable however well the loop vectorised. STAGES, fixed at registration: sample (field evaluation), classify (the eight-sign case index), interpolate (crossing positions and normals), solve (dual only), emit (table lookup, triangle and quad push, edge-cache indexing), residual. Float = sample + interpolate + solve. Integer = classify + emit. INSTRUMENT: stage counters via common::counters::Probe (benches/common/counters.rs:86, Linux-gated at benches/common/mod.rs:26), reporting CYCLES AND INSTRUCTIONS; the verdict reads the counter form and not the clock, per x24 and M-281. experiment_p15 is the precedent for stage attribution in this crate and experiment_p12 is the precedent for refusing to run without counters. (C1) The stage decomposition ACCOUNTS FOR THE TOTAL: residual_share under 5% of measured cycles on EVERY row. (C2) Integer work -- classification plus the emit path's indexing -- is at least 15% of extraction on at least one reference field at 65 cubed. (C3) The split is real: on a SURFACE-FREE field the classification stage still runs and the emit stage does not, and the measured stage cycles move in exactly those directions. The surface-free control already exists and is reused rather than reinvented: sphere_surface_free, the same sphere sampled a long way from itself so every cell is inactive, at crates/isomesh/benches/experiment_p40.rs:84-93 and listed in its FIELDS. M-337 and x28 both scored on it, so it is the fixture with a published baseline. SHARE: this row IS the share instrument. It moves nothing and claims nothing; it produces the denominator that P-103, P-104 and P-106 are denominated in.
# falsified by: C1 by a residual_share above 5%, or any stage reading zero on a fixture where it must run -- either means the instrument cannot see what it claims to. A C2 total under 15% on every field CLOSES P-103, P-104 and P-106 ON THE SPOT, which is a cheap and valuable outcome and is NOT a failure of this row. C3 by emit cycles staying non-trivial on the surface-free arm or classify cycles falling to zero there. VACUITY CONTROL: every stage's cycle count non-zero on a field where it must run; residual_share reported PER ROW rather than pooled; and the surface-free arm's emit cycles at or near zero WITH classify non-zero, which is what proves the two are separable at all.
# commit 3cb450a on amd-ryzen-9-5900x-12-core at 2026-08-29T00:49:28Z
field,resolution,scalar,extractor,cycles_total,cycles_sample,cycles_classify,cycles_interpolate,cycles_solve,cycles_emit,cycles_residual,residual_share,float_share,integer_share,instructions_total,instructions_classify,instructions_emit,cells,active_cells,c1_holds,c2_holds,c3_holds,active_fraction,agreement_ratio,c3_classify_hold,c3_emit_walk_collapse,c3_emit_walk_collapse_instructions,cycles_emit_prepare,cycles_emit_walk,cycles_per_cell_mirror,cycles_per_cell_shipped,ghz,inner_reps,instructions_emit_prepare,instructions_emit_walk,instructions_interpolate,instructions_per_cell_total,instructions_sample,instructions_solve,ipc_total,max_reference_integer_share_at_65,mesh_identical_to_shipped,ns_per_cell,residual_share_rep_worst,residual_share_row_worst,residual_share_worst,residual_signed_share,triangles,vertices
csg_difference,33,f64,dual_contouring,4924210.8,692006.7,480898.9,912860.8,2793242.3,41973.9,3228.1,0.000656,0.893160,0.106184,17243482.8,2475857.1,144184.8,32768,1388,true,true,true,0.042358,1.0279,0.9501,0.007493,0.000208,-2335.5,44309.4,150.2750,146.1974,4.1822,26,10.9,144173.9,2249990.2,526.2293,2043952.0,10329498.5,3.5018,0.724533,true,35.9319,0.166282,0.005195,0.019194,0.000656,2772,1388
thin_plate,33,f64,dual_contouring,2010667.1,380734.2,468069.1,327047.2,821233.4,16199.3,-2616.1,0.001301,0.760451,0.240850,8207266.0,2440305.1,53081.0,32768,512,true,true,true,0.015625,0.9751,0.9501,0.007493,0.000208,-675.6,16874.9,61.3607,62.9270,4.1791,63,11.0,53070.0,711436.1,250.4659,1357717.6,3644726.2,4.0819,0.724533,true,14.6827,0.166282,0.005195,0.014499,-0.001301,1020,512
gyroid,33,f64,dual_contouring,37781272.2,5393801.5,779682.8,11062009.0,20362388.5,151200.5,32190.0,0.000852,0.974509,0.024639,97424167.4,2636106.2,550409.5,32768,5240,true,true,true,0.159912,0.9895,0.9501,0.007493,0.000208,-3054.8,154255.2,1152.9929,1165.2644,4.1772,4,12.2,550397.2,29069684.2,2973.1496,18992030.5,46175938.0,2.5786,0.724533,true,276.0192,0.166282,0.005195,0.011454,0.000852,10584,5240
fbm_terrain,33,f64,dual_contouring,44619040.3,27408759.0,533580.3,8795801.7,7772166.3,65336.3,43396.7,0.000973,0.985605,0.013423,160174149.0,2499048.3,195456.0,32768,1958,true,true,true,0.059753,0.9972,0.9501,0.007493,0.000208,1676.3,63660.0,1361.6650,1365.4538,4.1791,3,11.0,195445.0,31983886.0,4888.1271,108079772.7,17415986.0,3.5898,0.724533,true,325.8309,0.166282,0.005195,0.002225,0.000973,3758,1958
noise_cavity,33,f64,dual_contouring,48776386.3,6545777.7,847314.0,14155917.7,26954880.3,213782.7,58714.0,0.001204,0.977042,0.021754,132084788.0,2679158.0,678328.7,32768,6176,true,true,true,0.188477,1.0043,0.9501,0.007493,0.000208,-19074.3,232857.0,1488.5372,1482.1516,4.1790,3,9.7,678319.0,46500876.0,4030.9078,27197718.0,55028705.7,2.7080,0.724533,true,356.1945,0.166282,0.005195,0.019438,0.001204,13044,6176
sphere_surface_free,33,f64,dual_contouring,782508.9,324068.1,460125.1,-1581.5,544.5,-638.2,-9.0,0.000012,0.412815,0.587197,3080713.7,2417958.1,36.0,32768,0,true,true,true,0.000000,0.9180,0.9501,0.007493,0.000208,-919.1,280.9,23.8803,26.0144,4.1785,155,11.0,25.0,26.0,94.0159,662659.6,34.0,3.9370,0.724533,true,5.7150,0.166282,0.005195,0.006536,-0.000012,0,0
sphere,65,f32,marching_cubes,6634558.9,1442817.6,4284697.4,375307.3,0.0,522256.2,9480.3,0.001429,0.274039,0.724533,29894147.0,21904902.0,1560593.2,262144,4760,true,true,true,0.018158,0.7800,0.9950,-0.000286,0.000020,142865.8,379390.4,25.3088,32.4459,4.1852,19,180277.1,1380316.2,880262.0,114.0371,5548390.2,0.0,4.5058,0.724533,true,6.0472,0.166282,0.005195,0.107039,0.001429,9512,4758
torus,65,f32,marching_cubes,7994417.1,2794414.6,4289467.7,422091.8,0.0,489729.2,-1286.2,0.000161,0.402344,0.597817,30520856.5,21897174.1,1401355.0,262144,4208,true,true,true,0.016052,0.8252,0.9950,-0.000286,0.000020,142567.9,347161.4,30.4963,36.9572,4.1815,16,180276.9,1221078.1,850053.1,116.4278,6372274.9,0.0,3.8178,0.724533,true,7.2932,0.166282,0.005195,0.002039,-0.000161,8416,4208
box_exact,65,f32,marching_cubes,8449052.5,3115628.2,4255146.3,536567.2,0.0,541087.8,623.0,0.000074,0.432261,0.567665,35867755.7,21919014.1,1852089.1,262144,5768,true,true,true,0.022003,0.8119,0.9950,-0.000286,0.000020,142751.1,398336.7,32.2306,39.6999,4.1831,15,180279.0,1671810.1,1308920.2,136.8246,10787732.5,0.0,4.2452,0.724533,true,7.7049,0.166282,0.005195,0.024441,0.000074,11528,5766
csg_difference,65,f32,marching_cubes,10366504.2,4892627.2,4268267.7,622696.5,0.0,580866.5,2046.3,0.000197,0.532033,0.467769,40927041.0,21922458.1,1923651.2,262144,6014,true,true,true,0.022942,0.8550,0.9950,-0.000286,0.000020,140984.2,439882.2,39.5451,46.2515,4.1813,13,180276.0,1743375.2,1611620.1,156.1243,15469311.6,0.0,3.9480,0.724533,true,9.4576,0.166282,0.005195,0.002306,0.000197,12020,6012
thin_plate,65,f32,marching_cubes,7862124.5,3115364.1,4268999.4,197957.4,0.0,279761.5,42.1,0.000005,0.421428,0.578566,33892402.0,21866934.1,773259.1,262144,2048,true,true,true,0.007812,0.8087,0.9950,-0.000286,0.000020,144489.4,135272.1,29.9916,37.0865,4.1793,16,180279.0,592980.1,464480.0,129.2893,10787728.9,0.0,4.3108,0.724533,true,7.1763,0.166282,0.005195,0.009071,0.000005,4088,2046
gyroid,65,f32,marching_cubes,34225545.4,21647269.0,4820101.5,5594983.5,0.0,2150574.2,12617.1,0.000369,0.795963,0.203669,116863755.0,22138310.0,6433520.8,262144,21432,true,true,true,0.081757,0.9151,0.9950,-0.000286,0.000020,135377.0,2015197.2,130.5601,142.6727,4.1807,4,180277.0,6253243.8,13461480.8,445.7998,74830444.0,0.0,3.4145,0.724533,true,31.2291,0.166282,0.005195,0.003510,0.000369,43116,21534
fbm_terrain,65,f32,marching_cubes,245411974.0,232151130.0,4415095.0,7926584.0,0.0,977658.0,-58493.0,0.000238,0.978264,0.021974,887541412.0,21956045.0,2635297.0,262144,8413,true,true,true,0.032093,0.9906,0.9950,-0.000286,0.000020,241926.0,735732.0,936.1724,945.0298,4.1815,1,180275.0,2455022.0,27906558.0,3385.7018,835043513.0,0.0,3.6165,0.724533,true,223.8820,0.166282,0.005195,0.003477,-0.000238,16884,8638
noise_cavity,65,f32,marching_cubes,75377164.8,55004627.5,5037593.0,12189997.0,0.0,3021225.5,123721.8,0.001641,0.891445,0.106913,282208521.2,22235512.5,8596148.0,262144,28375,true,true,true,0.108242,0.9621,0.9950,-0.000286,0.000020,151962.0,2869263.5,287.5411,298.8545,4.1915,2,180278.0,8415870.0,41177196.5,1076.5401,210199664.5,0.0,3.7440,0.724533,true,68.6005,0.166282,0.005195,0.024837,0.001641,58112,28882
sphere_surface_free,65,f32,marching_cubes,5861769.1,1440591.6,4263188.7,449.0,0.0,157147.5,392.3,0.000067,0.245837,0.754096,27566966.8,21838262.0,180304.0,262144,0,true,true,true,0.000000,0.7998,0.9950,-0.000286,0.000020,157255.9,-108.5,22.3609,27.9568,4.1831,22,180277.0,27.0,17.0,105.1596,5548384.1,0.0,4.7028,0.724533,true,5.3455,0.166282,0.005195,0.002282,0.000067,0,0
sphere,65,f64,marching_cubes,7676622.2,2482338.6,4212012.6,443408.1,0.0,536694.2,2168.7,0.000283,0.381124,0.618593,29344435.5,21904902.1,1560593.1,262144,4760,true,true,true,0.018158,0.7960,0.9922,0.000292,0.000020,159007.9,377686.3,29.2840,36.7876,4.1827,17,180277.0,1380316.1,875504.1,111.9401,5003436.7,0.0,3.8226,0.724533,true,7.0012,0.166282,0.005195,0.006130,0.000283,9512,4758
torus,65,f64,marching_cubes,10316804.8,4955088.8,4215155.4,628689.5,0.0,506103.1,11768.0,0.001141,0.541231,0.457628,29954867.9,21897174.0,1401355.2,262144,4208,true,true,true,0.016052,0.8587,0.9922,0.000292,0.000020,154161.7,351941.4,39.3555,45.8319,4.1743,13,180277.0,1221078.2,829010.1,114.2688,5827328.7,0.0,2.9035,0.724533,true,9.4281,0.166282,0.005195,0.010410,0.001141,8416,4208
box_exact,65,f64,marching_cubes,8264566.4,2929773.5,4184982.9,588245.9,0.0,559763.0,1801.1,0.000218,0.425675,0.574107,35327082.2,21919014.0,1852089.2,262144,5768,true,true,true,0.022003,0.7880,0.9922,0.000292,0.000020,157756.5,402006.5,31.5268,40.0072,4.1774,16,180279.1,1671810.1,1308919.2,134.7621,10247059.9,0.0,4.2745,0.724533,true,7.5469,0.166282,0.005195,0.041596,0.000218,11528,5766
csg_difference,65,f64,marching_cubes,10723354.3,5233046.7,4201585.7,685708.4,0.0,608169.8,-5156.3,0.000481,0.551950,0.448531,40892562.5,21922458.1,1923651.2,262144,6014,true,true,true,0.022942,0.8372,0.9922,0.000292,0.000020,157877.3,450292.5,40.9064,48.8624,4.1783,12,180276.0,1743375.2,1568555.1,155.9927,15477898.2,0.0,3.8134,0.724533,true,9.7903,0.166282,0.005195,0.002827,-0.000481,12020,6012
thin_plate,65,f64,marching_cubes,7600966.4,2926969.6,4184296.5,210154.9,0.0,276501.6,3043.7,0.000400,0.412727,0.586873,33351728.8,21866934.0,773259.1,262144,2048,true,true,true,0.007812,0.7798,0.9922,0.000292,0.000020,142318.1,134183.5,28.9954,37.1852,4.1798,17,180279.1,592980.0,464479.1,127.2267,10247056.8,0.0,4.3878,0.724533,true,6.9371,0.166282,0.005195,0.002534,0.000400,4088,2046
gyroid,65,f64,marching_cubes,54042729.0,39411422.7,4744837.7,7638554.3,0.0,2185991.7,61922.7,0.001146,0.870607,0.128247,195246179.7,22138309.7,6433520.3,262144,21432,true,true,true,0.081757,0.9440,0.9922,0.000292,0.000020,168080.0,2017911.7,206.1567,218.3849,4.1772,3,180277.0,6253243.3,22203025.0,744.8051,144471324.7,0.0,3.6128,0.724533,true,49.3534,0.166282,0.005195,0.033867,0.001146,43116,21534
fbm_terrain,65,f64,marching_cubes,223083052.0,210233996.0,4322799.0,7527431.0,0.0,968603.0,30223.0,0.000135,0.976145,0.023719,879729603.0,21956043.0,2635300.0,262144,8413,true,true,true,0.032093,0.9899,0.9922,0.000292,0.000020,343340.0,625263.0,850.9943,859.7184,4.1851,1,180278.0,2455022.0,27484145.0,3355.9021,827654114.0,0.0,3.9435,0.724533,true,203.3371,0.166282,0.005195,0.044875,0.000135,16884,8638
noise_cavity,65,f64,marching_cubes,69952345.8,50274280.5,4976449.0,11635293.0,0.0,2987299.5,79023.8,0.001130,0.885025,0.113845,279474323.5,22235512.0,8596148.0,262144,28375,true,true,true,0.108242,0.9653,0.9922,0.000292,0.000020,142630.5,2844669.0,266.8470,276.4334,4.1753,2,180278.5,8415869.5,40741270.0,1066.1099,207901393.5,0.0,3.9952,0.724533,true,63.9115,0.166282,0.005195,0.047007,0.001130,58112,28882
sphere_surface_free,65,f64,marching_cubes,6819651.5,2482233.8,4178981.7,-4.3,0.0,157547.1,893.2,0.000131,0.363982,0.635887,27022014.1,21838262.1,180304.0,262144,0,true,true,true,0.000000,0.8099,0.9922,0.000292,0.000020,157436.8,110.3,26.0149,32.1202,4.1821,19,180277.0,27.0,17.0,103.0808,5003431.4,0.0,3.9624,0.724533,true,6.2206,0.166282,0.005195,0.003250,0.000131,0,0
sphere,65,f32,dual_contouring,22625005.7,1445360.8,4649045.7,2011268.0,14356003.2,153230.0,10098.0,0.000446,0.787298,0.212255,71553977.9,19410139.2,494873.5,262144,4760,true,true,false,0.018158,1.0000,0.9631,0.176007,0.000051,-4704.5,157934.5,86.3075,86.3071,4.1843,6,11.5,494862.0,5239343.2,272.9568,5548491.8,40861131.3,3.1626,0.724533,true,20.6266,0.166282,0.005195,0.002452,0.000446,9516,4760
torus,65,f32,dual_contouring,23063607.1,2788031.3,4588696.3,2108282.3,13403008.3,158502.3,17086.4,0.000741,0.793428,0.205831,67306821.2,19387998.2,437672.5,262144,4208,true,true,false,0.016052,1.0075,0.9631,0.176007,0.000051,13869.8,144632.5,87.9807,87.3230,4.1802,6,10.2,437662.3,4885013.2,256.7551,6372368.0,36223771.7,2.9183,0.724533,true,21.0471,0.166282,0.005195,0.037758,0.000741,8416,4208
box_exact,65,f32,dual_contouring,20084099.9,3124163.3,4600778.6,2976756.3,9208193.1,160922.9,13285.7,0.000662,0.762250,0.237088,78440945.6,19452140.0,599704.9,262144,5768,true,true,false,0.022003,1.0009,0.9631,0.176007,0.000051,-7532.3,168455.1,76.6148,76.5463,4.1855,7,10.4,599694.4,7606072.4,299.2285,10804830.7,39978198.3,3.9056,0.724533,true,18.3049,0.166282,0.005195,0.166282,0.000662,11532,5768
csg_difference,65,f32,dual_contouring,24605857.4,4894795.0,4587619.3,3484825.7,11440773.3,189264.7,8579.4,0.000349,0.805515,0.194136,88731234.5,19462219.2,625289.2,262144,6014,true,true,false,0.022942,1.0092,0.9631,0.176007,0.000051,9021.3,180243.3,93.8639,93.0082,4.1807,6,11.0,625278.2,9496614.0,338.4828,15486423.3,43660688.8,3.6061,0.724533,true,22.4519,0.166282,0.005195,0.031135,0.000349,12024,6014
thin_plate,65,f32,dual_contouring,12057280.3,3121965.5,4542598.5,1125936.6,3210410.4,55159.5,1209.7,0.000100,0.618573,0.381326,47254843.4,19301360.1,212825.0,262144,2048,true,true,false,0.007812,1.0094,0.9631,0.176007,0.000051,-2576.2,57735.7,45.9949,45.5681,4.1794,11,11.0,212814.0,2699859.5,180.2629,10804786.3,14236012.6,3.9192,0.724533,true,11.0052,0.166282,0.005195,0.005825,0.000100,4092,2048
gyroid,65,f32,dual_contouring,132806468.0,21834809.0,5483522.0,30348060.0,74102931.0,709265.0,327881.0,0.002469,0.950901,0.046630,355002519.5,20101139.0,2239579.0,262144,21432,true,true,false,0.081757,0.9834,0.9631,0.176007,0.000051,-21449.0,730714.0,506.6165,515.1788,4.1861,1,14.0,2239565.0,72500882.0,1354.2271,74581812.0,185579107.0,2.6731,0.724533,true,121.0247,0.166282,0.005195,0.012398,0.002469,43068,21432
fbm_terrain,65,f32,dual_contouring,304359481.0,227619636.0,5224937.0,39292540.0,31417261.0,642501.0,162606.0,0.000534,0.980188,0.019278,1063937590.5,19561628.0,857832.0,262144,8413,true,true,false,0.032093,0.9826,0.9631,0.176007,0.000051,-202166.0,844667.0,1161.0393,1181.5964,4.1885,1,11.0,857821.0,138431720.0,4058.5998,831494517.0,73591895.0,3.4957,0.724533,true,277.1994,0.166282,0.005195,0.004691,0.000534,16496,8413
noise_cavity,65,f32,dual_contouring,236345107.5,55257161.0,6012891.0,64281640.0,110197095.0,368873.0,227447.5,0.000962,0.972036,0.027002,691533274.0,20391828.0,3003771.0,262144,28375,true,true,false,0.108242,0.9870,0.9631,0.176007,0.000051,-528553.0,897426.0,901.5850,913.4903,4.1772,1,10.0,3003761.0,211245981.0,2637.9901,210200097.0,246691595.0,2.9259,0.724533,true,215.8322,0.166282,0.005195,0.042808,0.000962,57764,28375
sphere_surface_free,65,f32,dual_contouring,5944514.6,1442437.0,4477616.1,26.0,-3763.5,35747.8,-7548.9,0.001270,0.242021,0.759249,24760072.9,19211589.0,36.0,262144,0,true,true,false,0.000000,1.0131,0.9631,0.176007,0.000051,7950.2,27797.6,22.6765,22.3823,4.1779,22,11.0,25.0,26.1,94.4522,5548388.2,34.0,4.1652,0.724533,true,5.4277,0.166282,0.005195,0.024060,-0.001270,0,0
sphere,65,f64,dual_contouring,24408472.2,2481805.7,4855913.2,2385928.8,14521242.5,132809.3,30772.7,0.001261,0.794354,0.204385,71903016.0,19279156.0,494877.2,262144,4760,true,true,false,0.018158,1.0065,0.9708,0.119866,0.000051,-39660.2,172469.5,93.1109,92.5114,4.1791,6,11.5,494865.7,5439310.2,274.2882,5003533.2,41686142.0,2.9458,0.724533,true,22.2803,0.166282,0.005195,0.021935,0.001261,9516,4760
torus,65,f64,dual_contouring,25868157.4,4956922.2,4763963.0,2502365.8,13484315.0,129017.6,31573.8,0.001221,0.809629,0.189151,67452523.8,19257029.2,437673.2,262144,4208,true,true,false,0.016052,1.0033,0.9708,0.119866,0.000051,-11643.8,140661.4,98.6792,98.3566,4.1846,5,9.0,437664.2,5032305.2,257.3110,5827437.8,36898078.6,2.6076,0.724533,true,23.5815,0.166282,0.005195,0.011105,0.001221,8416,4208
box_exact,65,f64,dual_contouring,20355825.9,2954755.1,4741642.4,3331808.6,9165965.6,145784.0,15870.1,0.000780,0.759121,0.240100,79209457.6,19321157.1,599705.4,262144,5768,true,true,false,0.022003,1.0067,0.9708,0.119866,0.000051,-19213.6,164997.6,77.6513,77.1372,4.1766,7,8.3,599697.1,8027131.1,302.1601,10268386.6,40993076.9,3.8912,0.724533,true,18.5919,0.166282,0.005195,0.034619,0.000780,11532,5768
csg_difference,65,f64,dual_contouring,26111401.0,5291006.2,4750548.0,3972777.4,11871553.4,209694.2,15821.8,0.000606,0.809429,0.189965,89981937.3,19331243.2,625288.8,262144,6014,true,true,false,0.022942,1.0269,0.9708,0.119866,0.000051,-14253.0,223947.2,99.6071,96.9999,4.1797,5,12.8,625276.0,9750395.4,343.2539,15499258.8,44775749.2,3.4461,0.724533,true,23.8309,0.166282,0.005195,0.022072,0.000606,12024,6014
thin_plate,65,f64,dual_contouring,12259756.1,2953267.9,4716284.6,1307775.9,3214277.0,54371.1,13779.5,0.001124,0.609745,0.389131,47095115.4,19170377.2,212824.9,262144,2048,true,true,false,0.007812,1.0118,0.9708,0.119866,0.000051,-8078.2,62449.3,46.7673,46.2224,4.1815,11,10.9,212814.0,2849356.4,179.6536,10268342.3,14594214.7,3.8414,0.724533,true,11.1844,0.166282,0.005195,0.001890,0.001124,4092,2048
gyroid,65,f64,dual_contouring,161763717.0,39281026.0,5714549.0,40952729.0,74915591.0,826642.0,73180.0,0.000452,0.959111,0.040437,473553831.5,19970155.0,2239581.0,262144,21432,true,true,false,0.081757,0.9809,0.9708,0.119866,0.000051,89311.0,737331.0,617.0796,629.1224,4.1827,1,25.0,2239556.0,117822666.0,1806.4645,144493023.0,189028403.0,2.9274,0.724533,true,147.5326,0.166282,0.005195,0.041484,0.000452,43068,21432
fbm_terrain,65,f64,dual_contouring,284046229.0,209277593.0,5013028.0,37235246.0,32032055.0,192093.0,296214.0,0.001043,0.980632,0.018325,1058254175.5,19430661.0,857834.0,262144,8413,true,true,false,0.032093,0.9927,0.9708,0.119866,0.000051,-89993.0,282086.0,1083.5504,1091.5140,4.1827,1,11.0,857823.0,137000404.0,4036.9193,826031721.0,74933557.0,3.7256,0.724533,true,259.0581,0.166282,0.005195,0.019742,0.001043,16496,8413
noise_cavity,65,f64,dual_contouring,231639497.0,50324728.0,6151239.0,62567508.0,111310989.0,1061218.0,223815.0,0.000966,0.967897,0.031137,694338776.5,20260854.0,3003766.0,262144,28375,true,true,false,0.108242,0.9956,0.9708,0.119866,0.000051,361695.0,699523.0,883.6346,887.5809,4.1789,1,17.0,3003749.0,211578337.0,2648.6922,207897601.0,251598210.0,2.9975,0.724533,true,211.4514,0.166282,0.005195,0.003033,0.000966,57764,28375
sphere_surface_free,65,f64,dual_contouring,7216944.8,2481299.8,4713889.3,5934.9,-5708.5,3719.1,17810.2,0.002468,0.343847,0.653685,24084146.8,19080613.2,36.0,262144,0,true,true,false,0.000000,1.0043,0.9708,0.119866,0.000051,-16954.1,20673.2,27.5305,27.4129,4.1915,18,11.0,25.0,25.9,91.8737,5003438.1,34.0,3.3372,0.724533,true,6.5682,0.166282,0.005195,0.014898,0.002468,0,0
