# experiment P-111 (R-111)
# hypothesis: SIMDJSON'S COMPACTION MECHANISM IS A 256-ENTRY TABLE MAPPING AN 8-BIT MASK TO A PERMUTATION, AND REDUCED TO SCALAR IT IS A CONST TABLE THIS CRATE CAN ACTUALLY HAVE. A '[[u8; 8]; 256]' const table giving the set-bit positions of a byte is 2 KiB, const-evaluable, safe, deterministic, and it sidesteps _pext_u64 entirely -- which matters because crates/isomesh/src/ today contains zero unsafe, zero core::simd and zero cfg(target_arch), so the constraint is structural rather than a preference. The incumbent is dual.rs:489-497's set-bit walk. (C1) The table beats that walk on a 97%-zero bitmap -- M-337's measured 1.89% / 0.93% / 0.46% active fractions are the regime, not an assumption. (C2) Identical output order and identical indices. (C3) The table's L1 cost does not eat the win, measured as L1 misses per set bit from common::counters::Probe's Cache{L1D, READ, MISS} rather than argued. SHARE: the set-bit walk inside place_vertices, the same stage P-108 targets; this row's clauses are denominated per SET BIT so the 97% of words that neither arm touches cannot inflate the ratio.
# falsified by: C1 by not beating the set-bit walk. C3 by the table costing more L1 than it saves on a 97%-zero bitmap, which is the mechanism's own most likely failure and is why the counter arm is mandatory rather than nice. VACUITY CONTROL: set_bits non-zero on every row; order_identical true; and the counter arm must exit(1) on a non-Linux host rather than record a zero -- benches/common/mod.rs:26 is the single cfg(target_os = 'linux') gate and experiment_p12 is the refuse-and-exit precedent.
# commit 17650e4 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:32:19Z
field,resolution,active_fraction,set_bits,ns_per_set_bit_walk,ns_per_set_bit_table,ratio,l1_misses_per_set_bit_walk,l1_misses_per_set_bit_table,order_identical,table_bytes,c1_holds,c2_holds,c3_holds,bytes_nonzero,byteskip_order_identical,c1_agreement,c1_holds_cycles,c1_holds_from_rep_minima,c1_holds_instructions,c3_holds_within_instrument_spread,cell_words_per_row,cells,cycle_ratio,cycles_per_set_bit_table,cycles_per_set_bit_walk,enumeration_instruction_ratio,enumeration_ratio,extraction_ceiling_dc,extraction_ceiling_mc,extraction_speedup_dc,extraction_speedup_mc,ghz,inner_reps,instruction_ratio,instruction_ratio_byteskip,instructions_per_set_bit_enumeration_table,instructions_per_set_bit_enumeration_walk,instructions_per_set_bit_scan,instructions_per_set_bit_table,instructions_per_set_bit_table_byteskip,instructions_per_set_bit_walk,l1_delta_per_set_bit_table_minus_walk,l1_enumeration_delta_per_set_bit,l1_miss_ratio_table_over_walk,l1_misses_per_set_bit_enumeration_table,l1_misses_per_set_bit_enumeration_walk,l1_misses_per_set_bit_scan,l1_misses_per_set_bit_table_byteskip,l1_misses_per_set_bit_table_rep_max,l1_misses_per_set_bit_table_rep_min,l1_misses_per_set_bit_walk_rep_max,l1_misses_per_set_bit_walk_rep_min,ns_per_set_bit_enumeration_table,ns_per_set_bit_enumeration_walk,ns_per_set_bit_scan,ns_per_set_bit_table_byteskip,ns_per_set_bit_table_rep_max,ns_per_set_bit_table_rep_min,ns_per_set_bit_walk_rep_max,ns_per_set_bit_walk_rep_min,p121_emit_walk_share_dc_65,p121_emit_walk_share_mc_65,ratio_byteskip,ratio_definition,ratio_from_rep_minima,reps,stores_per_set_bit_table,stores_per_set_bit_table_byteskip,stores_per_set_bit_walk,words_nonzero
sphere,65,0.0181580,4760,6.62408,11.08289,0.59769,0.30406,0.30944,true,2048,false,true,false,1928,true,true,false,false,false,false,1,262144,0.59841,46.33459,27.72724,0.18704,0.20394,1.00664,1.06213,0.99558,0.96211,4.1858,679,0.56616,0.80082,113.35064,21.20085,99.05405,212.40469,150.16435,120.25490,0.005381,0.005381,1.01770,0.07565,0.07027,0.23379,0.30848,0.31223,0.30921,0.30713,0.30377,5.60112,1.14231,5.48177,8.12221,11.19689,11.04205,6.66327,6.58413,0.0066,0.0585,0.81555,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.59628,15,11.50924,3.24034,1.00000,856
torus,65,0.0160522,4208,7.45106,9.50424,0.78397,0.33854,0.34847,true,2048,false,true,false,1520,true,true,false,false,false,false,1,262144,0.78454,39.76176,31.19461,0.33412,0.32700,1.00583,1.04471,0.99840,0.98834,4.1866,681,0.75278,0.86587,66.15543,22.10409,112.03239,178.18781,154.91595,134.13648,0.009932,0.009932,1.02934,0.08214,0.07221,0.26633,0.35035,0.35143,0.34808,0.34392,0.33818,3.05079,0.99760,6.45346,8.72166,9.65326,9.48388,7.97997,7.44314,0.0058,0.0428,0.85432,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.78482,15,6.20532,2.88973,1.00000,408
box_exact,65,0.0220032,5768,5.62482,10.25530,0.54848,0.26684,0.27647,true,2048,false,true,false,2296,true,true,false,false,false,false,1,262144,0.54861,42.90728,23.53932,0.17239,0.17185,1.01102,1.04921,0.99111,0.96283,4.1849,663,0.50992,0.77242,117.63870,20.27930,81.02225,198.66095,131.14777,101.30155,0.009628,0.009628,1.03608,0.08212,0.07249,0.19435,0.27610,0.27797,0.27617,0.26732,0.26656,5.59136,0.96088,4.66394,6.84284,10.33272,10.24161,5.80014,5.61743,0.0109,0.0469,0.82200,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.54849,15,11.36200,3.18447,1.00000,1024
csg_difference,65,0.0229416,6014,5.45313,9.89791,0.55094,0.25859,0.26312,true,2048,false,true,false,2353,true,true,false,false,false,false,1,262144,0.55113,41.41508,22.82525,0.17675,0.19761,1.00766,1.04450,0.99384,0.96644,4.1857,655,0.51253,0.77237,112.81610,19.94064,77.70807,190.52417,126.42657,97.64871,0.004530,0.004530,1.01752,0.07698,0.07245,0.18614,0.26928,0.26441,0.26274,0.25896,0.25826,5.53940,1.09462,4.35850,6.67900,9.95243,9.87511,5.48656,5.44158,0.0076,0.0426,0.81646,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.55104,15,10.89724,3.13003,1.00000,1024
thin_plate,65,0.0078125,2048,14.49136,15.96994,0.90741,0.64419,0.65337,true,2048,false,true,false,256,true,true,false,false,false,false,1,262144,0.90687,66.88360,60.65463,0.60468,0.55878,1.00482,1.01719,0.99951,0.99828,4.1856,722,0.92311,0.95384,55.09864,33.31690,228.19297,283.29162,274.16662,261.50988,0.009178,0.009178,1.01425,0.09962,0.09045,0.55374,0.66793,0.65873,0.65284,0.64611,0.64359,3.35110,1.87251,12.61885,16.06895,16.19249,15.86359,14.67386,14.43514,0.0048,0.0169,0.90182,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.90995,15,2.00000,1.00000,1.00000,64
gyroid,65,0.0817566,21432,1.95348,4.68265,0.41717,0.12385,0.13550,true,2048,false,true,false,8321,true,true,false,false,false,false,1,262144,0.41730,19.59823,8.17829,0.20330,0.21250,1.00543,1.06394,0.99251,0.92254,4.1865,416,0.38462,0.59449,74.00308,15.04465,21.80572,95.80880,61.98634,36.85037,0.011648,0.011648,1.09405,0.08257,0.07092,0.05293,0.13247,0.13589,0.13541,0.12402,0.12370,3.46560,0.73643,1.21705,3.16767,4.75574,4.67765,1.98855,1.93813,0.0054,0.0601,0.61669,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.41434,15,6.79657,3.10601,1.00000,2276
fbm_terrain,65,0.0320930,8413,4.05823,5.87837,0.69037,0.20754,0.22285,true,2048,false,true,false,2380,true,true,false,false,false,false,1,262144,0.69110,24.57176,16.98159,0.33042,0.33915,1.00020,1.00291,0.99991,0.99870,4.1845,590,0.66841,0.81501,54.49852,18.00749,55.54968,110.04820,90.25265,73.55717,0.015307,0.015307,1.07375,0.08800,0.07269,0.13485,0.21501,0.22328,0.22260,0.20782,0.20722,2.75425,0.93411,3.12412,4.98614,5.92229,5.85147,4.09757,4.04930,0.0002,0.0029,0.81390,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.69201,15,4.43504,2.26316,1.00000,583
noise_cavity,65,0.1082420,28375,1.78496,3.07728,0.58004,0.11216,0.11474,true,2048,false,true,false,8112,true,true,false,false,false,false,1,262144,0.57990,12.87031,7.46347,0.30794,0.40541,1.00311,1.03983,0.99776,0.97302,4.1813,367,0.48483,0.67729,46.69463,14.37935,16.03258,62.72721,44.90250,30.41193,0.002576,0.002576,1.02296,0.07425,0.07167,0.04049,0.11098,0.11566,0.11466,0.11331,0.11208,2.17346,0.88114,0.90382,2.32070,3.09462,3.07203,1.82970,1.77724,0.0031,0.0383,0.76914,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.57852,15,4.24937,2.28708,1.00000,1884
sphere,129,0.0091705,19232,12.08918,20.48116,0.59026,0.40248,0.40844,true,2048,false,true,false,7936,true,true,false,false,false,true,2,2097152,0.59057,85.61216,50.55967,0.11974,0.13605,1.00664,1.06213,0.99544,0.96098,4.1822,93,0.53823,0.84051,208.73198,24.99357,189.17228,397.90426,254.80608,214.16585,0.005967,0.005967,1.01483,0.07707,0.07110,0.33138,0.40429,0.41705,0.40480,0.41515,0.39996,9.71356,1.32157,10.76761,13.70197,20.60499,20.42563,12.37422,11.99069,0.0066,0.0585,0.88230,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.58704,15,22.17637,3.30116,1.00000,6664
torus,129,0.0083122,17432,13.04429,17.40508,0.74945,0.44163,0.44433,true,2048,false,true,false,6448,true,true,false,false,false,false,2,2097152,0.74949,72.79877,54.56206,0.22212,0.20778,1.00583,1.04471,0.99806,0.98589,4.1828,93,0.72221,0.90016,115.93106,25.75070,208.69851,324.62957,260.45288,234.44921,0.002697,0.002697,1.00611,0.07985,0.07716,0.36447,0.43725,0.44828,0.44109,0.44397,0.43555,5.50455,1.14376,11.90053,14.40339,17.44229,17.37255,13.06862,13.00823,0.0058,0.0428,0.90564,ns_per_set_bit_walk/ns_per_set_bit_table; above 1 means the table wins,0.74878,15,11.83662,2.95916,1.00000,3224
