criterion,field,triangles,hausdorff,hausdorff_at_matched_triangles,criterion_ms,rank_correlation_with_error,worst_decile_hausdorff,c1_holds,c2_holds,assembly_triangle_gap,base_cells,base_samples,base_sign_change_cells,beta_beats_camera,beta_beats_curvature,beta_unscored_meshable,beta_vs_camera_ratio,beta_vs_curvature_ratio,budget_growth,budget_growth_low,c1_bar,c1_fields_won,c1_fields_won_low,c1_holds_at_low_budget,c2_named_fields,c2_noise_cavity_won,c2_prediction_held,c2_thin_plate_won,camera_distance_from_centre,camera_position,cell_error_population,chamber_degenerate_triangles,chamber_skipped_triangles,crate_hausdorff_status,crate_hausdorff_uniform_coarse,crate_hausdorff_uniform_fine,criterion_ms_max,criterion_ms_min,criterion_repeats,fine_samples_per_cell,hausdorff_budget_low,hausdorff_mesh_to_surface,hausdorff_surface_to_mesh,hausdorff_uniform_coarse,hausdorff_uniform_fine,ladder_span,matched_dropped_cells,mesh_projection_unconverged,meshable_cells,p152_beta_share,p152_planar_fraction,p152_rank_correlation_with_qef,planar_floor,population_unscored,predicted_beta_beats_curvature,projection_step_cells_max,projection_unconverged,rank_population,reference_samples,refined_cells,refined_overlap_with_beta,score_absent_cells,score_all_tied,score_distinct_values,score_max,score_min,slab_evaluations_per_patch,sub_cell_only_cells,surface_cells,surface_point_stride,surface_points,surface_points_unassigned,transition_faces,triangles_at_matched,triangles_budget_low,triangles_matched_ceiling,triangles_target,triangles_target_low,triangles_uniform_coarse,triangles_uniform_fine,unscoped_none,whole_grid_hausdorff_gap_coarse,whole_grid_hausdorff_gap_fine,whole_grid_triangles_coarse,whole_grid_triangles_fine,worst_decile_spread
curvature,csg_difference,1676,0.120924796,0.120924796,1.8461,0.906702,0.049638477,false,false,0.000000,4096,17,296,false,false,0,1.023005,1.831611,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,224,0,0,unmeasurable:bound=underestimate,NaN,NaN,1.8470,1.8437,5,3,0.279719735,0.083333333,0.120924796,0.279719735,0.120924796,2.313171,1,0,296,1.455210,0.865994,0.674180,1e-12,0,false,2.518774932e-3,0,224,65,116,0.302564,0,false,37,8.884378080e0,0.000000000e0,73,0,296,1,6012,2151,180,1664,1122,1672,1676,1130,584,2768,3800,0.000000000e0,0.000000000e0,584,2768,0.072950416
camera_distance,csg_difference,1672,0.216506351,0.216506351,0.0129,0.409047,0.122333594,false,false,0.000000,4096,17,296,false,false,0,1.023005,1.831611,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,224,0,0,unmeasurable:bound=underestimate,NaN,NaN,0.0129,0.0129,5,3,0.216506351,0.166666667,0.216506351,0.279719735,0.120924796,2.313171,0,0,296,1.455210,0.865994,0.674180,1e-12,0,false,2.518774932e-3,0,224,65,144,0.260090,0,false,79,-3.168804428e0,-5.515544457e0,73,0,296,1,6012,2151,42,1672,1124,1672,1676,1130,584,2768,3800,0.000000000e0,0.000000000e0,584,2768,0.072950416
beta,thin_plate,632,0.132582521,0.132582521,0.1603,0.000000,0.017057578,false,false,0.000000,4096,17,128,false,false,0,1.000000,3.000000,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,false,false,4.000000000,2.3094|2.3094|2.3094,128,0,0,measured,0.177218086,0.089267855,0.1604,0.1602,5,3,0.132582521,0.008333333,0.132582521,0.132582521,0.044194174,3.000000,0,0,128,1.693981,1.000000,0.000000,1e-12,0,true,1.387778781e-17,0,128,65,64,1.000000,3968,true,1,0.000000000e0,0.000000000e0,73,0,128,1,2046,62,16,632,440,632,632,440,248,1016,3968,0.000000000e0,0.000000000e0,248,1016,0.012948222
curvature,thin_plate,632,0.044194174,0.044194174,0.7617,0.981145,0.007941248,false,false,0.000000,4096,17,128,false,false,0,1.000000,3.000000,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,false,false,4.000000000,2.3094|2.3094|2.3094,128,0,0,measured,0.177218086,0.089267855,0.7635,0.7564,5,3,0.044194174,0.008333333,0.044194174,0.132582521,0.044194174,3.000000,0,0,128,1.693981,1.000000,0.000000,1e-12,0,true,1.387778781e-17,0,128,65,64,0.391304,0,false,6,2.349772988e0,0.000000000e0,73,0,128,1,2046,62,50,632,440,632,632,440,248,1016,3968,0.000000000e0,0.000000000e0,248,1016,0.012948222
camera_distance,thin_plate,632,0.132582521,0.132582521,0.0129,-0.075929,0.020889470,false,false,0.000000,4096,17,128,false,false,0,1.000000,3.000000,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,false,false,4.000000000,2.3094|2.3094|2.3094,128,0,0,measured,0.177218086,0.089267855,0.0129,0.0129,5,3,0.132582521,0.008333333,0.132582521,0.132582521,0.044194174,3.000000,0,0,128,1.693981,1.000000,0.000000,1e-12,0,true,1.387778781e-17,0,128,65,64,0.153153,0,false,70,-2.981043603e0,-5.119289896e0,73,0,128,1,2046,62,34,632,440,632,632,440,248,1016,3968,0.000000000e0,0.000000000e0,248,1016,0.012948222
beta,gyroid,6534,1.043565874,1.043565874,1.7292,0.554332,0.275808049,false,false,0.009029,4096,17,1214,true,false,30,0.929633,2.735820,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,14.000000000,8.0829|8.0829|8.0829,1134,7,0,unmeasurable:bound=lipschitz,NaN,NaN,1.7404,1.7263,5,3,1.122556500,0.370278242,1.043565874,1.122556500,0.381445370,2.942902,1,0,1244,0.879987,0.367176,0.780217,1e-12,0,false,1.239058520e-1,0,1134,65,406,1.000000,2882,false,590,3.250828916e-1,0.000000000e0,73,0,1214,2,10767,164,1188,6522,4536,6532,6536,4536,2536,10536,2882,0.000000000e0,0.000000000e0,2536,10632,0.222623767
curvature,gyroid,6532,0.381445370,0.381445370,5.7454,0.389149,0.143557272,false,false,0.009029,4096,17,1214,true,false,30,0.929633,2.735820,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,14.000000000,8.0829|8.0829|8.0829,1134,10,0,unmeasurable:bound=lipschitz,NaN,NaN,5.7498,5.7362,5,3,0.452390302,0.278550720,0.381445370,1.122556500,0.381445370,2.942902,0,0,1244,0.879987,0.367176,0.780217,1e-12,0,false,1.239058520e-1,0,1134,65,684,0.309724,0,false,787,1.103790790e1,1.595736986e-2,73,0,1214,2,10767,164,1212,6532,4536,6532,6536,4536,2536,10536,2882,0.000000000e0,0.000000000e0,2536,10632,0.222623767
camera_distance,gyroid,6534,1.122556500,1.122556500,0.0129,-0.038243,0.366181039,false,false,0.009029,4096,17,1214,true,false,30,0.929633,2.735820,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,14.000000000,8.0829|8.0829|8.0829,1134,10,0,unmeasurable:bound=lipschitz,NaN,NaN,0.0130,0.0129,5,3,1.122556500,0.607437410,1.122556500,1.122556500,0.381445370,2.942902,1,0,1244,0.879987,0.367176,0.780217,1e-12,0,false,1.239058520e-1,0,1134,65,619,0.235860,0,false,322,-7.914271843e0,-2.040251795e1,73,0,1214,2,10767,164,144,6530,4532,6532,6536,4536,2536,10536,2882,0.000000000e0,0.000000000e0,2536,10632,0.222623767
beta,fbm_terrain,2424,0.667773082,0.667773082,1.4974,0.376233,0.232893192,false,false,0.013178,4096,17,470,false,false,21,1.000000,1.128548,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,16.000000000,9.2376|9.2376|9.2376,465,1,0,unmeasurable:bound=unbounded,NaN,NaN,1.5041,1.4938,5,3,0.667773082,0.410378805,0.667773082,0.667773082,0.591709749,1.128548,2,0,491,0.862979,0.314607,0.707688,1e-12,0,false,5.572652530e-2,0,465,65,151,1.000000,3626,false,330,1.765053496e-1,0.000000000e0,73,0,470,1,8638,198,402,2402,1686,2412,2425,1691,956,3894,3626,0.000000000e0,1.156280978e0,956,3946,0.041921231
curvature,fbm_terrain,2412,0.591709749,0.591709749,18.9701,0.244033,0.208066451,false,false,0.013178,4096,17,470,false,false,21,1.000000,1.128548,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,16.000000000,9.2376|9.2376|9.2376,465,0,0,unmeasurable:bound=unbounded,NaN,NaN,19.0707,18.9608,5,3,0.591709749,0.379164783,0.591709749,0.667773082,0.591709749,1.128548,0,0,491,0.862979,0.314607,0.707688,1e-12,0,false,5.572652530e-2,0,465,65,223,0.301038,0,false,376,1.907491905e0,4.397714613e-2,73,0,470,1,8638,198,358,2412,1686,2412,2425,1691,956,3894,3626,0.000000000e0,1.156280978e0,956,3946,0.041921231
camera_distance,fbm_terrain,2416,0.667773082,0.667773082,0.0129,0.001736,0.249987682,false,false,0.013178,4096,17,470,false,false,21,1.000000,1.128548,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,16.000000000,9.2376|9.2376|9.2376,465,1,0,unmeasurable:bound=unbounded,NaN,NaN,0.0129,0.0129,5,3,0.667773082,0.410378805,0.667773082,0.667773082,0.591709749,1.128548,2,0,491,0.862979,0.314607,0.707688,1e-12,0,false,5.572652530e-2,0,465,65,240,0.253968,0,false,309,-9.018574372e0,-2.559522873e1,73,0,470,1,8638,198,52,2400,1690,2412,2425,1691,956,3894,3626,0.000000000e0,1.156280978e0,956,3946,0.041921231
beta,noise_cavity,7532,0.647064302,0.647064302,1.6871,-0.016442,0.188463657,false,false,0.055153,4096,17,1123,false,false,91,1.000000,1.262138,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,false,false,4.000000000,2.3094|2.3094|2.3094,1122,73,0,unmeasurable:bound=unbounded,NaN,NaN,1.6966,1.6837,5,3,0.647064302,0.647064302,0.333028076,0.624056160,0.647064302,0.964442,2,52,1214,0.824659,0.326749,0.724974,1e-12,0,true,1.381890117e0,0,1122,65,456,1.000000,2973,false,676,3.593615535e-1,0.000000000e0,73,0,1123,2,14440,998,1118,7522,5030,7528,7533,5047,2560,12506,2973,0.000000000e0,0.000000000e0,2560,13236,0.068160453
curvature,noise_cavity,7528,0.512673132,0.512673132,5.4281,0.452142,0.120303204,false,false,0.055153,4096,17,1123,false,false,91,1.000000,1.262138,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,false,false,4.000000000,2.3094|2.3094|2.3094,1122,52,0,unmeasurable:bound=unbounded,NaN,NaN,5.4562,5.4246,5,3,0.534734281,0.512673132,0.289835643,0.624056160,0.647064302,0.964442,0,49,1214,0.824659,0.326749,0.724974,1e-12,0,true,1.381890117e0,0,1122,65,510,0.335172,0,false,1101,1.200191145e2,2.562975065e-1,73,0,1123,2,14440,998,1100,7528,5044,7528,7533,5047,2560,12506,2973,0.000000000e0,0.000000000e0,2560,13236,0.068160453
camera_distance,noise_cavity,7532,0.647064302,0.647064302,0.0129,0.035244,0.174951882,false,false,0.055153,4096,17,1123,false,false,91,1.000000,1.262138,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,false,false,4.000000000,2.3094|2.3094|2.3094,1122,58,0,unmeasurable:bound=unbounded,NaN,NaN,0.0129,0.0129,5,3,0.647064302,0.647064302,0.315299234,0.624056160,0.647064302,0.964442,1,38,1214,0.824659,0.326749,0.724974,1e-12,0,true,1.381890117e0,0,1122,65,560,0.284994,0,false,283,-2.349003791e0,-5.663561705e0,73,0,1123,2,14440,998,186,7516,5046,7528,7533,5047,2560,12506,2973,0.000000000e0,0.000000000e0,2560,13236,0.068160453
