# experiment P-157 (R-157)
# hypothesis: x42 tested a knot shift at fixed order and found the gain maps to root position only as a lottery over the crossing position. The untested lever is the order itself: a filter with approximation order 4 changes the exponent, not the constant, and that is a different mechanism with a different failure mode. (C1) A higher-order reconstruction gives a fitted error exponent above 3 on at least four smooth fields, against the trilinear's 2. (C2) The cost is stated honestly in the currency that matters: field evaluations per cell, and the resulting share of extraction time, because a wider stencil is more samples and samples are this crate's dominant cost on procedural fields. (C3) THE COLLATERAL IS PRICED AT REGISTRATION: the entire A-002 apparatus -- the asymptotic decider, the interior test, the body-saddle algebra, and P-127's identity -- is derived from the trilinear and would need re-deriving; the count of invalidated cases is a reported column, not a discovery. SHARE: C2 moves the field-evaluation stage, which M-152 puts at 2.65 ms of an 8.40 ms upload at 129^3.
# falsified by: C1 by an exponent at or below 3, which would mean the order does not materialise on our fields at our resolutions. C2 by a share that makes it unaffordable regardless of accuracy. C3 by a smaller invalidation than predicted, which would be good news and should be recorded as such. VACUITY CONTROL: the trilinear arm must reproduce exponent 2 in the same harness, or the comparison is between two different measurement setups.
# commit 7d96604 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:24:54Z
filter,approximation_order,field,resolution_series,fitted_exponent,hausdorff,samples_per_cell,eval_ms,eval_share,cases_invalidated,hashes_moved,c1_holds,c2_holds,c3_holds,bisections,bound,c1_hits,c1_population,cases_centroid_bearing,cases_decider_dependent,cases_empty,cases_total,cases_tunnel_capable,cases_with_geometry,cells_at_timing,crossings_dropped,crossings_finest,empty_case_centre_value,empty_case_index,empty_case_interior_component,empty_case_triangles,eval_ms_max,eval_ms_min,fixture_rows,gradient_calls,halo_layers,hashes_checked,hausdorff_coverage,hausdorff_series,hausdorff_valid,is_control,m150_path_ms,m152_eval_ms,m152_upload_ms,p127_identity_degree,p127_identity_holds,p127_identity_multi_affine,p127_identity_terms,p127_identity_variables,p127_pencil_matches,p138_case_space_tricubic,p138_case_space_trilinear,p138_case_space_triquadratic,p138_mv_tricubic,p138_mv_trilinear,p138_mv_triquadratic,p138_net_sign_bits_tricubic,p138_signs_are_case_index_tricubic,p138_tractable_tricubic,p138_tractable_triquadratic,p155_fitted_exponent_sphere,p155_fitted_exponent_torus,p155_measured_order,p155_strang_fix_order,recon_error_series,recon_fitted_exponent,recon_mean_finest,recon_zero_error,samples_per_cell_ratio,share_delta_ms_at_129,share_delta_pct_at_129,share_growth_at_129,smooth,stencil_clamped,stencil_samples,timing_repeats,timing_resolution,timing_scatter,topology_identical,total_ms,total_ms_max,total_ms_min,total_ratio,triangles_finest,vertices_finest
tricubic_lagrange_4x4x4,4,torus_fat,17|25|35|49,1.924567,3.950462e-3,1.509236,0.256192,0.035119,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,4720,-2.814453,0,true,0,0.260002,0.255992,216,0,2,24,true,3.229403e-2|1.489595e-2|7.331378e-3|3.950462e-3,true,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.860747e-3|3.500151e-4|9.317306e-5|2.145962e-5,4.037091,5.819293e-6,2.145962e-5,1.383534,0.254234,1.693767,1.095938,true,0,64,7,35,1.002050,true,7.295036,7.297565,7.282636,12.589717,9440,4720
exact_oracle,inf,torus_fat,17|25|35|49,1.942273,3.950311e-3,3.063174,0.519804,0.450301,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,4720,-2.814453,0,true,0,0.524444,0.519484,216,2584,2,24,true,3.294948e-2|1.497797e-2|7.349224e-3|3.950311e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,9.603873e-11|6.955442e-11|5.223000e-11|3.872636e-11,0.825710,1.364237e-11,3.872636e-11,2.808047,0.254234,1.693767,1.095938,true,0,8,7,35,1.048034,true,1.154349,1.200489,1.145468,1.992167,9440,4720
trilinear,2,box_exact,17|25|35|49,1.197307,9.622504e-2,1.090856,0.132181,0.294217,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,3174,-2.814453,0,true,0,0.136351,0.132141,216,1734,2,24,true,2.886751e-1|1.924501e-1|6.792356e-2|9.622504e-2,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,0.000000e0|3.330669e-16|1.110223e-16|1.110223e-16,nan,5.551115e-17,1.110223e-16,1.000000,0.254234,1.693767,1.095938,false,0,8,7,35,1.015123,false,0.449264,0.455103,0.448323,1.000000,6344,3174
tricubic_lagrange_4x4x4,4,box_exact,17|25|35|49,1.214675,9.622504e-2,1.509236,0.182941,0.034537,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,3174,-2.814453,0,true,0,0.193871,0.182601,216,0,2,24,true,2.886751e-1|1.924501e-1|6.390301e-2|9.622504e-2,true,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.164153e-10|7.761058e-11|6.963799e-3|3.880529e-11,-4.311810,3.880518e-11,3.880529e-11,1.383534,0.254234,1.693767,1.095938,false,0,64,7,35,1.002549,false,5.297031,5.305421,5.291930,11.790464,6908,3456
exact_oracle,inf,box_exact,17|25|35|49,1.197307,9.622504e-2,2.414385,0.292802,0.425544,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,3174,-2.814453,0,true,0,0.297682,0.292202,216,1734,2,24,true,2.886751e-1|1.924501e-1|6.792356e-2|9.622504e-2,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.164153e-10|7.761058e-11|5.478362e-11|3.880529e-11,0.999998,3.880518e-11,3.880529e-11,2.213294,0.254234,1.693767,1.095938,false,0,8,7,35,1.007326,false,0.688065,0.690215,0.685195,1.531538,6344,3174
trilinear,2,thin_plate,17|25|35|49,1.040626,6.023680e-2,1.090856,0.132161,0.322554,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,1150,-2.814453,0,true,0,0.135551,0.131721,216,646,2,24,true,1.772181e-1|1.185122e-1|6.860951e-2|6.023680e-2,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.040834e-17|3.330669e-16|1.250000e-2|1.214306e-16,-11.028321,8.104628e-17,1.214306e-16,1.000000,0.254234,1.693767,1.095938,false,0,8,7,35,1.017220,false,0.409733,0.415324,0.408293,1.000000,2296,1150
tricubic_lagrange_4x4x4,4,thin_plate,17|25|35|49,1.070199,6.023680e-2,1.509236,0.182962,0.052862,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,1150,-2.814453,0,true,0,0.187291,0.182421,216,0,2,24,true,1.772181e-1|1.185122e-1|6.183935e-2|6.023680e-2,true,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.577072e-2|1.348107e-2|1.250000e-2|9.335190e-3,0.449811,8.588375e-3,9.335190e-3,1.383534,0.254234,1.693767,1.095938,false,0,64,7,35,1.002912,false,3.461106,3.468157,3.458086,8.447223,2312,1158
exact_oracle,inf,thin_plate,17|25|35|49,1.183084,6.023680e-2,1.583935,0.191791,0.385445,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,1150,-2.814453,0,true,0,0.197091,0.191562,216,646,2,24,true,1.772181e-1|1.185122e-1|4.159452e-2|6.023680e-2,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.164153e-10|7.761058e-11|5.478362e-11|3.880529e-11,0.999998,1.024448e-11,3.880529e-11,1.452012,0.254234,1.693767,1.095938,false,0,8,7,35,1.011219,false,0.497583,0.502044,0.496474,1.214408,2296,1150
trilinear,2,gyroid,17|25|35|49,nan,nan,1.090856,1.521112,0.578893,256,0,false,true,true,30,lipschitz,0,4,0,120,2,256,152,254,39304,0,12030,-2.814453,0,true,0,1.538382,1.498612,216,5976,2,24,true,,false,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,2.577989e-1|2.694997e-1|1.261084e-1|1.437814e-1,0.683110,2.150808e-3,1.437814e-1,1.000000,0.254234,1.693767,1.095938,true,0,8,7,35,1.013557,true,2.627620,2.660061,2.624480,1.000000,24108,12030
tricubic_lagrange_4x4x4,4,gyroid,17|25|35|49,nan,nan,1.509236,2.307757,0.142788,256,0,false,true,true,30,lipschitz,0,4,0,120,2,256,152,254,39304,0,12030,-2.814453,0,true,0,2.317338,2.281718,216,0,2,24,true,,false,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.750441e-1|1.565848e-1|9.549099e-2|7.611122e-2,0.814773,1.526122e-3,7.611122e-2,1.383534,0.254234,1.693767,1.095938,true,0,64,7,35,1.013472,true,16.162153,16.350585,16.133243,6.150872,24108,12030
exact_oracle,inf,gyroid,17|25|35|49,nan,nan,5.652224,7.591468,0.708879,256,0,false,true,true,30,lipschitz,0,4,0,120,2,256,152,254,39304,0,12030,-2.814453,0,true,0,7.751759,7.538718,216,5976,2,24,true,,false,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,3.747198e-10|2.631405e-10|1.794076e-10|1.325428e-10,0.959855,4.491560e-11,1.325428e-10,5.181458,0.254234,1.693767,1.095938,true,0,8,7,35,1.003297,true,10.709112,10.735722,10.700442,4.075594,24108,12030
trilinear,2,fbm_terrain,17|25|35|49,nan,nan,1.090856,7.787820,0.896718,256,0,false,true,true,30,unbounded,0,4,0,120,2,256,152,254,39304,0,4826,-2.814453,0,true,0,7.800570,7.777859,216,2358,2,24,true,,false,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,2.754079e-1|2.509321e-1|1.725590e-1|1.089930e-1,0.855343,7.546663e-3,1.089930e-1,1.000000,0.254234,1.693767,1.095938,true,0,8,7,35,1.016652,true,8.684807,8.814697,8.670317,1.000000,9352,4826
tricubic_lagrange_4x4x4,4,fbm_terrain,17|25|35|49,nan,nan,1.509236,10.809042,0.622813,256,0,false,true,true,30,unbounded,0,4,0,120,2,256,152,254,39304,0,4826,-2.814453,0,true,0,11.189116,10.794232,216,0,2,24,true,,false,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,2.810663e-1|2.600720e-1|1.448537e-1|7.113894e-2,1.273648,5.874157e-3,7.113894e-2,1.383534,0.254234,1.693767,1.095938,true,0,64,7,35,1.001236,true,17.355193,17.370733,17.349292,1.998340,9352,4826
exact_oracle,inf,fbm_terrain,17|25|35|49,nan,nan,2.890673,20.598627,0.933963,256,0,false,true,true,30,unbounded,0,4,0,120,2,256,152,254,39304,0,4826,-2.814453,0,true,0,20.786689,20.579737,216,2358,2,24,true,,false,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,4.319353e-10|2.993153e-10|2.103635e-10|1.546312e-10,0.942147,5.187620e-11,1.546312e-10,2.649913,0.254234,1.693767,1.095938,true,0,8,7,35,1.005779,true,22.055068,22.166199,22.038829,2.539500,9352,4826
trilinear,2,noise_cavity,17|25|35|49,nan,nan,1.090856,1.933194,0.606729,256,0,false,true,true,30,unbounded,0,4,0,120,2,256,152,254,39304,0,15792,-2.814453,0,true,0,1.940894,1.928895,216,7540,2,24,true,,false,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,3.758804e-1|2.897236e-1|1.615987e-1|1.357135e-1,0.996259,4.726958e-3,1.357135e-1,1.000000,0.254234,1.693767,1.095938,false,0,8,7,35,1.008391,false,3.186254,3.198784,3.172165,1.000000,31888,15792
tricubic_lagrange_4x4x4,4,noise_cavity,17|25|35|49,nan,nan,1.509236,2.675620,0.137094,256,0,false,true,true,30,unbounded,0,4,0,120,2,256,152,254,39304,0,15792,-2.814453,0,true,0,2.683051,2.672100,216,0,2,24,true,,false,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,6.225450e-1|3.087384e-1|4.225836e-1|1.271951e-1,1.218124,3.347103e-3,1.271951e-1,1.383534,0.254234,1.693767,1.095938,false,0,64,7,35,1.004436,false,19.516699,19.593750,19.507209,6.125280,31892,15794
exact_oracle,inf,noise_cavity,17|25|35|49,nan,nan,6.845995,12.033202,0.751341,256,0,false,true,true,30,unbounded,0,4,0,120,2,256,152,254,39304,0,15792,-2.814453,0,true,0,12.050002,12.022631,216,7540,2,24,true,,false,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.164153e-10|7.761058e-11|5.478373e-11|3.880518e-11,0.999999,1.349596e-11,3.880518e-11,6.275802,0.254234,1.693767,1.095938,false,0,8,7,35,1.004613,false,16.015632,16.070562,15.996772,5.026477,31888,15792
