# experiment P-126 (R-072)
# hypothesis: O-12'S REMAINING HALF, AND P-63'S OWN C3 IS THE STRONGEST RECORD OF WHY IT IS STILL OPEN. P-63 closed the PRIMAL half by exhaustion -- M-374, 11 arms x 262,144 sign patterns over an 18-corner block, worst_link_components 1 on every non-control arm against a control yielding 5,302 link-defective vertices -- and it ran the DUAL arms on that same block and came back VACUOUS, max_incident_faces 2 on all three. A dual vertex lives at a cell CENTRE and its link needs the cell's 26 neighbours, so the block must be 3 x 3 x 3 CELLS = 4 cubed = 64 CORNERS and the sweep is 2^27 = 134,217,728 sign patterns. An 18-corner block cannot host the configuration at all, and zero there is not evidence. (C1) Over the full 2^27 sweep, worst_link_components is 1 on every non-control arm -- the dual vertex link is a single connected cycle, so the dual output is a manifold at the vertex. (C2) The control arm, which deliberately partitions a cell's edge cycles the way manifold_dual_contouring's FaceAmbiguity::Connected does, reads worst_link_components GREATER THAN 1, so the instrument is shown emitting bad news before its ones are read. (C3) The population is derived FROM THE BLOCK THIS SWEEP SWEEPS and not from a census taken elsewhere: dual_vertices_with_complete_link is reported per arm and asserted non-zero, and its expected value is computed from the 64 corners the sweep enumerates. THE NAMED ERROR THIS REGISTRATION EXISTS NOT TO REPEAT: P-63's C3 derived its expected population from the CRITICAL census when the population it needed was dual vertices carrying a COMPLETE link, which in an 18-corner block is empty -- so it measured a zero over an empty set and reported vacuous. THIS NEEDS A NEW P- ID AND NOT AN AMENDMENT, because experiment.rs's rule is that a registration is not amended after its run and P-63 has run. INSTRUMENT AND SCHEDULE: an estimated 4 to 45 minutes single-threaded, which is a NIGHTLY gate and not a cargo bench run, and the bench IS the gate -- after writing its CSV it exits non-zero when worst_link_components exceeds 1 on any non-control arm, naming the arm and the pattern, so one binary answers the question once and gates it forever. There is no second path and no verdict logic anywhere else. SHARE: this row moves nothing and proposes no source change. It decides a question named in O-12's own text that has been invisible to backlog_gate.sh since Phase 23 closed.
# falsified by: C1 by any non-control arm reading worst_link_components above 1, which would mean the dual output is NON-MANIFOLD at a vertex on a reachable sign pattern -- and that is the valuable outcome, because A-017 documents MDC's non-manifoldness as a limit of the algorithm and this would name the configuration exactly. C2 by the control reading 1, which is the P-63-C3 failure mode arriving again -- a zero over an empty or unreachable population -- and ABORTS THE RUN rather than recording a pass. C3 by dual_vertices_with_complete_link reading zero on any arm, for the same reason: the 18-corner block's vacuity is precisely what a complete-link population of zero looks like, and a sweep that reproduces it has not fixed the fixture. VACUITY CONTROL: dual_vertices_with_complete_link asserted non-zero PER ARM and never pooled; patterns_swept asserted equal to 134,217,728 exactly, so a sweep that silently narrowed its own domain is a failure rather than a fast pass; and the control arm's link_defective_vertices asserted greater than zero in the same run.
# commit 1f95b95 on amd-ryzen-9-5900x-12-core at 2026-08-29T02:43:08Z
arm,block_cells,block_corners,patterns_swept,dual_vertices,dual_vertices_with_complete_link,worst_link_components,worst_link_pattern,max_incident_faces,link_defective_vertices,is_control,wall_seconds,c1_holds,c2_holds,c3_holds,active_cells,ambiguous_face_pairing,boundary,corner_identification,cycle_adjacency_violations,cycles_per_256_sign_bytes,distinct_corner_sites,expected_active_cells,expected_dual_vertices,expected_link_defective_vertices,face_disconnected_sign_bytes,incomplete_link_vertices,isolated_vertices,pairing_disagreements,pairing_is_consistent,replica_bit_identical,replica_decider_face_disagreements,replica_diagonal_merges,replica_patterns,replica_quad_link_agreements,replica_shipped_arms,replica_triangles,replica_vertices,target_feature_popcnt,two_cut_edge_face_splits,vertex_rule,worst_link_case,worst_link_cell
mdc/separate,27,64,134217728,5067767808,5067767808,1,none,7,0,false,156.154,true,false,true,3595567104,separate,periodic,period_3_per_axis,0,358,27,3595567104,5067767808,unavailable,8,0,0,0,true,true,0,0,1024,242776,3,330612,242776,false,0,one_per_marching_cubes_cycle,0x01,0
mdc/every_ambiguous_face_joined,27,64,134217728,5067767808,5067767808,1,none,7,0,false,156.537,true,false,true,3595567104,every_ambiguous_face_joined,periodic,period_3_per_axis,0,358,27,3595567104,5067767808,unavailable,8,0,0,0,true,true,0,0,1024,242776,3,330612,242776,false,0,one_per_marching_cubes_cycle,0x01,0
mdc/mixed_consistent,27,64,134217728,4630724200,4630724200,1,none,12,0,false,243.777,true,false,true,3595567104,consistent_per_grid_face,periodic,period_3_per_axis,0,unavailable,27,3595567104,unavailable,unavailable,8,0,0,0,true,true,0,0,1024,242776,3,330612,242776,false,0,one_per_marching_cubes_cycle,0x01,0
control/one_vertex_per_cell,27,64,134217728,3595567104,3595567104,2,0x0000210,12,113246208,true,131.558,false,true,true,3595567104,separate,periodic,period_3_per_axis,0,254,27,3595567104,3595567104,113246208,8,0,0,0,true,true,0,0,1024,242776,3,330612,242776,false,0,one_per_cell,0x18,0
control/inconsistent_join_x,27,64,134217728,4784652288,4784652288,2,0x0000208,9,221792256,true,161.548,false,true,true,3595567104,high_x_face_of_each_cell,periodic,period_3_per_axis,0,338,27,3595567104,4784652288,unavailable,8,0,0,0,false,true,0,0,1024,242776,3,330612,242776,false,0,one_per_marching_cubes_cycle,0x28,2
control/open_block,27,64,134217728,5067767808,860880896,2,0x0000426,7,99876864,true,165.626,false,true,true,3595567104,separate,open,period_3_per_axis,0,358,27,3595567104,5067767808,unavailable,8,4206886912,689963008,0,true,true,0,0,1024,242776,3,330612,242776,false,0,one_per_marching_cubes_cycle,0x1b,1
