# experiment P-106 (R-106)
# hypothesis: THE TWELVE CUT-EDGE FLAGS OF A CELL ARE A FIXED BOOLEAN CIRCUIT OVER ITS EIGHT SIGN BITS, SO SIXTY- FOUR CELLS' WORTH CAN BE EVALUATED IN ONE WORD EACH. Provenance correction this registration carries: Fujita's Bitwise Parallel Bulk Computation DID NOT DOWNLOAD, so the technique is registered against the acquired FastLanes and AVX2-popcount papers, and the paper's 13.4e9 cell-updates/s figure is QUOTED FROM THE RESEARCH DOC RATHER THAN FROM A PAPER IN THE CORPUS -- it is therefore not a comparand and must not be scored against. (C1) The twelve cut-edge flags for 64 cells derive from the eight sign planes in AT MOST 24 word operations. (C2) The SWAR circuit's masks equal the byte-table path's on ALL 256 sign patterns, exhaustively rather than sampled -- x50 is the incident that earns the word 'exhaustively', because there a SAMPLED bound became a release-build panic. (C3) Instructions per cell below the byte-table path's. SHARE: the same stage P-121 measures for P-103, and this row inherits P-121's gate -- if integer work is under 15% of extraction, C3's win cannot move extraction and the row closes with C1 and C2 as facts about a circuit rather than as a performance result.
# falsified by: C1 by a circuit longer than 24 word operations, which is where the byte-table path wins on instruction count alone. C2 by any one of the 256 patterns disagreeing. C3 by no instruction-count win. VACUITY CONTROL: patterns_tested must equal 256 exactly, and a deliberately broken circuit must produce mutant_pattern_mismatches greater than zero -- the 256 is only worth having if the comparison can fail.
# commit f80dfde on amd-ryzen-9-5900x-12-core at 2026-08-29T00:09:45Z
field,resolution,word_ops,masks_identical_patterns,patterns_tested,mutant_pattern_mismatches,instructions_per_cell_table,instructions_per_cell_swar,ratio,c1_holds,c2_holds,c3_holds,c1_holds_with_plane_build,c3_holds_masks_layout,c3_holds_planes_layout,case_stream_share_instructions,cell_words_per_row,cells,cells_agreeing,cells_agreeing_random,complement_pairs_agree,count_ones_calls_per_cell_swar,count_ones_calls_per_cell_table,cut_cells,cut_edge_share_instructions,cut_fraction,cycle_ratio,cycles_extract_mc,cycles_per_cell_swar,cycles_per_cell_table,distinct_cut_masks,extraction_ceiling,ghz,inner_extract,inner_swar,inner_table,instruction_ratio_rep_spread,instructions_extract_mc,instructions_per_cell_case_stream,instructions_per_cell_pack,instructions_per_cell_swar_given_bitmap,instructions_per_cell_swar_masks,instructions_per_cell_table_planes,masks_identical_patterns_uniform,mutant_cell_mismatches_carry,ns_per_cell_swar,ns_per_cell_table,output_bytes_swar,output_bytes_table,pack_residual_share,pad_lanes,ratio_masks_layout,ratio_planes_layout,reps,sample_bit_row,samples,swar_saving_share_instructions,table_matches_cases_patterns,tally_agrees_with_u64,target_feature_popcnt,vertices,word_op_bar,word_ops_plane_build,word_ops_total
sphere,65,12,256,256,192,94.3858,11.3602,0.1204,true,true,true,true,true,true,0.161172,1,262144,262144,262144,256,0,0,4760,0.677535,0.018158,0.1851,33.4680,3.1943,17.2579,128,2.4752,4.1774,9,145,20,0.002626,139.3075,22.4524,9.3964,1.9478,64.7002,157.8377,256,3861,0.763948,4.131927,393216,524288,0.001417,0,0.6855,0.0720,7,2,274625,0.595987,256,true,false,4758,24,12,24
torus,65,12,256,256,192,94.3858,11.3602,0.1204,true,true,true,true,true,true,0.157648,1,262144,262144,262144,256,0,0,4208,0.662722,0.016052,0.1839,38.7598,3.1916,17.3526,128,2.3978,4.1818,9,146,20,0.002626,142.4214,22.4524,9.3964,1.9478,64.7002,157.8377,256,3861,0.763000,4.149829,393216,524288,0.001417,0,0.6855,0.0720,7,2,274625,0.582957,256,true,false,4208,24,12,24
box_exact,65,12,256,256,192,94.3858,11.3602,0.1204,true,true,true,true,true,true,0.133567,1,262144,262144,262144,256,0,0,5768,0.561490,0.022003,0.1857,41.7948,3.2124,17.2943,128,1.9759,4.1793,8,146,20,0.002626,168.0989,22.4524,9.3964,1.9478,64.7002,157.8377,256,3861,0.768623,4.138073,393216,524288,0.001417,0,0.6855,0.0720,7,2,274625,0.493909,256,true,false,5766,24,12,24
csg_difference,65,12,256,256,192,94.3858,11.3602,0.1204,true,true,true,true,true,true,0.124642,1,262144,262144,262144,256,0,0,6014,0.523973,0.022942,0.1868,46.8392,3.2110,17.1895,128,1.8550,4.1848,7,146,20,0.002626,180.1349,22.4524,9.3964,1.9478,64.7002,157.8377,256,3861,0.767995,4.106872,393216,524288,0.001417,0,0.6855,0.0720,7,2,274625,0.460907,256,true,false,6012,24,12,24
thin_plate,65,12,256,256,192,94.3858,11.3602,0.1204,true,true,true,true,true,true,0.139330,1,262144,262144,262144,256,0,0,2048,0.585719,0.007812,0.1863,38.7337,3.2107,17.2386,128,2.0628,4.1845,9,145,20,0.002626,161.1452,22.4524,9.3964,1.9478,64.7002,157.8377,256,3861,0.766970,4.119930,393216,524288,0.001417,0,0.6855,0.0720,7,2,274625,0.515222,256,true,false,2046,24,12,24
gyroid,65,12,256,256,192,94.3858,11.3602,0.1204,true,true,true,true,true,true,0.047525,1,262144,262144,262144,256,0,0,21432,0.199787,0.081757,0.1862,142.7100,3.2104,17.2401,128,1.2132,4.1829,3,140,20,0.002626,472.4313,22.4524,9.3964,1.9478,64.7002,157.8377,256,3861,0.767537,4.121534,393216,524288,0.001417,0,0.6855,0.0720,7,2,274625,0.175741,256,true,false,21534,24,12,24
fbm_terrain,65,12,256,256,192,88.3706,11.4408,0.1295,true,true,true,true,true,true,0.006563,1,262144,262144,262144,256,0,0,8413,0.025901,0.032093,0.2002,938.6158,3.2719,16.3413,128,1.0231,4.1808,1,145,20,0.004092,3411.8421,22.3909,9.3641,1.9478,64.6680,157.8377,256,3861,0.782449,3.908809,393216,524288,0.011269,0,0.7318,0.0725,7,2,274625,0.022548,256,true,false,8638,24,12,24
noise_cavity,65,12,256,256,192,89.3701,11.3602,0.1271,true,true,true,true,true,true,0.020192,1,262144,262144,262144,256,0,0,28375,0.080936,0.108242,0.1967,307.4944,3.2054,16.2922,128,1.0760,4.1805,2,141,20,0.000000,1104.2066,22.2967,9.3964,1.9478,64.7002,157.8377,256,3861,0.767577,3.896408,393216,524288,0.001417,0,0.7240,0.0720,7,2,274625,0.070648,256,true,false,28882,24,12,24
