# experiment P-172 (R-172)
# hypothesis: Conley index theory is a robust, computer-assisted alternative to Morse theory that tolerates degenerate critical points, and the corpus holds Dey, Haas & Lipinski on Conley-Morse persistence barcodes at 0.662. It requires an isolating neighbourhood around the invariant set, and box_exact has exactly-equal samples across whole faces, so gradf = 0 on a set of positive measure and no isolating neighbourhood exists -- the method is undefined precisely where it would be needed. (C1) The plateau fraction is measured per field, quantifying the obstruction rather than asserting it. (C2) The fraction of cells where an isolating neighbourhood exists is reported, and compared against the fraction where discrete Morse theory -- already registered -- applies, so the two are ranked on the same data rather than on argument. SHARE: none -- this closes a candidate.
# falsified by: C1 by negligible plateaus on every field, which would revive the method and make this row a false alarm worth having raised. C2 by Conley applying more widely than discrete Morse, which would reverse the ranking. VACUITY CONTROL: box_exact must report a non-zero plateau fraction, or the obstruction this row is built on does not exist in the fixture.
# commit 91a5e7b on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:46Z
field,resolution,plateau_cells,plateau_fraction,isolating_neighbourhood_exists,conley_applicable_fraction,vs_discrete_morse_applicable,c1_holds,c2_holds,boundary_critical_cells,boundary_critical_without_plateau,c2_global_holds,cells,conley_minus_morse_fraction,conley_minus_repaired_morse_fraction,constant_cells,constant_faces,criterion_source,discrete_morse_applicable_cells,flat_absolute_tolerance,flat_relative_tolerance,isolating_cells,negligible_percent,ns_per_cell,plateau_and_isolating,plateau_cells_exact,row_plateau_is_negligible,tied_corner_cells
sphere,17,0,0.000000,true,1.000000,0.656250,true,false,0,0,false,4096,0.343750,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),2688,2.500e-10,1.000e-9,4096,1,35.039,0,0,true,1408
sphere,33,0,0.000000,true,1.000000,0.820312,true,false,0,0,false,32768,0.179688,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),26880,1.250e-10,1.000e-9,32768,1,30.509,0,0,true,5888
sphere,65,0,0.000000,true,1.000000,0.908203,true,false,0,0,false,262144,0.091797,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),238080,6.250e-11,1.000e-9,262144,1,28.883,0,0,true,24064
torus,17,0,0.000000,true,1.000000,0.847656,true,false,0,0,false,4096,0.152344,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),3472,2.500e-10,1.000e-9,4096,1,38.911,0,0,true,624
torus,33,0,0.000000,true,1.000000,0.930176,true,false,0,0,false,32768,0.069824,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),30480,1.250e-10,1.000e-9,32768,1,31.800,0,0,true,2288
torus,65,0,0.000000,true,1.000000,0.966858,true,false,0,0,false,262144,0.033142,0.000000,0,0,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),253456,6.250e-11,1.000e-9,262144,1,29.840,0,0,true,8688
box_exact,17,2048,0.500000,false,0.957031,0.046875,true,false,176,0,false,4096,0.910156,-0.042969,0,4128,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),192,2.500e-10,1.000e-9,3920,1,32.058,1872,2048,false,3904
box_exact,33,16384,0.500000,false,0.977539,0.082031,true,false,736,0,false,32768,0.895508,-0.022461,0,32832,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),2688,1.250e-10,1.000e-9,32032,1,27.855,15648,16384,false,30080
box_exact,65,131072,0.500000,false,0.988525,0.102539,true,false,3008,0,false,262144,0.885986,-0.011475,0,262272,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),26880,6.250e-11,1.000e-9,259136,1,26.661,128064,131072,false,235264
csg_difference,17,1905,0.465088,false,0.958984,0.057617,true,false,168,3,false,4096,0.901367,-0.041016,0,3696,plateau = a numerically constant cell face; isolating = no critical point of the trilinear on dQ; discrete Morse = P-58/R-056 distinct vertex values (10.1109/tpami.2011.95 Alg.1 s3.1),236,2.500e-10,1.000e-9,3928,1,35.454,1740,1905,false,3860
