# experiment P-123 (R-027a)
# hypothesis: M-318 MEASURED THE CEILING AND NOBODY HAS ASKED WHERE THE 45x IS SPENT. A grid-edge naming takes buffer churn from 15,706 to 346 at 129 cubed -- 45x, FLAT IN n, and equal to the true geometric change -- and M-318 simultaneously established that the ENCODING is not the obstacle. Those two facts together leave the decomposition unmeasured, which is what this row supplies. DECOMPOSITION, fixed at registration into three terms that partition the churn by construction: GEOMETRIC, a value that changed because its crossing moved; PREDECESSOR-SHIFT, a value that is bit-identical to a value in the previous extraction but sits at a different slot because a cell earlier in traversal order emitted a different number of vertices; and ORDER-ONLY, a value that is bit-identical AND whose owning edge is unchanged, differing only in where the emission order put it. The three are measured as a prefix partition of the same diff so they sum to the churn exactly, and residual_share is recorded PER ROW -- R-085's discipline, and P-112 is the precedent for what happens when a residual is denominated in a clock. METHOD: BENCH-LOCAL, instrumenting the existing edit_trace bench. NO NEW FIELD, NO NEW EXTRACTOR, NO SOURCE CHANGE. (C1) The three terms account for the churn with residual_share under 5% in RETIRED INSTRUCTIONS-free integer counting -- these are counts of values, not times, so the residual is exact and a non-zero one is a decomposition defect rather than noise. (C2) The order-only term is at least 50% of the churn on at least one reference field, which is the threshold at which a canonical reorder AT EMISSION recovers the gap without touching extract_into. (C3) The geometric term equals M-318's own 346 at 129 cubed to within the fixture's own edit set, which is the check that this harness is measuring M-318's quantity and not a new one. SHARE: this row moves nothing. It decides whether R-027 stays declined, and it must not reopen the shape V-45 stopped: R-027's only working form turns validate/determinism.rs:268's reused-buffer run from a GATE into its INTENT, and no clause here proposes that.
# falsified by: C1 by a residual_share above 5%, which would mean the three terms do not partition the churn and no share below it is believable. C2 by the order-only term under 50% on every field -- which CLOSES R-027 for good rather than failing this row, because a reorder at emission then cannot recover the gap and the only remaining shape is the persistent edge-to-slot map V-45 already refused. C3 by the geometric term disagreeing with M-318's 346, which would mean this harness and M-318 are counting different things and the 45x it inherits is not this row's to decompose. VACUITY CONTROL: the churn must be NON-ZERO on every row before any share of it is reported, and the order-only term must be shown able to read zero -- a control arm that emits in a canonical edge order must drive it to exactly 0 while leaving the geometric term unchanged. A decomposition whose order-only term cannot reach zero is measuring the traversal rather than the ordering.
# commit 5e5ff1b on amd-ryzen-9-5900x-12-core at 2026-08-29T02:23:46Z
field,resolution,edits,churn_total,churn_geometric,churn_predecessor_shift,churn_order_only,residual_share,order_only_share,geometric_matches_m318,canonical_control_order_only,c1_holds,c2_holds,c3_holds,brush_centre_x,brush_centre_y,brush_centre_z,brush_radius_samples,c1_bar,c2_bar,c2_best_field,canonical_control_geometric,canonical_control_geometric_slots,canonical_control_predecessor_shift,canonical_control_total,case_changed,cells,changed_edge_slots_after,changed_edge_slots_before,churn_geometric_slots,churn_residual,cut_edges_after,cut_edges_before,dirty_cells,edges_appeared,edges_moved,edges_vanished,geometric_slot_collisions,m318_buffer_moved,m318_buffer_moved_reproduced,m318_geometric_moved,m318_keyed_moved,m318_vertices,m318_vertices_reproduced,order_only_share_max,permuted_control_order_only,permuted_control_predecessor_shift,permuted_control_total,replica_bit_identical,shifted_survivors,survivors,triangles_after,triangles_before,verdict_unit,vertices_after,vertices_before
sphere,33,515,1348,318,1041,0,0.008160237,0.000000000,true,0,true,false,true,25,16,16,5.0,0.050000,0.500000,noise_cavity,318,312,1101,1413,432,32768,213,117,307,-11,1854,1758,792,201,12,105,23,1348,true,330,318,1758,true,0.001373626,1388,22,1713,true,1041,1641,3704,3512,integer_value_counts,1854,1758
sphere,65,515,4257,310,3943,0,0.000939629,0.000000000,true,0,true,false,true,51,32,32,5.0,0.050000,0.500000,noise_cavity,310,320,4083,4403,412,262144,221,101,314,4,7038,6918,792,209,12,89,8,4257,true,322,310,6918,true,0.001373626,2810,3215,6343,true,3943,6817,14072,13832,integer_value_counts,7038,6918
sphere,129,515,15706,346,15370,2,0.000764039,0.000127340,true,0,true,false,true,102,64,64,5.0,0.050000,0.500000,noise_cavity,346,341,15670,16011,500,2097152,245,101,334,-12,27966,27822,792,245,0,101,12,15706,true,346,346,27822,true,0.001373626,23814,945,25101,true,15372,27721,55928,55640,integer_value_counts,27966,27822
noise_cavity,33,515,5096,719,4401,7,0.006083203,0.001373626,vacuous,0,true,false,vacuous,16,16,16,5.0,0.050000,0.500000,noise_cavity,719,700,4639,5339,767,32768,380,390,688,-31,6512,6522,792,329,51,339,82,,vacuous,,,,vacuous,0.001373626,5230,167,6120,true,4408,6132,13260,13236,integer_value_counts,6512,6522
noise_cavity,65,515,18762,591,18166,2,0.000159898,0.000106598,vacuous,0,true,false,vacuous,32,32,32,5.0,0.050000,0.500000,noise_cavity,591,590,18689,19279,670,262144,394,246,594,3,29030,28882,792,345,49,197,46,,vacuous,,,,vacuous,0.001373626,25962,81,26654,true,18168,28636,58432,58112,integer_value_counts,29030,28882
noise_cavity,129,515,68403,383,68023,0,0.000043858,0.000000000,vacuous,0,true,false,vacuous,64,65,63,5.0,0.050000,0.500000,noise_cavity,383,374,69147,69521,497,2097152,259,137,380,-3,119522,119400,792,246,13,124,16,,vacuous,,,,vacuous,0.001373626,106474,1522,108385,true,68023,119263,239328,239084,integer_value_counts,119522,119400
