# experiment P-177 (R-182)
# hypothesis: Aamari, Kim, Chazal, Michel, Rinaldo & Wasserman (10.1214/19-ejs1551, in the corpus and converted, 43 pp.), Theorem 3.4: for a compact submanifold with reach tau > 0, at least one of (Global Case) a bottleneck -- a reach-attaining pair with ||q1 - q2|| = 2*tau -- and (Local Case) a point q0 with an arc-length geodesic satisfying ||gamma''(0)|| = 1/tau holds, and the two are not mutually exclusive. That theorem licenses computing this crate's reach WITHOUT a medial axis, which is the only route open here: the falsified entry 'an exactly-zero SDF gradient detects the medial axis' closed the direct one, and M-325's discrete medial score converges only O(h). No entry in FINDINGS.md states the reach of a single reference field, so every resolution rung in this repository is chosen by convenience, and the sampling hypothesis V-51 sorted out -- Boissonnat & Wintraecken 2020 being the corpus's only is_homeomorphism true -- has never been checked against a number. (C1) The decomposition is not decorative on this roster: at least two of the eight reference fields are bottleneck-bound (tau_global < tau_local) and at least two curvature-bound (tau_local < tau_global). (C2) Reach is the denominator for resolution: over the fields with tau > 0, h_star / tau -- h_star being the coarsest spacing whose extracted topology (component count and Euler characteristic) matches the finest rung's and keeps matching at every finer rung -- spans a factor below 2, max over min <= 2. (C3) The global half locates what M-486's curl residual could not: on gyroid and fbm_terrain the cells M-60 says need a second vertex sit nearer a bottleneck axis than the other surface cells, Mann-Whitney AUC >= 0.8 on the statistic P-173's harness already computes. SHARE: none -- tau is an offline grading instrument and nothing in the extraction path calls it.
# falsified by: C1 by all eight fields binding on the same half, which is a statement about the roster rather than about the theorem -- the same defect M-459 recorded when it found this roster adversarial to global anisotropy. C2 by a spread of 2x or more, which would say the reach is NOT what sets resolution here and obliges the entry to name the field at each end; a spread inside 2x gives Axis 7 the denominator this ledger has never had, every accuracy number in FINDINGS.md being a numerator. C3 by an AUC below 0.8, which taken with M-486's 0.270443196 on fbm_terrain at 25^3 would say the second-vertex cells are a local combinatorial fact of the trilinear that no geometric predictor, neither local (curl) nor global (bottleneck), will find -- and would retire that search rather than extend it. VACUITY CONTROL: the estimator is calibrated against four closed forms before any of the eight numbers is read -- sphere tau = R, torus tau = min(minor radius, major minus minor), capsule tau = its radius, and box_exact tau = 0 because a sharp edge has no reach. tau_analytic and tau_measured are both columns; the four must agree within 2h at the finest rung and box_exact must report tau_measured <= 2h, or the row is vacuous and the other four fields' numbers mean nothing. C2's h_star is recorded as unreachable rather than scored on any field whose topology never stabilises inside the ladder.
# commit d56ac5f (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-09-12T14:05:20Z
field,resolution,tau_local,tau_global,tau,binding_half,tau_analytic,calibration_gap_h,bottleneck_pairs,max_abs_curvature,h_star,h_star_over_tau,h_star_reachable,topology_components,euler_characteristic,second_vertex_cells,bottleneck_distance_auc,c1_holds,c2_holds,c3_holds,calibration_holds,curvature_step,max_abs_curvature_grid_step
sphere,65,0.999541603,0.979703496,0.979703496,global,1.000000000,0.324744072,908598,1.000458607,0.250000000,0.255179247,true,1,2,0,na,true,false,false,false,0.001000000,1.003128064
torus,65,0.298544988,0.293412800,0.293412800,global,0.300000000,0.105395203,68944,3.349578922,0.250000000,0.852041902,true,1,0,0,na,true,false,false,false,0.001000000,3.444999532
box_exact,65,unbounded,1.000000000,1.000000000,global,0.000000000,16.000000000,653502,0.000000000,0.250000000,0.250000000,true,1,2,0,na,true,false,false,false,0.001000000,4.000000000
capsule,65,0.348711096,0.342375900,0.342375900,global,0.350000000,0.121985608,16550,2.867703410,0.250000000,0.730191583,true,1,2,0,na,true,false,false,false,0.001000000,2.926390989
csg_difference,65,0.749371188,0.425417574,0.425417574,global,na,na,490050,1.334452160,0.250000000,0.587657905,true,1,2,0,na,true,false,false,false,0.001000000,18.428821124
thin_plate,65,unbounded,1.000000000,1.000000000,global,na,na,1444,0.000000000,0.250000000,0.250000000,true,1,2,0,na,true,false,false,false,0.001000000,24.000000000
gyroid,65,0.000709069,0.259617831,0.000709069,local,na,na,894434,1410.300459162,0.437500000,617.006450883,true,1,-24,28,0.793001727,true,false,false,false,0.001000000,21.643862515
fbm_terrain,65,0.092099998,unbounded,0.092099998,local,na,na,0,10.857763520,1.000000000,10.857763520,true,1,1,0,na,true,false,false,false,0.001000000,4.995307677
noise_cavity,65,0.000145884,0.035576653,0.000145884,local,na,na,1857461,6854.775391056,0.062500000,428.423461941,true,17,-174,0,na,true,false,false,false,0.001000000,169.232428002
