# experiment P-145 (R-145)
# hypothesis: 2026-08-26-audit-and-phase-23-registrations.md:365 flags Etiene et al. 2012's DOI as unverified. It is 10.1109/tvcg.2011.109, TVCG 18(6), and the paper computes ground-truth topological invariants per instance using stratified Morse theory and digital topology -- a deterministic oracle, strictly stronger than any statistical one wherever it applies. (C1) The method computes a ground-truth chi on at least two fields where the crate currently has none, and agrees with P-142's analytic prediction on gyroid, which is the cross-check that validates both. (C2) The cost is reported and the set of fields where it applies is stated, because an oracle that costs more than the mesh is a test-only instrument and should be labelled one. SHARE: none -- verification cost, not runtime cost.
# falsified by: C1 by disagreement with P-142, which would put one of the two oracles in doubt and is the most informative possible outcome. C2 by inapplicability to every field the crate cares about. VACUITY CONTROL: the method must be run on sphere and return chi = 2, or it is not calibrated.
# commit 00631a7 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:14:20Z
field,resolution,chi_stratified_morse,chi_extracted,agreement,disagreement_cells,method_cost_ms,applicable_fields,doi_verified,c1_holds,c2_holds,arm,blocks,boundary_edges,boundary_inside,cell_size,cells,chi_expected,chi_extracted_validate,chi_predicted_p142,chi_solid_26,chi_solid_6,chi_surface_6,connectivity,connectivity_split_blocks,connectivity_split_configurations,cost_ratio,doi,doi_handles,doi_resolved_title,doi_venue,extract_cost_ms,extractor,inside_samples,is_control,matches_chi_expected,mesh_triangles,mesh_vertices,method_cost_ms_max,method_cost_ms_min,method_repeats,nonmanifold_edges,oracle_method,oracle_scope,periods,seam_pairs,wrap_sign_mismatches
sphere,33,2,2,true,0,0.3103,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,0.6063,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.5117,marching_cubes,2103,true,true,2312,1158,0.3788,0.3045,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
sphere,33,2,2,true,0,0.3103,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,0.7486,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.4145,marching_cubes+trilinear,2103,true,true,2312,1158,0.3788,0.3045,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
sphere,65,2,2,true,0,2.3672,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,0.8089,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,2.9264,marching_cubes,17071,true,true,9512,4758,2.8224,2.3612,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
sphere,65,2,2,true,0,2.3672,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,0.7678,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.0831,marching_cubes+trilinear,17071,true,true,9512,4758,2.8224,2.3612,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
torus,33,0,0,true,0,0.3803,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,0,0,none,0,0,0,f26_b6,0,96,0.7604,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.5002,marching_cubes,972,true,true,2256,1128,0.3850,0.3802,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
torus,33,0,0,true,0,0.3803,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,0,0,none,0,0,0,f26_b6,0,96,0.8846,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.4300,marching_cubes+trilinear,972,true,true,2256,1128,0.3850,0.3802,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
torus,65,0,0,true,0,2.9376,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,0,0,none,0,0,0,f26_b6,0,96,0.7695,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.8178,marching_cubes,7176,true,true,8416,4208,2.9453,2.9309,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
torus,65,0,0,true,0,2.9376,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,0,0,none,0,0,0,f26_b6,0,96,0.6700,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,4.3844,marching_cubes+trilinear,7176,true,true,8416,4208,2.9453,2.9309,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
box_exact,33,2,2,true,0,0.3486,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,0.7547,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.4619,marching_cubes,3375,true,true,2696,1350,0.3525,0.3485,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
box_exact,33,2,2,true,0,0.3486,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,0.9084,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.3838,marching_cubes+trilinear,3375,true,true,2696,1350,0.3525,0.3485,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
box_exact,65,2,2,true,0,2.7065,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,0.7315,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,3.6997,marching_cubes,29791,true,true,11528,5766,2.7072,2.7055,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
box_exact,65,2,2,true,0,2.7065,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,287496,0,0,0.062500000,262144,2,2,none,1,1,2,f26_b6,0,96,0.6443,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,4.2009,marching_cubes+trilinear,29791,true,true,11528,5766,2.7072,2.7055,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
csg_difference,33,2,2,true,0,0.4105,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,0.7457,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.5504,marching_cubes,2907,true,true,2768,1386,0.4161,0.4093,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
csg_difference,33,2,2,true,0,0.4105,box_exact|csg_difference|gyroid|gyroid_nodal|noise_cavity|sphere|thin_plate|torus,true,true,true,calibration,39304,0,0,0.125000000,32768,2,2,none,1,1,2,f26_b6,0,96,0.9151,10.1109/tvcg.2011.109,openalex:W2086220855|pubmed:21690649,Topology Verification for Isosurface Extraction,IEEE-TVCG-18(6)-952-965-2012,0.4486,marching_cubes+trilinear,2907,true,true,2768,1386,0.4161,0.4093,5,0,digital_topology_etiene_2012_sec_4_1,in_scope,none,none,0
