# experiment P-13 (R-006)
# hypothesis: M-66's non-convergent angle is bounded below by the dihedral angle of the feature, so it is a property of sharp edges rather than of resolution and is predictable from the field.
# falsified by: The angle failing to track the dihedral prediction, which makes it a defect with a location rather than a property.
# commit ddee724 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:27:38Z
dihedral_deg,samples,measured_angle_deg,predicted_angle_deg,apex,cell_size,extractor,inverted_offsurface_cells,inverted_vertices,mean_angle_deg,median_angle_deg,p99_angle_deg,rotation_deg,triangles,vertices_counted
30.0,33,128.0000,75.0000,offset,1.25000000000000000e-1,marching_cubes,0.1771,62,14.0111,0.0000,128.0000,37,3840,1798
30.0,33,104.2466,75.0000,offset,1.25000000000000000e-1,dual_contouring,0.2248,60,6.0812,0.0738,104.2466,37,3658,1680
30.0,65,128.0000,75.0000,offset,6.25000000000000000e-2,marching_cubes,0.1771,126,13.8105,0.0000,127.0000,37,15744,7623
30.0,65,104.2466,75.0000,offset,6.25000000000000000e-2,dual_contouring,0.2248,124,5.1982,0.0912,96.4880,37,15372,7378
30.0,129,128.0000,75.0000,offset,3.12500000000000000e-2,marching_cubes,0.1771,127,11.8066,0.0000,78.4349,37,63488,31115
30.0,129,90.9638,75.0000,offset,3.12500000000000000e-2,dual_contouring,0.0995,252,6.7286,0.0570,75.0004,37,62738,30618
45.0,17,67.5000,67.5000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,3.6290,0.0000,67.5000,0,1024,465
45.0,17,27.2278,67.5000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,6.1506,0.0000,27.2278,0,930,420
45.0,33,67.5000,67.5000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,4.5000,0.0000,67.5000,0,4224,2015
45.0,33,67.5000,67.5000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,5.1896,0.0000,67.5000,0,4030,1920
45.0,65,67.5000,67.5000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,2.5376,0.0000,67.5000,0,17152,8379
45.0,65,67.5000,67.5000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,4.4885,0.0000,67.3250,0,16758,8184
45.0,129,85.9349,67.5000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,5.2091,0.0000,85.9349,0,69120,34163
45.0,129,67.5000,67.5000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,2.9121,0.0000,27.2278,0,68326,33768
45.0,17,85.9349,67.5000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,9.7526,0.0000,85.9349,0,992,420
45.0,17,85.9415,67.5000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,10.1382,0.0067,85.9415,0,900,378
45.0,33,85.9349,67.5000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,8.6227,0.0000,85.9349,0,4160,1922
45.0,33,85.9415,67.5000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,4.5972,0.0000,85.9415,0,3968,1830
45.0,65,85.9349,67.5000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,6.2998,0.0000,85.9349,0,17024,8190
45.0,65,85.9415,67.5000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,5.7629,0.0000,85.9349,0,16632,7998
45.0,129,85.9349,67.5000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,3.7874,0.0000,85.9349,0,68864,33782
45.0,129,98.4638,67.5000,offset,3.12500000000000000e-2,dual_contouring,0.0000,378,4.6389,0.0000,98.4638,0,68072,33390
45.0,17,50.5000,67.5000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,8.6425,0.0000,50.5000,17,960,420
45.0,17,32.6305,67.5000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,5.7194,0.0186,32.6305,17,870,378
45.0,33,85.9349,67.5000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,9.3716,0.0000,85.9349,17,3904,1829
45.0,33,85.9349,67.5000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,7.4982,0.0197,85.9349,17,3720,1740
45.0,65,98.4638,67.5000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,63,10.0141,0.0000,85.9349,17,15616,7560
45.0,65,85.9349,67.5000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,7.0223,0.0951,85.9349,17,15246,7378
45.0,129,98.4638,67.5000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,635,11.4867,0.0000,98.4638,17,62976,30988
