# experiment P-104 (R-104)
# hypothesis: THE ACTIVE-CELL BITMAP IS FASTLANES' HORIZONTAL LAYOUT, THE ONE THEY MEASURE AS THE OBSTACLE, AND TWO MEASUREMENTS IN THIS REPOSITORY ALREADY BLAME THE LAYOUT. Correction the research doc gets wrong and this registration carries: dual.rs:359-381 packs ONE BIT PER SAMPLE, 64 to a u64, ALONG X ONLY, with bit_row = size[0].div_ceil(64) -- the cell row is one shorter and is handled separately by cell_words = cells_x.div_ceil(64) at dual.rs:484 and by cell_mask at dual.rs:445. The doc and experiment.rs:3192 both say '64 cells per u64' and that is wrong by one; this row is about a SAMPLE plane relayout with a documented cell/word asymmetry underneath it. Second constraint, also from the source: dual.rs:496 walks set bits in ascending x SPECIFICALLY to keep vertex creation order, so any relayout must restore that order or C3 fails by construction -- and the restore cost is a column, resort_ns_per_vertex, not a footnote. (C1) A transposed packing -- bit k being the k-th cell of a 4x4x4 block rather than the k-th x -- brings M-287's 128 cubed tax BELOW 1.5x on M-287's own fixture. (C2) active_word's fused 'any & !all' fold survives the relayout within plus or minus 20% of its instructions per cell. (C3) The emitted mesh is bit-identical. SHARE: M-287's tax is 3.37x of cycles/sample at 128 cubed, so the quantity C1 moves is the whole traversal stage on the one grid size where it is worst; C2 and C3 are cost and correctness bounds, not speedups.
# falsified by: C1 by no improvement on the M-287 fixture, which would mean the tax is genuinely the stride and x28's conclusion needs revisiting. C2 by the fold costing more than 20% extra, which would mean the relayout buys the access pattern and sells the arithmetic. C3 by the re-sort that restores vertex creation order costing more than the layout saves. VACUITY CONTROL: tax_vs_127 measured on the UNMODIFIED layout must reproduce M-287's 3.37x to within 10%, because a harness that cannot see the tax cannot measure its removal.
# commit d12dddc on amd-ryzen-9-5900x-12-core at 2026-08-29T01:10:18Z
field,resolution,layout,cycles_per_sample,tax_vs_127,instructions_per_cell,mesh_identical,resort_ns_per_vertex,c1_holds,c2_holds,c3_holds,active_cells,active_fraction,bitmap_bytes,bitmap_share_of_m287_scaffold,bitmap_words,c1_bar,c1_ceiling_at_128,c1_field,c1_tax_vs_127_interleaved,c1_vacuity_control_reproduced,c1_vacuity_control_target,c1_vacuity_control_tax,c2_cycle_ratio_fold_this_row,c2_instruction_ratio_fold,c2_instruction_ratio_fold_this_row,c2_tolerance,c3_list_matches_scalar,c3_list_matches_shipped,c3_recording_wrapper_transparent,cells,count_ones_calls_per_counted_window,cycles_per_cell_fold,cycles_per_cell_walk,cycles_per_sample_build,cycles_per_sample_build_and_fold,cycles_per_sample_ordered,ghz,instructions_per_cell_stage,instructions_per_cell_walk,instructions_per_sample,instructions_per_sample_build,l1d_read_misses_per_cell_fold,l1d_read_misses_per_sample,m287_cycles_per_sample_padded,m287_cycles_per_sample_unpadded,m287_l1d_misses_per_sample_padded,m287_l1d_misses_per_sample_unpadded,m287_padded_row_samples,m287_scaffold_control_reproduced,m287_scaffold_control_tax,m287_scaffold_control_tax_padded,m287_tax_vs_127_padded,m287_tax_vs_127_unpadded,ns_per_sample,reps,resort_cycles_per_vertex,resort_instructions_per_vertex,samples,target_feature_popcnt,tax_vs_127_instructions,tax_vs_127_l1d_misses,tax_vs_127_ns,values_plane_bytes,values_row_bytes,values_row_samples
csg_difference,129,along_x,1.979168,1.0599,1.781632,true,0.000000,vacuous,false,true,24920,0.01188278,399384,0.066905,49923,1.5,1.00379,sphere_surface_free,1.0138,false,3.37,1.0173,1.7573,1.8054,1.6881,0.2,true,true,true,2097152,0,0.396621,0.043128,1.549567,1.937036,1.972550,4.1728,10.384579,0.117777,10.144944,8.289366,0.002945,0.072488,29.775358,29.581555,1.519087,1.517408,129,false,5.8267,1.1301,1.0152,0.9919,0.474297,5,0.000000,0.000000,2146689,false,1.0483,1.0404,1.0624,66564,516,129
csg_difference,129,interleaved,3.097670,1.0014,3.007600,true,2.417891,vacuous,false,true,24920,0.01188278,287496,0.104716,35937,1.5,1.00015,sphere_surface_free,1.0138,false,3.37,1.0173,1.7573,1.8054,1.6881,0.2,true,true,true,2097152,0,0.696979,0.038949,2.378723,3.059619,3.211652,4.1748,17.330850,0.151170,16.930923,13.845045,0.002318,0.085265,29.775358,29.581555,1.519087,1.517408,129,false,5.8267,1.1301,1.0152,0.9919,0.741984,5,9.818827,45.830377,2146689,false,0.9943,1.0761,1.0023,66564,516,129
thin_plate,64,along_x,1.819556,0.9894,1.652465,true,unavailable,vacuous,false,true,0,0.00000000,32768,0.065925,4096,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.3292,1.8054,1.9166,0.2,true,true,true,250047,0,0.303993,0.007365,1.522566,1.812531,1.816693,4.1789,10.146261,0.000780,9.678048,8.101094,0.000625,0.067747,21.713762,27.600501,1.463871,1.584817,65,false,5.8267,1.1301,0.9425,1.1994,0.435410,5,unavailable,unavailable,262144,false,1.0113,0.9793,0.9895,16384,256,64
thin_plate,64,interleaved,3.048325,0.9941,3.167085,true,unavailable,vacuous,false,true,0,0.00000000,32768,0.110445,4096,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.3292,1.8054,1.9166,0.2,true,true,true,250047,0,0.708060,0.030504,2.343843,3.019228,3.116383,4.1847,17.686044,0.020504,16.869897,13.829403,0.000689,0.072953,21.713762,27.600501,1.463871,1.584817,65,false,5.8267,1.1301,0.9425,1.1994,0.728453,5,unavailable,unavailable,262144,false,0.9962,0.9284,0.9846,16384,256,64
thin_plate,127,along_x,1.839135,1.0000,1.706744,true,0.000000,vacuous,false,true,8192,0.00409523,258064,0.079923,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0680,1.8054,1.8337,0.2,true,true,true,2000376,0,0.349966,0.012900,1.484773,1.826537,1.834172,4.1795,9.799104,0.014137,9.569447,7.888898,0.001911,0.069182,23.038832,23.011414,1.501650,1.502703,127,false,5.8267,1.1301,1.0000,1.0000,0.440039,5,0.000000,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
thin_plate,127,interleaved,3.066401,1.0000,3.129700,true,2.086025,vacuous,false,true,8192,0.00409523,262144,0.133256,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0680,1.8054,1.8337,0.2,true,true,true,2000376,0,0.723726,0.009874,2.349994,3.056758,3.123768,4.1445,17.340047,0.064210,16.933657,13.814601,0.002114,0.078578,23.038832,23.011414,1.501650,1.502703,127,false,5.8267,1.1301,1.0000,1.0000,0.739874,5,14.344587,79.559431,2048383,false,1.0000,1.0000,1.0000,64516,508,127
thin_plate,128,along_x,1.830239,0.9952,1.693305,true,unavailable,vacuous,false,true,0,0.00000000,262144,0.014094,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0340,1.8054,1.8054,0.2,true,true,true,2048383,0,0.347920,0.002256,1.488207,1.828036,1.824364,4.1544,9.763598,0.000000,9.536547,7.913199,0.001938,0.068888,25.689020,129.858339,1.530724,6.056350,129,false,5.8267,1.1301,1.1150,5.6432,0.440552,5,unavailable,unavailable,2097152,false,0.9966,0.9958,1.0012,65536,512,128
thin_plate,128,interleaved,3.089533,1.0075,3.057022,true,unavailable,vacuous,false,true,0,0.00000000,262144,0.023792,32768,1.5,1.00018,sphere_surface_free,1.0138,false,3.37,1.0173,2.0340,1.8054,1.8054,0.2,true,true,true,2048383,0,0.707677,0.000000,2.409704,3.100923,3.119125,4.1774,17.195190,0.018008,16.795318,13.791797,0.002794,0.095059,25.689020,129.858339,1.530724,6.056350,129,false,5.8267,1.1301,1.1150,5.6432,0.739582,5,unavailable,unavailable,2097152,false,0.9918,1.2098,0.9996,65536,512,128
thin_plate,129,along_x,1.952199,1.0615,1.781632,true,0.000000,vacuous,false,true,8192,0.00390625,399384,0.084250,49923,1.5,1.00490,sphere_surface_free,1.0138,false,3.37,1.0173,1.7571,1.8054,1.6881,0.2,true,true,true,2097152,0,0.396368,0.017025,1.548345,1.935566,1.948924,4.1785,10.279311,0.012518,10.042106,8.289357,0.002928,0.072022,23.234256,23.171546,1.517429,1.518514,129,false,5.8267,1.1301,1.0085,1.0070,0.467201,5,0.000000,0.000000,2146689,false,1.0494,1.0411,1.0617,66564,516,129
thin_plate,129,interleaved,3.074922,1.0028,3.007606,true,3.204712,vacuous,false,true,8192,0.00390625,287496,0.132702,35937,1.5,1.00037,sphere_surface_free,1.0138,false,3.37,1.0173,1.7571,1.8054,1.6881,0.2,true,true,true,2097152,0,0.696451,0.020325,2.374685,3.055065,3.125906,4.1833,17.240964,0.061290,16.843112,13.845033,0.001961,0.084472,23.234256,23.171546,1.517429,1.518514,129,false,5.8267,1.1301,1.0085,1.0070,0.735051,5,13.360195,80.766009,2146689,false,0.9947,1.0750,0.9935,66564,516,129
gyroid,64,along_x,2.147843,1.0305,1.652410,true,0.032628,vacuous,false,true,20994,0.08396022,32768,0.023047,4096,1.5,1.00068,sphere_surface_free,1.0138,false,3.37,1.0173,2.3336,1.8054,1.9166,0.2,true,true,true,250047,0,0.305048,0.355660,1.517624,1.808596,2.157137,4.1843,11.114322,0.968850,10.601436,8.101138,0.000532,0.073812,87.762051,93.192430,1.473396,1.628284,65,false,5.8267,1.1301,1.0127,1.0757,0.513309,5,0.116051,0.000000,262144,false,1.0586,1.0315,1.0242,16384,256,64
gyroid,64,interleaved,3.305137,1.0213,3.167029,true,1.838506,vacuous,false,true,20994,0.08396022,32768,0.035466,4096,1.5,1.00074,sphere_surface_free,1.0138,false,3.37,1.0173,2.3336,1.8054,1.9166,0.2,true,true,true,250047,0,0.711852,0.326614,2.314593,2.993595,3.922153,4.1802,18.634429,0.968898,17.774517,13.829448,0.000739,0.078645,87.762051,93.192430,1.473396,1.628284,65,false,5.8267,1.1301,1.0127,1.0757,0.790657,5,7.704435,30.980805,262144,false,1.0244,0.9692,1.0219,16384,256,64
gyroid,127,along_x,2.084199,1.0000,1.706744,true,0.000000,vacuous,false,true,83763,0.04187363,258064,0.024058,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0691,1.8054,1.8337,0.2,true,true,true,2000376,0,0.350560,0.263391,1.484637,1.826981,2.088675,4.1587,10.255129,0.470152,10.014784,7.888908,0.001975,0.071557,86.662421,86.630751,1.508167,1.506627,127,false,5.8267,1.1301,1.0000,1.0000,0.501161,5,0.109462,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
gyroid,127,interleaved,3.236048,1.0000,3.129693,true,1.859867,vacuous,false,true,83763,0.04187363,262144,0.037354,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0691,1.8054,1.8337,0.2,true,true,true,2000376,0,0.725343,0.183012,2.348982,3.057326,3.550922,4.1824,17.767836,0.491992,17.351419,13.814614,0.002202,0.081144,86.662421,86.630751,1.508167,1.506627,127,false,5.8267,1.1301,1.0000,1.0000,0.773733,5,7.700072,31.685639,2048383,false,1.0000,1.0000,1.0000,64516,508,127
gyroid,128,along_x,2.072944,0.9946,1.693305,true,0.029622,vacuous,false,true,85077,0.04153374,262144,0.010672,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0468,1.8054,1.8054,0.2,true,true,true,2048383,0,0.345500,0.250263,1.491036,1.828501,2.074136,4.1832,10.261234,0.466319,10.022610,7.913208,0.002027,0.071507,88.861126,194.242070,1.537385,6.184433,129,false,5.8267,1.1301,1.0254,2.2422,0.495540,5,0.029373,0.000000,2097152,false,1.0008,0.9993,0.9888,65536,512,128
gyroid,128,interleaved,3.272074,1.0111,3.057015,true,1.810650,vacuous,false,true,85077,0.04153374,262144,0.016845,32768,1.5,1.00019,sphere_surface_free,1.0138,false,3.37,1.0173,2.0468,1.8054,1.8054,0.2,true,true,true,2048383,0,0.707162,0.177448,2.408035,3.098753,3.583591,4.1753,17.664865,0.487676,17.254070,13.791810,0.001568,0.100130,88.861126,194.242070,1.537385,6.184433,129,false,5.8267,1.1301,1.0254,2.2422,0.783669,5,7.678916,31.669866,2097152,false,0.9944,1.2340,1.0128,65536,512,128
gyroid,129,along_x,2.190613,1.0511,1.781632,true,0.000000,vacuous,false,true,86580,0.04128456,399384,0.025200,49923,1.5,1.00123,sphere_surface_free,1.0138,false,3.37,1.0173,1.7563,1.8054,1.6881,0.2,true,true,true,2097152,0,0.399567,0.257775,1.548439,1.938786,2.190397,4.1775,10.730353,0.463551,10.482739,8.289366,0.003062,0.074308,86.751582,86.928757,1.519982,1.522648,129,false,5.8267,1.1301,1.0010,1.0034,0.524386,5,0.000000,0.000000,2146689,false,1.0467,1.0384,1.0463,66564,516,129
gyroid,129,interleaved,3.230307,0.9982,3.007600,true,1.769017,vacuous,false,true,86580,0.04128456,287496,0.037160,35937,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,1.7563,1.8054,1.6881,0.2,true,true,true,2097152,0,0.701748,0.168335,2.380303,3.065857,3.552613,4.1500,17.663618,0.483938,17.256013,13.845045,0.002235,0.086816,86.751582,86.928757,1.519982,1.522648,129,false,5.8267,1.1301,1.0010,1.0034,0.778387,5,7.991341,31.636798,2146689,false,0.9945,1.0699,1.0060,66564,516,129
fbm_terrain,64,along_x,1.940049,1.0155,1.652437,true,0.000000,vacuous,false,true,8166,0.03265786,32768,0.002277,4096,1.5,1.00003,sphere_surface_free,1.0138,false,3.37,1.0173,2.3322,1.8054,1.9166,0.2,true,true,true,250047,0,0.304345,0.137805,1.518303,1.808603,1.931263,4.1822,10.516850,0.371390,10.031535,8.101100,0.000344,0.070662,848.615200,851.895676,1.488720,1.604317,65,false,5.8267,1.1301,1.0007,1.0049,0.463885,5,0.000000,0.000000,262144,false,1.0328,1.0093,1.0156,16384,256,64
fbm_terrain,64,interleaved,3.113679,0.9991,3.167029,true,2.113738,vacuous,false,true,8166,0.03265786,32768,0.003655,4096,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.3322,1.8054,1.9166,0.2,true,true,true,250047,0,0.709791,0.126348,2.316125,2.993162,3.386635,4.1835,18.054953,0.389435,17.221782,13.829437,0.000651,0.075880,848.615200,851.895676,1.488720,1.604317,65,false,5.8267,1.1301,1.0007,1.0049,0.744280,5,8.762385,37.825376,262144,false,1.0087,0.9534,0.9983,16384,256,64
fbm_terrain,127,along_x,1.910374,1.0000,1.706744,true,0.000000,vacuous,false,true,33411,0.01670236,258064,0.002253,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0716,1.8054,1.8337,0.2,true,true,true,2000376,0,0.350341,0.084853,1.485380,1.827510,1.906277,4.1824,9.945749,0.160781,9.712655,7.888898,0.002024,0.070009,847.986887,847.738095,1.514268,1.513299,127,false,5.8267,1.1301,1.0000,1.0000,0.456770,5,0.000000,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
fbm_terrain,127,interleaved,3.116608,1.0000,3.129700,true,2.098129,vacuous,false,true,33411,0.01670236,262144,0.003676,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0716,1.8054,1.8337,0.2,true,true,true,2000376,0,0.725780,0.065630,2.343746,3.052516,3.260162,4.1802,17.483041,0.207204,17.073299,13.814601,0.002201,0.079588,847.986887,847.738095,1.514268,1.513299,127,false,5.8267,1.1301,1.0000,1.0000,0.745561,5,8.801092,39.336536,2048383,false,1.0000,1.0000,1.0000,64516,508,127
fbm_terrain,128,along_x,1.912358,1.0010,1.693305,true,0.000000,vacuous,false,true,33817,0.01650912,262144,0.002006,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0343,1.8054,1.8054,0.2,true,true,true,2048383,0,0.346881,0.089564,1.486062,1.824877,1.904144,4.1813,9.953735,0.158829,9.722262,7.913199,0.001886,0.069978,849.624445,953.273859,1.546318,6.157765,129,false,5.8267,1.1301,1.0019,1.1245,0.457356,5,0.000000,0.000000,2097152,false,1.0010,0.9996,1.0013,65536,512,128
fbm_terrain,128,interleaved,3.165393,1.0157,3.057015,true,1.797127,vacuous,false,true,33817,0.01650912,262144,0.003321,32768,1.5,1.00005,sphere_surface_free,1.0138,false,3.37,1.0173,2.0343,1.8054,1.8054,0.2,true,true,true,2048383,0,0.705663,0.068080,2.409643,3.098897,3.302196,4.1640,17.381761,0.204582,16.977550,13.791800,0.001662,0.097733,849.624445,953.273859,1.546318,6.157765,129,false,5.8267,1.1301,1.0019,1.1245,0.760178,5,8.483814,39.336749,2097152,false,0.9944,1.2280,1.0196,65536,512,128
fbm_terrain,129,along_x,2.023848,1.0594,1.781632,true,0.000000,vacuous,false,true,34540,0.01646996,399384,0.002388,49923,1.5,1.00013,sphere_surface_free,1.0138,false,3.37,1.0173,1.7229,1.8054,1.6881,0.2,true,true,true,2097152,0,0.403260,0.085191,1.546668,1.940623,2.018380,4.1724,10.425332,0.158530,10.184757,8.289366,0.003030,0.072851,847.955623,847.417414,1.528769,1.531425,129,false,5.8267,1.1301,1.0000,0.9996,0.485057,5,0.000000,0.000000,2146689,false,1.0486,1.0406,1.0619,66564,516,129
fbm_terrain,129,interleaved,3.127870,1.0036,3.007599,true,1.931644,vacuous,false,true,34540,0.01646996,287496,0.003691,35937,1.5,1.00001,sphere_surface_free,1.0138,false,3.37,1.0173,1.7229,1.8054,1.6881,0.2,true,true,true,2097152,0,0.694775,0.070664,2.380093,3.058836,3.260421,4.1799,17.382821,0.203141,16.981695,13.845045,0.001563,0.085545,847.955623,847.417414,1.528769,1.531425,129,false,5.8267,1.1301,1.0000,0.9996,0.748310,5,8.238149,39.204980,2146689,false,0.9946,1.0749,1.0037,66564,516,129
noise_cavity,64,along_x,2.214082,1.0274,1.652409,true,0.054099,vacuous,false,true,27585,0.11031926,32768,0.010122,4096,1.5,1.00027,sphere_surface_free,1.0138,false,3.37,1.0173,2.3360,1.8054,1.9166,0.2,true,true,true,250047,0,0.304692,0.425729,1.517367,1.807999,2.236777,4.1852,11.396827,1.251353,10.870905,8.101141,0.000655,0.075319,213.134632,218.744820,1.467438,1.596828,65,false,5.8267,1.1301,0.9835,1.0112,0.529025,5,0.215681,0.000000,262144,false,1.0681,1.0384,1.0265,16384,256,64
noise_cavity,64,interleaved,3.381883,1.0290,3.167085,true,1.674392,vacuous,false,true,27585,0.11031926,32768,0.015460,4096,1.5,1.00044,sphere_surface_free,1.0138,false,3.37,1.0173,2.3360,1.8054,1.9166,0.2,true,true,true,250047,0,0.711774,0.406172,2.315526,2.994455,4.116699,4.1825,18.923661,1.258100,18.050402,13.829424,0.000684,0.080414,213.134632,218.744820,1.467438,1.596828,65,false,5.8267,1.1301,0.9835,1.0112,0.808583,5,6.983057,29.570238,262144,false,1.0301,0.9740,1.0293,16384,256,64
noise_cavity,127,along_x,2.155110,1.0000,1.706744,true,0.040324,vacuous,false,true,115108,0.05754318,258064,0.009962,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0588,1.8054,1.8337,0.2,true,true,true,2000376,0,0.350991,0.335997,1.484222,1.826988,2.156262,4.1816,10.422370,0.637393,10.178106,7.888908,0.001960,0.072536,216.710863,216.330998,1.516930,1.509108,127,false,5.8267,1.1301,1.0000,1.0000,0.515383,5,0.020507,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
noise_cavity,127,interleaved,3.286680,1.0000,3.129693,true,1.759362,vacuous,false,true,115108,0.05754318,262144,0.015193,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0588,1.8054,1.8337,0.2,true,true,true,2000376,0,0.722626,0.235670,2.350843,3.056533,3.698602,4.1839,17.943210,0.667367,17.522684,13.814614,0.002154,0.082561,216.710863,216.330998,1.516930,1.509108,127,false,5.8267,1.1301,1.0000,1.0000,0.785557,5,7.330285,29.897958,2048383,false,1.0000,1.0000,1.0000,64516,508,127
noise_cavity,128,along_x,2.151867,0.9985,1.693305,true,0.000000,vacuous,false,true,116957,0.05709723,262144,0.006680,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0377,1.8054,1.8054,0.2,true,true,true,2048383,0,0.347552,0.334223,1.485947,1.825416,2.152479,4.1729,10.427308,0.632393,10.184822,7.913208,0.001905,0.072481,217.202773,322.152667,1.542035,6.103860,129,false,5.8267,1.1301,1.0023,1.4892,0.515671,5,0.010978,0.000000,2097152,false,1.0007,0.9992,1.0006,65536,512,128
noise_cavity,128,interleaved,3.321577,1.0106,3.057022,true,1.754035,vacuous,false,true,116957,0.05709723,262144,0.010311,32768,1.5,1.00011,sphere_surface_free,1.0138,false,3.37,1.0173,2.0377,1.8054,1.8054,0.2,true,true,true,2048383,0,0.708195,0.229522,2.405667,3.097393,3.730771,4.1831,17.838969,0.661778,17.424126,13.791807,0.002366,0.099983,217.202773,322.152667,1.542035,6.103860,129,false,5.8267,1.1301,1.0023,1.4892,0.794050,5,7.337241,29.881864,2097152,false,0.9944,1.2110,1.0108,65536,512,128
noise_cavity,129,along_x,2.260030,1.0487,1.781632,true,0.000000,vacuous,false,true,118885,0.05668879,399384,0.010511,49923,1.5,1.00049,sphere_surface_free,1.0138,false,3.37,1.0173,1.7459,1.8054,1.6881,0.2,true,true,true,2097152,0,0.400247,0.328217,1.548376,1.939387,2.258905,4.1695,10.894542,0.627740,10.643140,8.289366,0.002965,0.075297,215.683024,215.019707,1.525892,1.527043,129,false,5.8267,1.1301,0.9953,0.9939,0.542033,5,0.000000,0.000000,2146689,false,1.0457,1.0381,1.0517,66564,516,129
noise_cavity,129,interleaved,3.292841,1.0019,3.007606,true,1.615148,vacuous,false,true,118885,0.05668879,287496,0.015314,35937,1.5,1.00003,sphere_surface_free,1.0138,false,3.37,1.0173,1.7459,1.8054,1.6881,0.2,true,true,true,2097152,0,0.698807,0.239586,2.376102,3.058784,3.686044,4.1590,17.835851,0.656168,17.424271,13.845042,0.002002,0.089138,215.683024,215.019707,1.525892,1.527043,129,false,5.8267,1.1301,0.9953,0.9939,0.791735,5,7.100004,29.861876,2146689,false,0.9944,1.0797,1.0079,66564,516,129
sphere_surface_free,64,along_x,1.815406,0.9908,1.652409,true,unavailable,vacuous,false,true,0,0.00000000,32768,0.087856,4096,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.3455,1.8054,1.9166,0.2,true,true,true,250047,0,0.302795,0.003748,1.523009,1.811831,1.812154,4.1778,10.146290,0.000836,9.678075,8.101121,0.000541,0.067605,15.842137,20.663533,1.471323,1.579584,65,false,5.8267,1.1301,0.9241,1.2445,0.434537,5,unavailable,unavailable,262144,false,1.0161,0.9803,0.9912,16384,256,64
sphere_surface_free,64,interleaved,3.064228,0.9997,3.167029,true,unavailable,vacuous,false,true,0,0.00000000,32768,0.148292,4096,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.3455,1.8054,1.9166,0.2,true,true,true,250047,0,0.710193,0.039669,2.348968,3.026389,3.112981,4.1799,17.686073,0.020560,16.869925,13.829431,0.000857,0.077419,15.842137,20.663533,1.471323,1.579584,65,false,5.8267,1.1301,0.9241,1.2445,0.733094,5,unavailable,unavailable,262144,false,0.9989,0.9854,0.9998,16384,256,64
sphere_surface_free,127,along_x,1.832176,1.0000,1.706744,true,unavailable,vacuous,false,true,0,0.00000000,258064,0.110343,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0599,1.8054,1.8337,0.2,true,true,true,2000376,0,0.352600,0.001403,1.486469,1.830806,1.824262,4.1791,9.753417,0.000000,9.524830,7.888898,0.002174,0.068965,17.143979,16.604423,1.500050,1.498434,127,false,5.8267,1.1301,1.0000,1.0000,0.438410,5,unavailable,unavailable,2048383,false,1.0000,1.0000,1.0000,64516,508,127
sphere_surface_free,127,interleaved,3.065288,1.0000,3.129700,true,unavailable,vacuous,false,true,0,0.00000000,262144,0.184607,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0599,1.8054,1.8337,0.2,true,true,true,2000376,0,0.726337,0.000857,2.355137,3.064451,3.093349,4.1806,17.294277,0.018440,16.888959,13.814601,0.002440,0.078566,17.143979,16.604423,1.500050,1.498434,127,false,5.8267,1.1301,1.0000,1.0000,0.733209,5,unavailable,unavailable,2048383,false,1.0000,1.0000,1.0000,64516,508,127
sphere_surface_free,128,along_x,1.863848,1.0173,1.693305,true,unavailable,vacuous,false,true,0,0.00000000,262144,0.019265,32768,1.5,1.00033,sphere_surface_free,1.0138,false,3.37,1.0173,2.0505,1.8054,1.8054,0.2,true,true,true,2048383,0,0.343994,0.038083,1.490656,1.826650,1.825114,4.1803,9.763598,0.000000,9.536547,7.913199,0.001994,0.069283,19.375091,96.749480,1.533859,5.291085,129,false,5.8267,1.1301,1.1301,5.8267,0.445865,5,unavailable,unavailable,2097152,false,1.0012,1.0046,1.0170,65536,512,128
sphere_surface_free,128,interleaved,3.107662,1.0138,3.057022,true,unavailable,vacuous,false,true,0,0.00000000,262144,0.032121,32768,1.5,1.00044,sphere_surface_free,1.0138,false,3.37,1.0173,2.0505,1.8054,1.8054,0.2,true,true,true,2048383,0,0.705345,0.003788,2.415020,3.103963,3.142413,4.1803,17.195190,0.018008,16.795318,13.791797,0.001852,0.098858,19.375091,96.749480,1.533859,5.291085,129,false,5.8267,1.1301,1.1301,5.8267,0.743411,5,unavailable,unavailable,2097152,false,0.9945,1.2583,1.0139,65536,512,128
sphere_surface_free,129,along_x,1.939092,1.0584,1.781632,true,unavailable,vacuous,false,true,0,0.00000000,399384,0.113722,49923,1.5,1.00631,sphere_surface_free,1.0138,false,3.37,1.0173,1.7772,1.8054,1.6881,0.2,true,true,true,2097152,0,0.398215,0.001263,1.548832,1.937858,1.935389,4.1801,10.235732,0.000000,9.999532,8.289357,0.003041,0.071734,16.834593,17.051126,1.521349,1.516261,129,false,5.8267,1.1301,0.9820,1.0269,0.463889,5,unavailable,unavailable,2146689,false,1.0498,1.0402,1.0581,66564,516,129
sphere_surface_free,129,interleaved,3.058915,0.9979,3.007599,true,unavailable,vacuous,false,true,0,0.00000000,287496,0.179397,35937,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,1.7772,1.8054,1.6881,0.2,true,true,true,2097152,0,0.707696,0.000000,2.374940,3.066306,3.099015,4.1804,17.196778,0.017107,16.799945,13.845036,0.002551,0.083906,16.834593,17.051126,1.521349,1.516261,129,false,5.8267,1.1301,0.9820,1.0269,0.731721,5,unavailable,unavailable,2146689,false,0.9947,1.0680,0.9980,66564,516,129
