# experiment P-104 (R-104)
# hypothesis: THE ACTIVE-CELL BITMAP IS FASTLANES' HORIZONTAL LAYOUT, THE ONE THEY MEASURE AS THE OBSTACLE, AND TWO MEASUREMENTS IN THIS REPOSITORY ALREADY BLAME THE LAYOUT. Correction the research doc gets wrong and this registration carries: dual.rs:359-381 packs ONE BIT PER SAMPLE, 64 to a u64, ALONG X ONLY, with bit_row = size[0].div_ceil(64) -- the cell row is one shorter and is handled separately by cell_words = cells_x.div_ceil(64) at dual.rs:484 and by cell_mask at dual.rs:445. The doc and experiment.rs:3192 both say '64 cells per u64' and that is wrong by one; this row is about a SAMPLE plane relayout with a documented cell/word asymmetry underneath it. Second constraint, also from the source: dual.rs:496 walks set bits in ascending x SPECIFICALLY to keep vertex creation order, so any relayout must restore that order or C3 fails by construction -- and the restore cost is a column, resort_ns_per_vertex, not a footnote. (C1) A transposed packing -- bit k being the k-th cell of a 4x4x4 block rather than the k-th x -- brings M-287's 128 cubed tax BELOW 1.5x on M-287's own fixture. (C2) active_word's fused 'any & !all' fold survives the relayout within plus or minus 20% of its instructions per cell. (C3) The emitted mesh is bit-identical. SHARE: M-287's tax is 3.37x of cycles/sample at 128 cubed, so the quantity C1 moves is the whole traversal stage on the one grid size where it is worst; C2 and C3 are cost and correctness bounds, not speedups.
# falsified by: C1 by no improvement on the M-287 fixture, which would mean the tax is genuinely the stride and x28's conclusion needs revisiting. C2 by the fold costing more than 20% extra, which would mean the relayout buys the access pattern and sells the arithmetic. C3 by the re-sort that restores vertex creation order costing more than the layout saves. VACUITY CONTROL: tax_vs_127 measured on the UNMODIFIED layout must reproduce M-287's 3.37x to within 10%, because a harness that cannot see the tax cannot measure its removal.
# commit d12dddc on amd-ryzen-9-5900x-12-core at 2026-08-29T01:10:18Z
field,resolution,layout,cycles_per_sample,tax_vs_127,instructions_per_cell,mesh_identical,resort_ns_per_vertex,c1_holds,c2_holds,c3_holds,active_cells,active_fraction,bitmap_bytes,bitmap_share_of_m287_scaffold,bitmap_words,c1_bar,c1_ceiling_at_128,c1_field,c1_tax_vs_127_interleaved,c1_vacuity_control_reproduced,c1_vacuity_control_target,c1_vacuity_control_tax,c2_cycle_ratio_fold_this_row,c2_instruction_ratio_fold,c2_instruction_ratio_fold_this_row,c2_tolerance,c3_list_matches_scalar,c3_list_matches_shipped,c3_recording_wrapper_transparent,cells,count_ones_calls_per_counted_window,cycles_per_cell_fold,cycles_per_cell_walk,cycles_per_sample_build,cycles_per_sample_build_and_fold,cycles_per_sample_ordered,ghz,instructions_per_cell_stage,instructions_per_cell_walk,instructions_per_sample,instructions_per_sample_build,l1d_read_misses_per_cell_fold,l1d_read_misses_per_sample,m287_cycles_per_sample_padded,m287_cycles_per_sample_unpadded,m287_l1d_misses_per_sample_padded,m287_l1d_misses_per_sample_unpadded,m287_padded_row_samples,m287_scaffold_control_reproduced,m287_scaffold_control_tax,m287_scaffold_control_tax_padded,m287_tax_vs_127_padded,m287_tax_vs_127_unpadded,ns_per_sample,reps,resort_cycles_per_vertex,resort_instructions_per_vertex,samples,target_feature_popcnt,tax_vs_127_instructions,tax_vs_127_l1d_misses,tax_vs_127_ns,values_plane_bytes,values_row_bytes,values_row_samples
torus,127,along_x,1.862686,1.0000,1.706744,true,0.000000,vacuous,false,true,17008,0.00850240,258064,0.085916,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0545,1.8054,1.8337,0.2,true,true,true,2000376,0,0.349955,0.034051,1.487681,1.829434,1.856795,4.1823,9.854822,0.069854,9.623859,7.888898,0.001999,0.069490,21.655940,21.680388,1.501157,1.501843,127,false,5.8267,1.1301,1.0000,1.0000,0.445373,5,0.000000,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
torus,127,interleaved,3.093146,1.0000,3.129693,true,2.537982,vacuous,false,true,17008,0.00850240,262144,0.142670,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0545,1.8054,1.8337,0.2,true,true,true,2000376,0,0.718997,0.034989,2.356831,3.058977,3.181185,4.1817,17.390527,0.114693,16.982953,13.814604,0.002018,0.078949,21.655940,21.680388,1.501157,1.501843,127,false,5.8267,1.1301,1.0000,1.0000,0.739693,5,10.603111,52.380409,2048383,false,1.0000,1.0000,1.0000,64516,508,127
torus,128,along_x,1.862457,0.9999,1.693305,true,0.000000,vacuous,false,true,17736,0.00865854,262144,0.014225,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.1035,1.8054,1.8054,0.2,true,true,true,2048383,0,0.346486,0.033244,1.491557,1.829986,1.860732,4.1775,9.866951,0.072036,9.637496,7.913208,0.001988,0.069383,23.994268,130.925250,1.531900,6.183333,129,false,5.8267,1.1301,1.1080,6.0389,0.445827,5,0.000000,0.000000,2097152,false,1.0014,0.9985,1.0010,65536,512,128
torus,128,interleaved,3.483571,1.1262,3.057022,true,2.519659,vacuous,false,true,17736,0.00865854,262144,0.026607,32768,1.5,1.00299,sphere_surface_free,1.0138,false,3.37,1.0173,2.1035,1.8054,1.8054,0.2,true,true,true,2048383,0,0.728848,0.016943,2.755123,3.467022,3.572213,4.1831,17.293153,0.115961,16.891003,13.791807,0.001087,0.104254,23.994268,130.925250,1.531900,6.183333,129,false,5.8267,1.1301,1.1080,6.0389,0.832781,5,10.481253,51.651951,2097152,false,0.9946,1.3205,1.1258,65536,512,128
torus,129,along_x,1.972222,1.0588,1.781632,true,0.000000,vacuous,false,true,17432,0.00831223,399384,0.090367,49923,1.5,1.00504,sphere_surface_free,1.0138,false,3.37,1.0173,1.7304,1.8054,1.6881,0.2,true,true,true,2097152,0,0.399024,0.031787,1.551352,1.941169,1.966487,4.1816,10.334853,0.068060,10.096366,8.289357,0.003022,0.072299,21.765108,21.824576,1.517157,1.518347,129,false,5.8267,1.1301,1.0050,1.0067,0.471638,5,0.000000,0.000000,2146689,false,1.0491,1.0404,1.0590,66564,516,129
torus,129,interleaved,3.082982,0.9967,3.007599,true,2.822092,vacuous,false,true,17432,0.00831223,287496,0.141262,35937,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,1.7304,1.8054,1.6881,0.2,true,true,true,2097152,0,0.690466,0.025692,2.383350,3.057883,3.176681,4.1839,17.290902,0.111231,16.891897,13.845036,0.001912,0.083942,21.765108,21.824576,1.517157,1.518347,129,false,5.8267,1.1301,1.0050,1.0067,0.736865,5,11.538689,52.358880,2146689,false,0.9946,1.0632,0.9962,66564,516,129
box_exact,64,along_x,1.872709,1.0055,1.652465,true,0.000000,vacuous,false,true,6146,0.02457938,32768,0.068959,4096,1.5,1.00038,sphere_surface_free,1.0138,false,3.37,1.0173,2.3203,1.8054,1.9166,0.2,true,true,true,250047,0,0.306028,0.064525,1.519256,1.811162,1.870616,4.1821,10.438414,0.292929,9.956719,8.101097,0.000714,0.070025,21.544477,27.156978,1.462094,1.526592,65,false,5.8267,1.1301,0.9276,1.0351,0.447793,5,0.000000,0.000000,262144,false,1.0294,1.0045,0.9966,16384,256,64
box_exact,64,interleaved,3.099893,1.0064,3.167085,true,2.403272,vacuous,false,true,6146,0.02457938,32768,0.114147,4096,1.5,1.00073,sphere_surface_free,1.0138,false,3.37,1.0173,2.3203,1.8054,1.9166,0.2,true,true,true,250047,0,0.710084,0.086785,2.339796,3.017113,3.337863,4.1796,17.964139,0.298596,17.135159,13.829407,0.000740,0.075002,21.544477,27.156978,1.462094,1.526592,65,false,5.8267,1.1301,0.9276,1.0351,0.741672,5,10.150066,43.519203,262144,false,1.0067,0.9467,1.0077,16384,256,64
box_exact,127,along_x,1.862524,1.0000,1.706744,true,0.000000,vacuous,false,true,23816,0.01190576,258064,0.070991,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0547,1.8054,1.8337,0.2,true,true,true,2000376,0,0.351097,0.036052,1.484449,1.827317,1.858466,4.1452,9.904856,0.119889,9.672721,7.888898,0.001973,0.069709,23.225347,26.235966,1.502449,1.503989,127,false,5.8267,1.1301,1.0000,1.0000,0.449321,5,0.000000,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
box_exact,127,interleaved,3.080072,1.0000,3.129693,true,2.600137,vacuous,false,true,23816,0.01190576,262144,0.117399,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0547,1.8054,1.8337,0.2,true,true,true,2000376,0,0.721399,0.030895,2.345410,3.049901,3.206503,4.1848,17.429088,0.153255,17.020611,13.814604,0.002023,0.079229,23.225347,26.235966,1.502449,1.503989,127,false,5.8267,1.1301,1.0000,1.0000,0.736021,5,10.874142,46.363795,2048383,false,1.0000,1.0000,1.0000,64516,508,127
