# experiment P-125 (R-053)
# hypothesis: M-352 MEASURED THE =-CORNER REPAIR REMOVING EVERY DEGENERATE TRIANGLE ON BOTH CT VOLUMES AND CHANGING THE TOPOLOGY OF ONE: 516 of 17,201 collapse groups on bonsai are pinches, welding 520 components, against 0 of 50 on fuel. The decision is a graph property computable BEFORE the repair, so a caller can ask whether the repair is safe on ITS data rather than being shipped a repair that is safe on some data. THE PREDICATE: a union-find over the BASELINE triangles, asking whether two vertices that snap to the same corner ALREADY SHARE A TRIANGLE. If they do the collapse is a fold within one component and removes a degenerate; if they do not it is a PINCH and welds two components that the baseline mesh kept apart. THIS ROW LANDS A SOURCE CHANGE AND IT IS REGISTERED IN ADVANCE, the P-61 and P-69 way, because a landing not registered in advance is exactly what V-45 cost: a new report beside validate::sealing in crates/isomesh/src/validate/, reporting the pinch census for a mesh and its snap epsilon. The repair itself moves NO geometry -- M-352 measured max_snap_distance exactly 0 -- so this is a pure connectivity decision and the report claims nothing about position. (C1) The predicate separates the two volumes as M-352 measured them: 516 of 17,201 on bonsai and 0 of 50 on fuel, both exactly, computed from the baseline mesh alone with no repair applied. (C2) The report is O(V + F) in time and allocates once, and its answer is INDEPENDENT of triangle iteration order -- 128 permutations of the face list give one identical census, which is x26's objection asked in advance rather than after a landing. (C3) The census predicts the repair: applying the repair and counting the components it welds reproduces the report's pinch count exactly, on every fixture. SHARE: the report is a validate-time query and is on no extraction path, so it has NO extraction share and no clause here is or may become a speedup claim. x51's bar does not apply.
# falsified by: C1 by either figure not reproducing exactly -- these are integers over an enumerated population and there is no tolerance to hide in. C2 by any dependence on face iteration order, which is x26's defect in a new costume and closes the row immediately; or by the report allocating per group rather than once. C3 by the welded component count disagreeing with the predicted pinch count, which would mean the predicate names a different property from the one the repair acts on and the report would be answering a question a caller did not ask. VACUITY CONTROL: fuel's 0 of 50 is a zero and a zero that could not have been non-zero is not a measurement (M-44), so the SAME instrument must return non-zero on bonsai in the SAME run -- which C1 already requires -- and additionally a deliberately pinched fixture, constructed rather than sampled the way x22's was, must report a pinch count equal to its construction. And the union-find must be shown able to answer NO: a control that asks the predicate of two vertices which demonstrably share a triangle must return share = true on every one of them.
# commit 2392c20 on amd-ryzen-9-5900x-12-core at 2026-08-29T02:26:01Z
fixture,vertices,triangles,collapse_groups,pinch_groups,components_welded,components_before,components_after,max_snap_distance,order_permutations,distinct_censuses,constructed_pinch_expected,constructed_pinch_reported,share_control_all_true,c1_holds,c2_holds,c3_holds,buffers_reserved_exactly,collapsing_vertices,components_drift_from_dropped_faces,components_welded_equals_pinch_groups,expected_collapse_groups,expected_pinch_groups,faces_skipped,folding_faces,groups_moving_geometry,is_control,isovalue,pinch_excess_components,repair_matches_report,share_control_pairs,sharing_edges,triangles_after,vertices_removed
fuel_iso32,3200,6338,50,0,0,10,10,0e0,128,1,4,4,true,true,true,true,true,132,0,true,50,0,0,164,0,false,32,0,true,212,212,6174,82
fuel_half_offset,3200,6338,0,0,0,10,10,0e0,128,1,4,4,true,true,true,true,true,0,0,true,0,0,0,0,0,false,32.5,0,true,0,0,6338,0
bonsai_iso32,533221,1061042,17201,516,129,814,655,0e0,128,1,4,4,true,true,true,false,true,47001,-30,false,17201,516,0,58097,0,false,32,520,true,80501,80501,1002945,29800
bonsai_half_offset,533221,1061042,0,0,0,814,814,0e0,128,1,4,4,true,true,true,true,true,0,0,true,0,0,0,0,0,false,32.5,0,true,0,0,1061042,0
constructed_pinch,38,14,6,4,5,12,7,0e0,128,1,4,4,true,true,true,true,true,13,0,false,6,4,0,2,0,true,none,5,true,2,2,12,7
constructed_long_range,10,8,1,1,0,1,1,0e0,128,1,4,4,true,true,true,false,true,2,0,false,1,1,0,0,0,true,none,1,true,0,0,8,1
