# experiment P-20 (R-010)
# hypothesis: Splitting a weld on a caller-supplied key moves no topology metric relative to the unconditional weld beyond the splits the key itself names: with a constant key every metric is identical, and with a varying key the only change is the vertex count rising by the number of sub-classes the key creates. Across all eight reference fields and every extractor.
# falsified by: Any topology metric -- non-manifold edges, non-manifold vertices, boundary edges -- moving where the key is constant, which would mean the hook itself rather than the key is doing something. Or, with a varying key, a non-manifold vertex count that rises by more than the split count, which would be E*4's failure reappearing: a partial refusal within one coincidence class leaving its representative a bowtie.
# commit be49434 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T21:14:12Z
field,extractor,key,vertices_after,splits,non_manifold_edges,non_manifold_vertices,boundary_edges
gyroid,manifold_dual_contouring,none,4149,0,0,0,762
gyroid,manifold_dual_contouring,constant,4149,0,0,0,762
gyroid,manifold_dual_contouring,normal,4149,0,0,0,762
gyroid,subgrid_marching_tetrahedra,none,12837,0,0,0,840
gyroid,subgrid_marching_tetrahedra,constant,12837,0,0,0,840
gyroid,subgrid_marching_tetrahedra,normal,12837,0,0,0,840
fbm_terrain,marching_cubes,none,2670,0,0,0,224
fbm_terrain,marching_cubes,constant,2670,0,0,0,224
fbm_terrain,marching_cubes,normal,2670,0,0,0,224
fbm_terrain,marching_cubes+decider,none,2670,0,0,0,224
fbm_terrain,marching_cubes+decider,constant,2670,0,0,0,224
fbm_terrain,marching_cubes+decider,normal,2670,0,0,0,224
fbm_terrain,marching_tetrahedra,none,7155,0,0,0,382
fbm_terrain,marching_tetrahedra,constant,7155,0,0,0,382
fbm_terrain,marching_tetrahedra,normal,7155,0,0,0,382
fbm_terrain,surface_nets,none,2557,0,1,2,515
fbm_terrain,surface_nets,constant,2557,0,1,2,515
fbm_terrain,surface_nets,normal,2557,0,1,2,515
fbm_terrain,dual_contouring,none,2557,0,1,2,515
fbm_terrain,dual_contouring,constant,2557,0,1,2,515
fbm_terrain,dual_contouring,normal,2557,0,1,2,515
fbm_terrain,manifold_dual_contouring,none,2558,0,0,0,516
fbm_terrain,manifold_dual_contouring,constant,2558,0,0,0,516
fbm_terrain,manifold_dual_contouring,normal,2558,0,0,0,516
fbm_terrain,subgrid_marching_tetrahedra,none,7274,0,0,0,382
fbm_terrain,subgrid_marching_tetrahedra,constant,7274,0,0,0,382
fbm_terrain,subgrid_marching_tetrahedra,normal,7274,0,0,0,382
noise_cavity,marching_cubes,none,8073,0,0,0,0
noise_cavity,marching_cubes,constant,8073,0,0,0,0
noise_cavity,marching_cubes,normal,8073,0,0,0,0
noise_cavity,marching_cubes+decider,none,8082,0,0,0,0
noise_cavity,marching_cubes+decider,constant,8082,0,0,0,0
noise_cavity,marching_cubes+decider,normal,8082,0,0,0,0
noise_cavity,marching_tetrahedra,none,22348,0,1,2,0
