# experiment P-39 (R-038)
# hypothesis: A brush that provably cannot win the min/max chain inside a chunk can be deleted from the tape before the chunk is meshed, and deleted BIT-EXACTLY. The bound is one sample per brush per chunk: a shape with declared Lipschitz constant l varies by at most l*r over a box of circumradius r, so f(centre) +/- l*r encloses it. The exactness is a selection argument, not an approximation one -- `apply(Add)` is IEEE min and `apply(Subtract)` is IEEE max, both of which SELECT an operand rather than computing a new value, and negation is exact, so dropping a provably-losing Add or Subtract moves the result by zero ULP. The asymmetry is registered rather than discovered: smooth_min is exactly dominant at h == 0 and is NOT bit-exactly prunable in the losing direction, because at h == 1 it returns b + (a - b), which is not bit-identical to a. Clause one: on a 64-brush stack of Add and Subtract spheres and capsules scattered over a 4x4x4 chunk world, the median surviving-brush fraction per chunk is under 0.5. Clause two: meshing a chunk against the pruned tape is at least 1.25x meshing it against the full one. Clause three: every chunk's mesh is byte-identical between the two.
# falsified by: A survivor fraction at or near 1.0, meaning there is nothing to prune on a scattered stack and the mechanism has no purchase on this workload whatever the paper reports. Or -- the result that would matter far more -- any byte difference between pruned and full output on an Add/Subtract-only stack, which would refute the IEEE selection lemma the whole mechanism rests on.
# commit 68b37e9 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:01:30Z
brushes,chunks,survivor_fraction_median,survivor_fraction_max,ns_per_sample_full,ns_per_sample_pruned,speedup,mesh_identical,all_hashes_matched,bound_cost_fraction,bound_ns,c1_survivor_median_under_half,c2_speedup_at_least_1p25,c3_byte_identical,chunk,chunk_hash_matched,chunk_mesh_identical,chunks_all_survive,chunks_speedup_ge_1p25,dominant_adds,empty_chunks,mean_survivors,mesh_hash_full,mesh_hash_pruned,smooth_chunks_differing,smooth_k,smooth_losing_prune_identical,smooth_survivor_fraction_median,speedup_median,speedup_min,survivor_fraction,survivor_fraction_mean,survivor_fraction_min,survivors,tape_length,triangles,vertices,world_ns_per_sample_full,world_ns_per_sample_pruned,world_speedup
64,64,0.2969,1.0000,316.0009,62.9033,5.0236,true,true,0.00044679,1010.0,true,true,true,2-3-0,true,true,3,56,0,7,23.55,5737057099616061160,5737057099616061160,48,0.25,false,0.3438,3.3648,0.9923,0.1719,0.3679,0.0156,11,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,309.2649,60.1897,5.1382,true,true,0.00028201,610.0,true,true,true,3-3-0,true,true,3,56,0,7,23.55,9354609568656401157,9354609568656401157,48,0.25,false,0.3438,3.3648,0.9923,0.1562,0.3679,0.0156,10,64,0,0,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,416.1558,394.7897,1.0541,true,true,0.00006485,920.0,true,true,true,0-0-1,true,true,3,56,0,7,23.55,679794475634407713,679794475634407713,48,0.25,false,0.3438,3.3648,0.9923,0.9531,0.3679,0.0156,61,64,3267,1717,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,444.4789,444.0594,1.0009,true,true,0.00005514,880.0,true,true,true,1-0-1,true,true,3,56,0,7,23.55,9973157743554355917,9973157743554355917,48,0.25,false,0.3438,3.3648,0.9923,1.0000,0.3679,0.0156,64,64,4149,2188,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,413.8123,250.7966,1.6500,true,true,0.00015422,1390.0,true,true,true,2-0-1,true,true,3,56,0,7,23.55,926081882404392614,926081882404392614,48,0.25,false,0.3438,3.3648,0.9923,0.6094,0.3679,0.0156,39,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.1454,91.6372,3.4500,true,true,0.00032795,1080.0,true,true,true,3-0-1,true,true,3,56,0,7,23.55,7375661747035192856,7375661747035192856,48,0.25,false,0.3438,3.3648,0.9923,0.2500,0.3679,0.0156,16,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,513.1697,513.8698,0.9986,true,true,0.00004765,880.0,true,true,true,0-1-1,true,true,3,56,0,7,23.55,8769116383122732486,8769116383122732486,48,0.25,false,0.3438,3.3648,0.9923,1.0000,0.3679,0.0156,64,64,6177,3251,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,552.9140,557.2229,0.9923,true,true,0.00004395,880.0,true,true,true,1-1-1,true,true,3,56,0,7,23.55,6105087818963811820,6105087818963811820,48,0.25,false,0.3438,3.3648,0.9923,1.0000,0.3679,0.0156,64,64,7439,3895,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,333.2387,225.4298,1.4782,true,true,0.00014195,1150.0,true,true,true,2-1-1,true,true,3,56,0,7,23.55,14292266635831559274,14292266635831559274,48,0.25,false,0.3438,3.3648,0.9923,0.6250,0.3679,0.0156,40,64,613,357,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,418.5573,76.8000,5.4500,true,true,0.00036232,1000.0,true,true,true,3-1-1,true,true,3,56,0,7,23.55,12057189459926517929,12057189459926517929,48,0.25,false,0.3438,3.3648,0.9923,0.1562,0.3679,0.0156,10,64,3227,1694,366.1769,148.0912,2.4726
