# experiment P-29 (R-031)
# hypothesis: Dreybrodt and Gabrovsek's wormhole competition reproduces on a 64x64 fracture lattice with their own constants, read from the converted primary source rather than tuned: cubic-law resistance, linear kinetics F = k(1 - c/ceq) with the composite k(a), k1 = 4e-11 mol/cm2/s, ceq = 1e-6 mol/cm3, D = 1e-5 cm2/s, penetration-length transport, da/dt = 2*gamma*F. Clause one: under constant-head boundaries the post-breakthrough aperture distribution is BIMODAL by the central-gap statistic -- max gap in ln(a) with 1 percent tails dropped, at least 0.2, the registered initial log-sd -- on both the seeded-homogeneous and lognormal-heterogeneous nets, while the fixed-flux recharge-limited arm stays UNIMODAL at matched cumulative dissolved volume, per Perne, Covington and Gabrovsek's limited-recharge suppression. Clause two: past breakthrough, more than 90 percent of dissolution flux concentrates in fewer than 10 percent of edges. Recorded, not registered: heterogeneous breakthrough earlier than seeded-homogeneous (the paper's 560 against 1890 years, as an ordering, not a magnitude), per-tick cost, and the Gini-over-flow series.
# falsified by: No bimodal split on either constant-head arm, or dissolution flux failing to concentrate past breakthrough -- the positive-feedback premise of the mechanic dies with the kinetics. Separately falsified as an INSTRUMENT if the recharge-limited arm goes bimodal while the detector also calls the t-zero lognormal apertures bimodal -- both-arms-bimodal indicts the statistic, both-arms-unimodal indicts the kinetics. The detector's own red and green -- a synthetic half-shifted sample it must call bimodal, the t-zero sample it must call unimodal -- run before any verdict is read.
# commit a1174bc on amd-ryzen-9-5900x-12-core at 2026-08-17T22:16:28Z
arm,ticks,years,breakthrough_years,max_gap_ln,bimodal,flux_top10_pct,gini_flow,max_da_over_a_pct,tick_ms_median,dt_cap
hom_seeded3,896,216.81,180.6,0.0603,false,16.06,0.7422,10.000,4.019,0.1
heterogeneous,250,27.51,22.9,0.0215,false,78.05,0.9758,10.000,3.977,0.1
het_dt_control,473,26.34,21.9,0.0237,false,80.02,0.9763,5.000,3.978,0.05
recharge_limited,175,35.43,none,0.0521,false,100.00,0.5596,10.000,3.990,0.1
