# experiment P-156 (R-156)
# hypothesis: x42/M-359 measured shifted linear interpolation and found the recursive prefilter's non-locality bounded -- truncation at k >= 10 moves the root under 7.15e-7 cells on all eight fields -- so the chunk-locality objection is already retired empirically. Quasi-interpolation achieves full approximation order with a compactly supported prefilter, making locality exact rather than bounded (Blu & Unser, 10.1006/acha.1998.0249; the corpus holds only the landing page, so the construction must be taken from a freely available restatement and that source named in the finding). (C1) A compactly supported quasi-interpolant matches the truncated recursive prefilter's accuracy to within 5%. (C2) It is exactly chunk-local -- zero dependence outside the chunk, asserted structurally rather than measured. (C3) Chunk seams remain bit-exact where M-32 says they should be, and the golden hashes that move are counted, since any reconstruction change is a re-baseline. SHARE: C1 moves the vertex-interpolation stage, the crate's single most-executed operation.
# falsified by: C1 by above 5%, which would mean compactness costs accuracy and the truncated recursive filter is the better engineering answer. C2 by any external dependence, which would mean the quasi-interpolant was mis-constructed. C3 by loss of seam bit-exactness. VACUITY CONTROL: the truncated-recursive arm must reproduce x42's 7.15e-7 figure as a control, or the comparison has no baseline.
# commit 2181f83 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:24:01Z
prefilter,support,field,root_position_error,hausdorff,prefilter_ms,chunk_local,seam_bit_exact,hashes_moved,vs_truncated_recursive,c1_holds,c2_holds,c3_holds,c1_decided_at_resolution,c1_excluded_exact_baseline,c1_fields_within_5pct,c1_population,cell_size,crossings_lost,edges_dropped_left_context,edges_measured,footprint_probe_outside,footprint_probe_skipped,footprint_probe_span,golden_hash_algorithms,golden_hash_fields,golden_hash_resolutions,golden_hash_rows,hausdorff_skip,hausdorff_vs_truncated,impulse_response,in_c1_population,is_control,m32_control_cell_size,m32_control_seam_bit_exact,m32_control_worst_delta_cells,mesh_min_bracket,moment_0,moment_1,moment_2,prefilter_ms_max,prefilter_ms_min,prefilter_repeats,ramp_root_error,read_depth_samples,residual_vs_whole_line_cells,resolution,root_position_error_max,sabotage_ramp_root_error,seam_local_bit_exact,seam_pairs,seam_sign_disagreements,seam_worst_delta_cells,standard_mesh_bit_identical,tau,within_5pct,x42_gyroid_k10_delta,x42_gyroid_relative_error,x42_torus_k10_delta,x42_torus_relative_error
recursive_whole_line,whole_line,csg_difference,1.129016e-2,NaN,2.364720e-1,false,false,0,9.999936e-1,false,true,false,65,box_exact,5,6,1.250000e-1,0,225,159,0,0,1,9,8,3,216,bound_not_exact,NaN,iir,true,false,1.176471e-1,false,7.886998e-7,9,1.000000e0,-2.000000e-1,-1.200000e-1,2.398220e-1,2.347220e-1,5,0.000000e0,33,0.000000e0,33,4.597772e-2,4.615385e-2,false,229,0,8.331855e-7,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,csg_difference,1.129024e-2,NaN,5.635440e-1,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,225,159,0,0,1,9,8,3,216,bound_not_exact,NaN,fir,true,true,1.176471e-1,false,5.662137e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,5.649450e-1,5.633040e-1,5,6.008154e-7,11,7.114486e-7,33,4.597783e-2,4.615385e-2,false,229,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,csg_difference,1.729061e-2,NaN,2.876620e-1,true,false,0,1.531466e0,false,true,false,65,box_exact,5,6,1.250000e-1,78,225,159,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,5.662137e-15,9,1.000000e0,-2.000000e-1,-2.000000e-1,3.892830e-1,2.802320e-1,5,0.000000e0,4,1.270189e-2,33,8.667292e-2,4.615385e-2,false,151,0,1.776357e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,csg_difference,1.207620e-2,NaN,3.272230e-1,true,false,0,1.069615e0,false,true,false,65,box_exact,5,6,1.250000e-1,66,225,159,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,5.662137e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,3.275230e-1,3.195120e-1,5,0.000000e0,5,4.752594e-3,33,4.564951e-2,4.615385e-2,false,163,0,1.776357e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,csg_difference,1.798057e-2,NaN,1.198849e0,true,false,0,2.387698e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,878,0,0,1,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,5.662137e-15,17,1.000000e0,0.000000e0,0.000000e0,1.201039e0,1.194499e0,5,0.000000e0,2,2.118176e-2,65,3.290669e-1,4.615385e-2,false,188,0,3.552714e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,csg_difference,7.530314e-3,NaN,2.000796e0,false,false,0,9.999746e-1,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,878,0,0,1,9,8,3,216,bound_not_exact,NaN,iir,true,false,1.176471e-1,false,7.886998e-7,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.002745e0,1.997705e0,5,0.000000e0,65,0.000000e0,65,1.073536e-1,4.615385e-2,false,188,0,7.758577e-7,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,csg_difference,7.530505e-3,NaN,4.671495e0,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,878,0,0,1,9,8,3,216,bound_not_exact,NaN,fir,true,true,1.176471e-1,false,5.662137e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,4.695266e0,4.661186e0,5,6.008154e-7,11,4.017437e-7,65,1.073583e-1,4.615385e-2,false,188,0,7.105427e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,csg_difference,1.080767e-2,NaN,2.196247e0,true,false,0,1.435185e0,false,true,false,65,box_exact,5,6,6.250000e-2,1126,0,878,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,5.662137e-15,17,1.000000e0,-2.000000e-1,-2.000000e-1,2.203637e0,2.193846e0,5,0.000000e0,4,6.814015e-3,65,1.437824e-1,4.615385e-2,false,188,0,7.105427e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,csg_difference,8.042673e-3,NaN,2.534690e0,true,false,0,1.068013e0,false,true,false,65,box_exact,5,6,6.250000e-2,1104,0,878,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,5.662137e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.561299e0,2.521830e0,5,0.000000e0,5,3.116678e-3,65,1.074829e-1,4.615385e-2,false,188,0,7.105427e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,thin_plate,0.000000e0,8.926786e-2,1.257110e-1,true,true,0,NaN,false,true,false,65,box_exact,5,6,1.250000e-1,0,15,0,0,0,0,9,8,3,216,none,1.495929e0,fir,true,false,1.176471e-1,false,1.887379e-15,9,1.000000e0,0.000000e0,0.000000e0,1.296510e-1,1.232710e-1,5,0.000000e0,2,0.000000e0,33,0.000000e0,4.615385e-2,true,15,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,thin_plate,0.000000e0,5.967386e-2,2.360510e-1,false,true,0,NaN,false,true,false,65,box_exact,5,6,1.250000e-1,0,15,0,0,0,0,9,8,3,216,none,1.000000e0,iir,true,false,1.176471e-1,false,3.168910e-12,9,1.000000e0,-2.000000e-1,-1.200000e-1,2.397320e-1,2.356520e-1,5,0.000000e0,33,0.000000e0,33,0.000000e0,4.615385e-2,true,15,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,thin_plate,0.000000e0,5.967385e-2,5.610740e-1,true,true,0,NaN,false,true,false,65,box_exact,5,6,1.250000e-1,0,15,0,0,0,0,9,8,3,216,none,1.000000e0,fir,true,true,1.176471e-1,false,1.887379e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,5.714640e-1,5.597640e-1,5,6.008154e-7,11,0.000000e0,33,0.000000e0,4.615385e-2,true,15,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,thin_plate,0.000000e0,6.350000e-2,2.799020e-1,true,true,0,NaN,false,true,false,65,box_exact,5,6,1.250000e-1,15,15,0,0,0,0,9,8,3,216,none,1.064118e0,fir,true,false,1.176471e-1,false,1.887379e-15,9,1.000000e0,-2.000000e-1,-2.000000e-1,2.894020e-1,2.789330e-1,5,0.000000e0,4,0.000000e0,33,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,thin_plate,0.000000e0,6.039376e-2,3.257620e-1,true,true,0,NaN,false,true,false,65,box_exact,5,6,1.250000e-1,15,15,0,0,0,0,9,8,3,216,none,1.012064e0,fir,true,false,1.176471e-1,false,1.887379e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,3.291820e-1,3.253430e-1,5,0.000000e0,5,0.000000e0,33,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,thin_plate,0.000000e0,4.592793e-2,1.197299e0,true,true,0,NaN,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,0,0,0,0,9,8,3,216,none,1.683571e0,fir,true,false,1.176471e-1,false,1.887379e-15,17,1.000000e0,0.000000e0,0.000000e0,1.202990e0,1.194969e0,5,0.000000e0,2,0.000000e0,65,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,thin_plate,0.000000e0,2.728009e-2,2.002226e0,false,true,0,NaN,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,0,0,0,0,9,8,3,216,none,1.000001e0,iir,true,false,1.176471e-1,false,3.168910e-12,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.003695e0,1.996296e0,5,0.000000e0,65,0.000000e0,65,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,thin_plate,0.000000e0,2.728007e-2,4.660445e0,true,true,0,NaN,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,0,0,0,0,9,8,3,216,none,1.000000e0,fir,true,true,1.176471e-1,false,1.887379e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,4.664836e0,4.656865e0,5,6.008154e-7,11,0.000000e0,65,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,thin_plate,0.000000e0,2.850640e-2,2.197777e0,true,true,0,NaN,false,true,false,65,box_exact,5,6,6.250000e-2,62,0,0,0,0,0,9,8,3,216,none,1.044953e0,fir,true,false,1.176471e-1,false,1.887379e-15,17,1.000000e0,-2.000000e-1,-2.000000e-1,2.207197e0,2.196406e0,5,0.000000e0,4,0.000000e0,65,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,thin_plate,0.000000e0,2.749642e-2,2.545399e0,true,true,0,NaN,false,true,false,65,box_exact,5,6,6.250000e-2,62,0,0,0,0,0,9,8,3,216,none,1.007930e0,fir,true,false,1.176471e-1,false,1.887379e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.557480e0,2.529199e0,5,0.000000e0,5,0.000000e0,65,0.000000e0,4.615385e-2,true,0,0,0.000000e0,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,gyroid,6.660636e-2,NaN,1.250110e-1,true,false,0,1.349160e0,false,true,false,65,box_exact,5,6,4.375000e-1,0,406,1338,0,0,2,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.117647e-1,false,1.078502e-14,3,1.000000e0,0.000000e0,0.000000e0,1.350810e-1,1.243210e-1,5,0.000000e0,2,6.406554e-2,33,6.613984e-1,4.615385e-2,false,737,0,4.060244e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,gyroid,4.936879e-2,NaN,2.361520e-1,false,false,0,1.000001e0,false,true,false,65,box_exact,5,6,4.375000e-1,0,406,1338,0,0,16,9,8,3,216,bound_not_exact,NaN,iir,true,false,4.117647e-1,false,1.451509e-5,3,1.000000e0,-2.000000e-1,-1.200000e-1,2.395120e-1,2.350520e-1,5,0.000000e0,33,0.000000e0,33,4.580459e-1,4.615385e-2,false,737,0,8.875498e-7,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,gyroid,4.936875e-2,NaN,5.620140e-1,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,4.375000e-1,0,406,1338,0,0,11,9,8,3,216,bound_not_exact,NaN,fir,true,true,4.117647e-1,false,6.471014e-15,3,1.000000e0,-2.000000e-1,-1.200000e-1,5.695750e-1,5.602140e-1,5,6.008154e-7,11,5.474897e-7,33,4.580447e-1,4.615385e-2,false,737,0,4.060244e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,gyroid,5.497921e-2,NaN,2.804420e-1,true,false,0,1.113644e0,false,true,false,65,box_exact,5,6,4.375000e-1,17,406,1338,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.117647e-1,false,8.628019e-15,3,1.000000e0,-2.000000e-1,-2.000000e-1,2.846020e-1,2.801720e-1,5,0.000000e0,4,1.994516e-2,33,4.886493e-1,4.615385e-2,false,727,0,4.060244e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,gyroid,4.962954e-2,NaN,3.251530e-1,true,false,0,1.005283e0,false,true,false,65,box_exact,5,6,4.375000e-1,5,406,1338,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.117647e-1,false,1.078502e-14,3,1.000000e0,-2.000000e-1,-1.200000e-1,3.297120e-1,3.103720e-1,5,0.000000e0,5,4.813724e-3,33,4.590800e-1,4.615385e-2,false,734,0,4.060244e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,gyroid,4.262756e-2,NaN,1.196469e0,true,false,0,1.399755e0,false,true,false,65,box_exact,5,6,2.187500e-1,0,464,6657,0,0,2,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.117647e-1,false,1.078502e-14,5,1.000000e0,0.000000e0,0.000000e0,1.202890e0,1.194509e0,5,0.000000e0,2,3.932142e-2,65,6.863960e-1,4.615385e-2,false,1462,0,8.120488e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,gyroid,3.045358e-2,NaN,2.002865e0,false,false,0,9.999998e-1,false,true,false,65,box_exact,5,6,2.187500e-1,0,464,6657,0,0,30,9,8,3,216,bound_not_exact,NaN,iir,true,false,4.117647e-1,false,1.451509e-5,5,1.000000e0,-2.000000e-1,-1.200000e-1,2.009225e0,2.000416e0,5,0.000000e0,65,0.000000e0,65,4.856492e-1,4.615385e-2,false,1462,0,1.445025e-6,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,gyroid,3.045358e-2,NaN,4.665656e0,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,2.187500e-1,0,464,6657,0,0,11,9,8,3,216,bound_not_exact,NaN,fir,true,true,4.117647e-1,false,6.471014e-15,5,1.000000e0,-2.000000e-1,-1.200000e-1,4.674126e0,4.661386e0,5,6.008154e-7,11,5.302120e-7,65,4.856449e-1,4.615385e-2,false,1462,0,1.218073e-14,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,gyroid,3.260167e-2,NaN,2.197757e0,true,false,0,1.070536e0,false,true,false,65,box_exact,5,6,2.187500e-1,53,464,6657,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.117647e-1,false,8.628019e-15,5,1.000000e0,-2.000000e-1,-2.000000e-1,2.199496e0,2.190157e0,5,0.000000e0,4,1.404523e-2,65,4.056988e-1,4.615385e-2,false,1450,0,1.218073e-14,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,gyroid,3.039354e-2,NaN,2.554280e0,true,false,0,9.980282e-1,false,true,false,65,box_exact,5,6,2.187500e-1,7,464,6657,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.117647e-1,false,1.078502e-14,5,1.000000e0,-2.000000e-1,-1.200000e-1,2.561339e0,2.529819e0,5,0.000000e0,5,3.212196e-3,65,4.506380e-1,4.615385e-2,false,1461,0,1.218073e-14,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,fbm_terrain,1.765742e-1,NaN,1.256310e-1,true,false,0,9.205350e-1,false,true,false,65,box_exact,5,6,5.000000e-1,0,139,357,0,0,2,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.705882e-1,false,3.774758e-14,1,1.000000e0,0.000000e0,0.000000e0,1.273210e-1,1.245610e-1,5,0.000000e0,2,1.385769e-1,33,6.304365e-1,4.615385e-2,false,186,0,1.776357e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,fbm_terrain,1.918170e-1,NaN,2.356420e-1,false,false,0,9.999999e-1,false,true,false,65,box_exact,5,6,5.000000e-1,0,139,357,0,0,14,9,8,3,216,bound_not_exact,NaN,iir,true,false,4.705882e-1,false,7.216216e-7,1,1.000000e0,-2.000000e-1,-1.200000e-1,2.399220e-1,2.346120e-1,5,0.000000e0,33,0.000000e0,33,8.663869e-1,4.615385e-2,false,186,0,9.646499e-7,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,fbm_terrain,1.918170e-1,NaN,5.644240e-1,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,5.000000e-1,0,139,357,0,0,11,9,8,3,216,bound_not_exact,NaN,fir,true,true,4.705882e-1,false,1.321165e-14,1,1.000000e0,-2.000000e-1,-1.200000e-1,5.677750e-1,5.587840e-1,5,6.008154e-7,11,5.630858e-7,33,8.663870e-1,4.615385e-2,false,186,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,fbm_terrain,1.942572e-1,NaN,2.808920e-1,true,false,0,1.012721e0,false,true,false,65,box_exact,5,6,5.000000e-1,14,139,357,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.705882e-1,false,5.473400e-14,1,1.000000e0,-2.000000e-1,-2.000000e-1,2.837820e-1,2.801020e-1,5,0.000000e0,4,5.447454e-2,33,8.363829e-1,4.615385e-2,false,176,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,fbm_terrain,1.911414e-1,NaN,3.272730e-1,true,false,0,9.964778e-1,false,true,false,65,box_exact,5,6,5.000000e-1,3,139,357,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.705882e-1,false,9.059420e-14,1,1.000000e0,-2.000000e-1,-1.200000e-1,3.310220e-1,3.186520e-1,5,0.000000e0,5,1.661137e-2,33,8.616345e-1,4.615385e-2,false,184,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,fbm_terrain,1.343294e-1,NaN,1.197839e0,true,false,0,1.045283e0,false,true,false,65,box_exact,5,6,2.500000e-1,0,328,1905,0,0,2,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.705882e-1,false,3.774758e-14,1,1.000000e0,0.000000e0,0.000000e0,1.209989e0,1.191959e0,5,0.000000e0,2,1.331368e-1,65,7.557116e-1,4.615385e-2,false,416,0,3.552714e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,fbm_terrain,1.285100e-1,NaN,2.003725e0,false,false,0,9.999999e-1,false,true,false,65,box_exact,5,6,2.500000e-1,0,328,1905,0,0,12,9,8,3,216,bound_not_exact,NaN,iir,true,false,4.705882e-1,false,7.216216e-7,1,1.000000e0,-2.000000e-1,-1.200000e-1,2.018395e0,1.997305e0,5,0.000000e0,65,0.000000e0,65,9.854769e-1,4.615385e-2,false,416,0,2.564273e-6,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,fbm_terrain,1.285100e-1,NaN,4.662886e0,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,2.500000e-1,0,328,1905,0,0,11,9,8,3,216,bound_not_exact,NaN,fir,true,true,4.705882e-1,false,1.321165e-14,1,1.000000e0,-2.000000e-1,-1.200000e-1,4.664856e0,4.659196e0,5,6.008154e-7,11,5.898676e-7,65,9.854770e-1,4.615385e-2,false,416,0,7.105427e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,fbm_terrain,1.346290e-1,NaN,2.196287e0,true,false,0,1.047614e0,false,true,false,65,box_exact,5,6,2.500000e-1,66,328,1905,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.705882e-1,false,5.473400e-14,1,1.000000e0,-2.000000e-1,-2.000000e-1,2.201417e0,2.189637e0,5,0.000000e0,4,4.396132e-2,65,9.558385e-1,4.615385e-2,false,408,0,7.105427e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,fbm_terrain,1.299522e-1,NaN,2.531559e0,true,false,0,1.011222e0,false,true,false,65,box_exact,5,6,2.500000e-1,19,328,1905,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,4.705882e-1,false,9.059420e-14,1,1.000000e0,-2.000000e-1,-1.200000e-1,2.556110e0,2.506309e0,5,0.000000e0,5,1.376784e-2,65,9.720900e-1,4.615385e-2,false,416,0,7.105427e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,noise_cavity,1.629109e-1,NaN,1.252710e-1,true,false,0,1.040624e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,401,1642,0,0,2,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,7.549517e-14,5,1.000000e0,0.000000e0,0.000000e0,1.308910e-1,1.237410e-1,5,0.000000e0,2,1.408113e-1,33,8.401366e-1,4.615385e-2,false,999,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,noise_cavity,1.565511e-1,NaN,2.363510e-1,false,false,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,401,1642,0,0,15,9,8,3,216,bound_not_exact,NaN,iir,true,false,1.176471e-1,false,2.628000e-6,5,1.000000e0,-2.000000e-1,-1.200000e-1,2.404120e-1,2.360220e-1,5,0.000000e0,33,0.000000e0,33,8.750837e-1,4.615385e-2,false,999,0,8.107108e-7,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,noise_cavity,1.565511e-1,NaN,5.635840e-1,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,401,1642,0,0,11,9,8,3,216,bound_not_exact,NaN,fir,true,true,1.176471e-1,false,7.360779e-14,5,1.000000e0,-2.000000e-1,-1.200000e-1,5.665050e-1,5.593140e-1,5,6.008154e-7,11,6.962015e-7,33,8.750843e-1,4.615385e-2,false,999,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,noise_cavity,1.759207e-1,NaN,2.807520e-1,true,false,0,1.123727e0,false,true,false,65,box_exact,5,6,1.250000e-1,108,401,1642,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,1.698641e-14,5,1.000000e0,-2.000000e-1,-2.000000e-1,2.849220e-1,2.799830e-1,5,0.000000e0,4,6.356435e-2,33,9.610227e-1,4.615385e-2,false,930,0,1.776357e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,noise_cavity,1.612021e-1,NaN,3.259230e-1,true,false,0,1.029709e0,false,true,false,65,box_exact,5,6,1.250000e-1,28,401,1642,0,0,4,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,1.698641e-14,5,1.000000e0,-2.000000e-1,-1.200000e-1,3.278120e-1,3.132330e-1,5,0.000000e0,5,3.189860e-2,33,9.792751e-1,4.615385e-2,false,981,0,1.776357e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,noise_cavity,1.163408e-1,NaN,1.195729e0,true,false,0,1.269614e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,121,9232,0,0,2,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,7.549517e-14,9,1.000000e0,0.000000e0,0.000000e0,1.204359e0,1.194799e0,5,0.000000e0,2,1.027778e-1,65,8.514489e-1,4.615385e-2,false,2354,0,3.552714e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,noise_cavity,9.163485e-2,NaN,2.001215e0,false,false,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,121,9232,0,0,27,9,8,3,216,bound_not_exact,NaN,iir,true,false,1.176471e-1,false,2.628000e-6,9,1.000000e0,-2.000000e-1,-1.200000e-1,2.002396e0,1.997785e0,5,0.000000e0,65,0.000000e0,65,8.821330e-1,4.615385e-2,false,2354,0,4.032010e-6,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,noise_cavity,9.163483e-2,NaN,4.665685e0,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,121,9232,0,0,11,9,8,3,216,bound_not_exact,NaN,fir,true,true,1.176471e-1,false,7.360779e-14,9,1.000000e0,-2.000000e-1,-1.200000e-1,4.671646e0,4.656506e0,5,6.008154e-7,11,8.262751e-7,65,8.821330e-1,4.615385e-2,false,2354,0,7.105427e-15,false,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,noise_cavity,1.021775e-1,NaN,2.198746e0,true,false,0,1.115051e0,false,true,false,65,box_exact,5,6,6.250000e-2,257,121,9232,0,0,3,9,8,3,216,bound_not_exact,NaN,fir,true,false,1.176471e-1,false,1.698641e-14,9,1.000000e0,-2.000000e-1,-2.000000e-1,2.201367e0,2.195117e0,5,0.000000e0,4,3.936065e-2,65,9.395531e-1,4.615385e-2,false,2285,0,7.105427e-15,false,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
