# experiment P-156 (R-156)
# hypothesis: x42/M-359 measured shifted linear interpolation and found the recursive prefilter's non-locality bounded -- truncation at k >= 10 moves the root under 7.15e-7 cells on all eight fields -- so the chunk-locality objection is already retired empirically. Quasi-interpolation achieves full approximation order with a compactly supported prefilter, making locality exact rather than bounded (Blu & Unser, 10.1006/acha.1998.0249; the corpus holds only the landing page, so the construction must be taken from a freely available restatement and that source named in the finding). (C1) A compactly supported quasi-interpolant matches the truncated recursive prefilter's accuracy to within 5%. (C2) It is exactly chunk-local -- zero dependence outside the chunk, asserted structurally rather than measured. (C3) Chunk seams remain bit-exact where M-32 says they should be, and the golden hashes that move are counted, since any reconstruction change is a re-baseline. SHARE: C1 moves the vertex-interpolation stage, the crate's single most-executed operation.
# falsified by: C1 by above 5%, which would mean compactness costs accuracy and the truncated recursive filter is the better engineering answer. C2 by any external dependence, which would mean the quasi-interpolant was mis-constructed. C3 by loss of seam bit-exactness. VACUITY CONTROL: the truncated-recursive arm must reproduce x42's 7.15e-7 figure as a control, or the comparison has no baseline.
# commit 2181f83 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:24:01Z
prefilter,support,field,root_position_error,hausdorff,prefilter_ms,chunk_local,seam_bit_exact,hashes_moved,vs_truncated_recursive,c1_holds,c2_holds,c3_holds,c1_decided_at_resolution,c1_excluded_exact_baseline,c1_fields_within_5pct,c1_population,cell_size,crossings_lost,edges_dropped_left_context,edges_measured,footprint_probe_outside,footprint_probe_skipped,footprint_probe_span,golden_hash_algorithms,golden_hash_fields,golden_hash_resolutions,golden_hash_rows,hausdorff_skip,hausdorff_vs_truncated,impulse_response,in_c1_population,is_control,m32_control_cell_size,m32_control_seam_bit_exact,m32_control_worst_delta_cells,mesh_min_bracket,moment_0,moment_1,moment_2,prefilter_ms_max,prefilter_ms_min,prefilter_repeats,ramp_root_error,read_depth_samples,residual_vs_whole_line_cells,resolution,root_position_error_max,sabotage_ramp_root_error,seam_local_bit_exact,seam_pairs,seam_sign_disagreements,seam_worst_delta_cells,standard_mesh_bit_identical,tau,within_5pct,x42_gyroid_k10_delta,x42_gyroid_relative_error,x42_torus_k10_delta,x42_torus_relative_error
standard_trilinear,1,torus,2.923091e-2,1.378826e-2,1.249710e-1,true,false,0,2.259801e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,71,249,0,0,2,9,8,3,216,none,1.230421e0,fir,true,false,1.176471e-1,false,5.662137e-15,6,1.000000e0,0.000000e0,0.000000e0,1.279810e-1,1.238310e-1,5,0.000000e0,2,3.081670e-2,33,6.582030e-2,4.615385e-2,false,149,0,1.776357e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,torus,1.293510e-2,1.120611e-2,2.364320e-1,false,false,0,9.999947e-1,false,true,false,65,box_exact,5,6,1.250000e-1,0,71,249,0,0,15,9,8,3,216,none,9.999978e-1,iir,true,false,1.176471e-1,false,2.645054e-7,6,1.000000e0,-2.000000e-1,-1.200000e-1,2.405820e-1,2.357310e-1,5,0.000000e0,33,0.000000e0,33,3.608314e-2,4.615385e-2,false,149,0,3.630161e-8,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,torus,1.293517e-2,1.120614e-2,5.637840e-1,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,71,249,0,0,10,9,8,3,216,none,1.000000e0,fir,true,true,1.176471e-1,false,5.662137e-15,6,1.000000e0,-2.000000e-1,-1.200000e-1,5.649540e-1,5.602040e-1,5,6.008154e-7,11,6.732697e-7,33,3.608298e-2,4.615385e-2,false,149,0,1.776357e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,torus,2.203004e-2,9.561750e-3,2.805020e-1,true,false,0,1.703112e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,71,249,0,0,3,9,8,3,216,none,8.532601e-1,fir,true,false,1.176471e-1,false,5.662137e-15,6,1.000000e0,-2.000000e-1,-2.000000e-1,2.840920e-1,2.798120e-1,5,0.000000e0,4,1.648769e-2,33,7.109303e-2,4.615385e-2,false,149,0,1.776357e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,torus,1.264765e-2,1.127530e-2,3.089020e-1,true,false,0,9.777724e-1,false,true,false,65,box_exact,5,6,1.250000e-1,0,71,249,0,0,4,9,8,3,216,none,1.006171e0,fir,true,false,1.176471e-1,false,7.549517e-15,6,1.000000e0,-2.000000e-1,-1.200000e-1,3.290230e-1,3.086120e-1,5,0.000000e0,5,3.991662e-3,33,3.693591e-2,4.615385e-2,false,149,0,1.776357e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,torus,1.317268e-2,3.976398e-3,1.191839e0,true,false,0,2.650198e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1144,0,0,2,9,8,3,216,none,1.175170e0,fir,true,false,1.176471e-1,false,5.662137e-15,12,1.000000e0,0.000000e0,0.000000e0,1.193310e0,1.189459e0,5,0.000000e0,2,1.300616e-2,65,4.524066e-2,4.615385e-2,false,144,0,3.552714e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,torus,4.970370e-3,3.383671e-3,1.992866e0,false,false,0,9.999835e-1,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1144,0,0,27,9,8,3,216,none,9.999976e-1,iir,true,false,1.176471e-1,false,2.645054e-7,12,1.000000e0,-2.000000e-1,-1.200000e-1,1.994715e0,1.991725e0,5,0.000000e0,65,0.000000e0,65,2.150084e-2,4.615385e-2,false,144,0,3.836243e-8,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,torus,4.970452e-3,3.383679e-3,4.650446e0,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1144,0,0,10,9,8,3,216,none,1.000000e0,fir,true,true,1.176471e-1,false,5.662137e-15,12,1.000000e0,-2.000000e-1,-1.200000e-1,4.662615e0,4.648915e0,5,6.008154e-7,11,5.497856e-7,65,2.150261e-2,4.615385e-2,false,144,0,7.105427e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,torus,7.179262e-3,2.998549e-3,2.185637e0,true,false,0,1.444388e0,false,true,false,65,box_exact,5,6,6.250000e-2,8,0,1144,0,0,3,9,8,3,216,none,8.861801e-1,fir,true,false,1.176471e-1,false,5.662137e-15,12,1.000000e0,-2.000000e-1,-2.000000e-1,2.187027e0,2.182756e0,5,0.000000e0,4,5.760786e-3,65,4.489316e-2,4.615385e-2,false,144,0,7.105427e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,torus,4.949395e-3,3.396715e-3,2.540840e0,true,false,0,9.957635e-1,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1144,0,0,4,9,8,3,216,none,1.003853e0,fir,true,false,1.176471e-1,false,7.549517e-15,12,1.000000e0,-2.000000e-1,-1.200000e-1,2.551070e0,2.525109e0,5,0.000000e0,5,3.520992e-4,65,2.142807e-2,4.615385e-2,false,144,0,7.105427e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,box_exact,3.552714e-15,1.443376e-1,1.258310e-1,true,true,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,225,169,0,0,1,9,8,3,216,none,2.165064e0,fir,false,false,1.176471e-1,false,5.662137e-15,9,1.000000e0,0.000000e0,0.000000e0,1.302310e-1,1.245910e-1,5,0.000000e0,2,0.000000e0,33,3.552714e-15,4.615385e-2,true,225,0,0.000000e0,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
