# experiment P-70 (R-068)
# hypothesis: THE MEASURED PRIOR IS ON THIS EXACT HARDWARE CLASS AND THIS EXACT API. Smith, Levien & Owens, Decoupled Fallback: A Portable Single-Pass GPU Scan, SPAA '25, 10.1145/3694906.3743326. Inclusive prefix sum over 2^25 elements, all measured on WebGPU/Dawn: Apple M1 Max 36.85 vs 25.75 G ele/s (1.43x), Apple M3 10.87 vs 7.46 (1.46x), RTX 2080 Super 1.49x, RX 7900 XT 1.33x, Mali-G78 1.35x, Intel HD 620 1.43x. TWO OF THEIR FINDINGS FORECLOSE THE OBVIOUS PLAN and should be recorded whatever this experiment returns. First, verbatim: 'data collected by Sorensen et al. shows that ARM and Apple GPUs do not [provide forward-progress guarantees]' -- plain decoupled look-back TIMES OUT on M1 Max and M3, so single-pass chained scan is off the table on this crate's primary target unless it carries a fallback. Second, the ceiling is structural: reduce-then-scan moves O(3n), chained scan O(2n), so 50% is the THEORETICAL MAXIMUM and 30-50% is what they measure. Scan is memory-bound and subgroups do not change that. WHICH IS WHY THE TARGET IS NOT A FASTER SCAN: M-150 already took the prefix sum from 15.01 to 9.65 ms, the literature caps a further scan improvement near 1.5x, and much of it is banked. The larger win is NOT SCANNING GLOBALLY AT ALL: subgroupBallot plus subgroupExclusiveAdd plus one wave-level atomicAdd collapses per-workgroup compaction into registers and reduces the global scan to a much shorter one over per-workgroup totals. On Apple Silicon the subgroup size is 32 with ballot capped at 64 bits (gpuweb#3950), so one ballot covers half a word of P-40's active-cell bitmap -- a clean mapping rather than a fight. (C1) Subgroup compaction takes the 129^3 extraction below 7.0 ms on the Zen 3 / RTX 3090 rig, from M-150's 9.65. (C2) Output is bit-identical to the current path on all eight fields -- same triangles, same order. (C3) THE CONSTRAINT CLAUSE: the fallback path is exercised, not merely present -- the web build takes it, and a native run with SUBGROUP forced off produces the same output as the subgroup run.
# falsified by: C1 by above 7.0 ms, which would mean the compaction was not the residue. C2 by any difference; a compaction that reorders is a determinism regression and is rejected regardless of speed. C3 by a fallback that is not tested, which is M-44's zero-that-could-not-have-been-non-zero in a new place. NO GOLDEN HASH MOVES: the subgroup scan is compiled in the bench and no extractor calls it, so the 216 hashes cannot move -- and a registration that needed them to move would be proposing a second WGSL path in the shipped crate, which CLAUDE.md's one-path rule forbids. VOID if the device does not advertise SUBGROUP, since every clause would then be about code that did not run; the adapter's reported subgroup size is a recorded column.
# commit 78b24b4 on amd-ryzen-9-5900x-12-core at 2026-08-27T21:42:07Z
arm,elements,scan_ms,speedup_vs_hillis,matches_shipped_scan,matches_cpu_oracle,subgroup_size,subgroup_feature,gpu_total_ms_129,scan_share_of_total,reachable_total_if_scan_free,c1_holds,c2_holds,c3_holds,forced_off_comparator_detects_corruption,forced_off_matches_subgroup_run,forced_off_subgroup_feature
hillis,65536,0.050221,1.000000,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
subgroup,65536,0.047631,1.054376,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
hillis,262144,0.059120,1.000000,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
subgroup,262144,0.053201,1.111257,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
hillis,1048576,0.095551,1.000000,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
subgroup,1048576,0.074671,1.279627,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
hillis,2097152,0.141481,1.000000,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
subgroup,2097152,0.100241,1.411409,true,true,32,true,8.369384,0.043697,8.003671,false,true,true,true,true,false
