# experiment P-33 (R-034a)
# hypothesis: A pure-Rust reimplementation of Whiting, Ochsendorf and Durand's rigid-block feasibility program -- per-vertex interface forces, equilibrium A f = -w, friction cone at mu = 0.7, compression-only -- reproduces the only external ground truths in the dossier. Bisecting thickness over centerline radius on a 100-block semicircular arch (the paper's own tessellation) finds the infeasibility threshold at 0.1075 plus or minus 0.0010 -- Milankovitch's 1907 analytic value, which Whiting's solver hit at 0.10746 -- and bisecting ground tilt at t/r = 0.20 finds 15.84 degrees plus or minus 0.05, Ochsendorf's value. The solver is alternating projection between the equilibrium affine set -- exact per iteration via one prefactored Cholesky of A times A-transpose -- and the per-vertex friction cones, whose projection is closed-form; compression is exact in the cone rather than penalized; 20,000 fixed iterations; the decision reads the CONE-side iterate's equilibrium residual per unit weight, 1e-5 feasible and 1e-4 infeasible, the band between asserted never hit, and the thresholds themselves are checked by the golden values -- a tuned-wrong threshold cannot hit 0.1075 from both sides. Block weights act at exact annular-sector centroids, because centerline weights reproduce Heyman's 0.106 rather than Milankovitch's 0.1075 and the third decimal is the whole point. Recorded, not registered: the threshold at 25, 50, 100 and 200 blocks -- the paper's own warning that coarser blocks over-estimate stability, so coarse thresholds should sit BELOW fine ones.
# falsified by: Missing either golden value -- the solver is wrong somewhere between the formulation and the arithmetic, and nothing structural may be built on it. Instrument-aborts before any verdict: doubling gravity moving any feasibility decision (the program is scale-invariant or it is wrong), or any bisection step landing in the undecided residual band. The game-facing rule and the warm-start economics are R-034b's, deliberately not here.
# commit 341d644 on amd-ryzen-9-5900x-12-core at 2026-08-17T22:59:16Z
test,blocks,value,target,abs_error,within_tolerance,residual_feasible,residual_infeasible
milankovitch_100,100,0.10734,0.10750,0.00016,true,4.507e-16,1.230e-3
tilt_100,100,15.84961,15.84000,0.00961,true,5.183e-7,2.481e-4
coarsen_25,25,0.10703,0.10734,-0.00031,true,2.650e-16,7.581e-4
coarsen_50,50,0.10734,0.10734,0.00000,false,3.715e-16,1.291e-3
coarsen_200,200,0.10734,0.10734,0.00000,true,7.223e-16,1.149e-3
