# experiment P-174 (R-174)
# hypothesis: The crate's curvature estimation is the normal-cycles line -- Sun & Morvan, cited in benches/experiment_p42.rs and p45.rs. Discrete varifolds (Buet, Leonardi & Masnou, 10.1007/s00205-017-1141-0, acquired and converted this session) are the rival, with quantitative convergence bounds. This is registered as a head-to-head expecting a null, because a mature estimator is rarely beaten by a newer formalism on the same data. (C1) Varifold mean curvature is compared against the normal-cycle estimator at matched cost on the analytic fields, where exact curvature is known. (C2) The convergence exponent is fitted for both, since a method that is worse at our resolutions but converges faster is a different recommendation from one that is simply worse. SHARE: C1 moves the curvature stage only, whose share must be reported.
# falsified by: C1 by varifolds winning, which would be a real result and would redirect the P-42/P-45 line. C2 by indistinguishable exponents, which would make the choice purely about constants. VACUITY CONTROL: both estimators must be run against the analytic curvature on sphere and torus and reproduce it, or neither is calibrated.
# commit c3cb940 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:11Z
estimator,field,resolution,mean_curvature_error,gaussian_curvature_error,error_ratio,estimator_ms,cost_ratio,convergence_exponent,c1_holds,c2_holds,boundary_edges,c1_holds_global,c2_holds_global,cell_size,cost_matched,curvature_share,eps,eps_over_h,estimator_ms_max,estimator_ms_min,estimator_ms_scatter,exponent_gap,exponent_gap_sigma,exponent_stderr,extract_ms,gaussian_exponent,global_defect_exact,global_defect_measured,global_int_h_exact,global_int_h_measured,global_int_h_rel_error,h_exact_rms,k_exact_rms,k_negative_vertices,k_positive_vertices,k_zero_exact_vertices,mesh_area,nc_star_gaussian_error,nc_star_mean_error,non_manifold_edges,normal_alignment,repeats,smooth_only_mean_error,support_triangles_mean,triangles,used_vertices,varifold_h_shape_error,vertices,zero_length_sides
normal_cycles,torus,33,3.582866e-2,6.216820e-2,1.214081,3.7375,0.471439,1.470860,true,true,0,false,false,0.125000000,false,0.889551,0.282842712,2.262742,3.7562,3.7345,1.005808,0.501274,6.039637,0.048097,0.4641,1.127950,0.000000000,-0.000000000,19.739208802,19.738680536,2.676230e-5,1.703672,2.443510,428,692,8,11.726156,6.441756e-1,3.233307e-1,0,0.999877011,5,3.582866e-2,49.649,2256,1128,3.538154e-2,1128,0
varifold,torus,33,4.349890e-2,7.232674e-2,1.214081,1.7620,0.471439,0.969586,true,true,0,false,false,0.125000000,false,0.791534,0.282842712,2.262742,1.7845,1.7601,1.013874,0.501274,6.039637,0.067641,0.4641,1.575152,0.000000000,-0.000000000,19.739208802,19.738680536,2.676230e-5,1.703672,2.443510,428,692,8,11.726156,6.441756e-1,3.233307e-1,0,0.999877011,5,4.349890e-2,49.649,2256,1128,3.538154e-2,1128,0
normal_cycles,torus,47,2.296977e-2,4.643177e-2,1.523058,9.0446,0.507462,1.470860,true,true,0,false,false,0.086956522,true,0.878941,0.235907130,2.712932,9.0632,9.0283,1.003875,0.501274,6.039637,0.048097,1.2457,1.127950,0.000000000,-0.000000000,19.739208802,19.740144508,4.740341e-5,1.705105,2.443239,940,1348,0,11.786989,6.967358e-1,3.407725e-1,0,0.999956204,5,2.296977e-2,69.764,4576,2288,2.449450e-2,2288,0
varifold,torus,47,3.498428e-2,4.118002e-2,1.523058,4.5898,0.507462,0.969586,true,true,0,false,false,0.086956522,true,0.786525,0.235907130,2.712932,4.6056,4.5837,1.004771,0.501274,6.039637,0.067641,1.2457,1.575152,0.000000000,-0.000000000,19.739208802,19.740144508,4.740341e-5,1.705105,2.443239,940,1348,0,11.786989,6.967358e-1,3.407725e-1,0,0.999956204,5,3.498428e-2,69.764,4576,2288,2.449450e-2,2288,0
normal_cycles,torus,65,1.318158e-2,2.830216e-2,1.730780,20.5459,0.515909,1.470860,true,true,0,false,false,0.062500000,true,0.863369,0.200000000,3.200000,20.5562,20.5416,1.000711,0.501274,6.039637,0.048097,3.2515,1.127950,0.000000000,-0.000000000,19.739208802,19.739649141,2.230781e-5,1.705805,2.443069,1660,2540,8,11.814832,5.915123e-1,2.964101e-1,0,0.999980854,5,1.318158e-2,92.990,8416,4208,1.284361e-2,4208,0
varifold,torus,65,2.281442e-2,2.346639e-2,1.730780,10.5998,0.515909,0.969586,true,true,0,false,false,0.062500000,true,0.765259,0.200000000,3.200000,10.6086,10.5905,1.001715,0.501274,6.039637,0.067641,3.2515,1.575152,0.000000000,-0.000000000,19.739208802,19.739649141,2.230781e-5,1.705805,2.443069,1660,2540,8,11.814832,5.915123e-1,2.964101e-1,0,0.999980854,5,2.281442e-2,92.990,8416,4208,1.284361e-2,4208,0
normal_cycles,torus,91,8.540906e-3,2.062692e-2,2.101892,53.9744,0.545289,1.470860,true,true,0,false,false,0.044444444,true,0.851757,0.168654809,3.794733,53.9884,53.9629,1.000472,0.501274,6.039637,0.048097,9.3939,1.127950,0.000000000,-0.000000000,19.739208802,19.739474764,1.347378e-5,1.706109,2.442313,3412,5116,0,11.829070,6.201620e-1,3.242901e-1,0,0.999991490,5,8.540906e-3,133.689,17056,8528,7.558758e-3,8528,0
varifold,torus,91,1.795206e-2,1.335811e-2,2.101892,29.4316,0.545289,0.969586,true,true,0,false,false,0.044444444,true,0.758048,0.168654809,3.794733,29.6235,29.4118,1.007197,0.501274,6.039637,0.067641,9.3939,1.575152,0.000000000,-0.000000000,19.739208802,19.739474764,1.347378e-5,1.706109,2.442313,3412,5116,0,11.829070,6.201620e-1,3.242901e-1,0,0.999991490,5,1.795206e-2,133.689,17056,8528,7.558758e-3,8528,0
normal_cycles,torus,129,4.664466e-3,1.335260e-2,2.448632,148.0860,0.553449,1.470860,true,true,0,false,false,0.031250000,true,0.846101,0.141421356,4.525483,148.2208,148.0741,1.000991,0.501274,6.039637,0.048097,26.9357,1.127950,0.000000000,-0.000000000,19.739208802,19.739330277,6.153966e-6,1.706267,2.441842,6940,10484,8,11.836329,6.270570e-1,3.392606e-1,0,0.999996166,5,4.664466e-3,188.455,34864,17432,4.609448e-3,17432,0
varifold,torus,129,1.142156e-2,8.423614e-3,2.448632,81.9580,0.553449,0.969586,true,true,0,false,false,0.031250000,true,0.752643,0.141421356,4.525483,82.2290,81.8845,1.004208,0.501274,6.039637,0.067641,26.9357,1.575152,0.000000000,-0.000000000,19.739208802,19.739330277,6.153966e-6,1.706267,2.441842,6940,10484,8,11.836329,6.270570e-1,3.392606e-1,0,0.999996166,5,1.142156e-2,188.455,34864,17432,4.609448e-3,17432,0
