# experiment P-85 (R-085)
# hypothesis: x52 IS THE TEMPLATE AND IT IS THE MOST TRANSFERABLE THING PHASE 23 PRODUCED. P-71 predicted the GPU synchronisation would be dominated by the count wait, measured it, and found the GEOMETRY COPY at 60% of the whole extraction instead. THE COLLIDER STAGE HAS NEVER HAD THAT TREATMENT. It is 45% of the pipeline, larger than contouring (M-135), and nobody knows whether it is BVH construction, triangle copying, parry3d's constructor, or the weld that M-69 and x18 argue about. Independent corroboration exists and is weaker than this will be: Godot Voxel Tools' performance documentation says 'creating a collider from a mesh is actually much more expensive than meshing itself (about 3 to 5 times)', WITH NO ABSOLUTE TIMINGS AND NO HARDWARE. THIS IS THE CHEAPEST ROW IN THE PHASE AND IT DECIDES WHICH OF P-81 AND P-84 IS WORTH DOING. (C1) Decomposed into copy, construct, BVH-build and handoff, ONE STAGE IS OVER 50% of the collider cost at 33^3 and 65^3 chunks on fbm_terrain and gyroid. (C2) The dominant stage is NOT the one the docs assume: Godot's docs blame BVH construction; predicted here it is the triangle copy, by analogy with x52's finding that the copy dominated on the GPU side for the same structural reason -- the bytes have to move. (C3) The cost is NOT proportional to triangle count alone: at fixed triangle count, gyroid's collider costs at least 1.5x sphere's, because seam boundary edges (M-69's 72 per seam) and degenerate slivers are per- field. SHARE: this experiment measures shares and moves nothing.
# falsified by: C1 by four stages each under 50%, which would mean the cost is diffuse and there is no single lever -- a null worth having, and it would redirect the group toward P-81's query-side attack. C2 by BVH construction dominating, which vindicates the folklore and is equally useful. C3 by proportionality to triangle count, which would make the whole stage predictable from a number the extractor already reports and is the best possible outcome for the scheduler. VACUITY CONTROL: the four stages must sum to the measured total within 5%, reported as a residual column, or the decomposition is missing a stage.
# commit 5c55f12 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:32:45Z
field,chunk_cells,triangles,copy_ms,construct_ms,bvh_ms,handoff_ms,total_ms,residual_ms,largest_stage,largest_share,cost_per_triangle,seam_boundary_edges,degenerate_triangles,c1_holds,c2_holds,c3_holds,arm,boundary_edges,bvh_dominates,bvh_median_ms,bvh_share,bvh_share_of_construct,c3_holds_all_pairs,c3_pair,c3_pair_chunk_cells,c3_ratio,c3_ratio_cycles,cell_size,cells_per_axis,collider_over_contour,construct_median_ms,construct_share,contour_ms,copy_bytes,copy_gb_per_s,copy_median_ms,copy_share,counted_over_median,counted_total_ms,cycles,cycles_per_triangle,duplicate_vertices,finest_largest_share,finest_largest_stage,ghz,handoff_median_ms,handoff_share,median_mixing_share,min_stage_share,readiness_ms,readiness_share,reps,reps_agreeing_on_largest,residual_share,residual_share_without_weld,residual_share_worst_rep,scalar,seam_duplicate_vertices,stages_above_bar,total_median_ms,triangle_mismatch,triangle_mismatch_share,trimesh_new_ms,unwelded_boundary_edges,unwelded_duplicate_vertices,vertices,weld_median_ms,weld_ms,weld_share
fbm_terrain,33,3944,0.002400,0.022090,0.858567,3.917282,4.800489,0.000150,handoff,0.816017,1.217163,92,2,true,false,NA,c1c2,190,false,0.861867,0.178850,0.974916,false,NA,NA,NA,NA,0.500000,32,0.642880,0.027611,0.004602,7.467161,72144,30.0600,0.002470,0.000500,1.003600,4.817769,20181551,5117.03,0,0.503105,readiness,4.1890,3.917282,0.816017,-0.001821,0.000500,2.415150,0.503105,9,9,0.000031,0.312944,0.000044,f32,48,2,4.800489,NA,NA,0.880657,190,1,2068,1.502132,1.502132,0.312912
gyroid,33,10628,0.005030,0.026190,2.549881,10.561027,13.142278,0.000150,handoff,0.803592,1.236571,324,12,true,false,false,c1c2,0,false,2.549881,0.194021,0.989833,false,sphere,68,1.047287,1.040373,0.437500,32,9.365259,0.037890,0.001993,1.403301,191016,37.9753,0.005100,0.000383,0.985141,12.946996,54214930,5101.14,0,0.498651,readiness,4.1875,10.561027,0.803592,-0.000884,0.000383,6.553404,0.498651,9,9,0.000011,0.304953,0.000021,f32,164,2,13.142278,72,0.006775,2.576071,0,2,5290,4.019493,4.007623,0.304941
fbm_terrain,65,16882,0.008300,0.029020,4.093424,18.607033,22.737947,0.000170,handoff,0.818325,1.346875,200,6,true,false,NA,c1c2,390,false,4.090903,0.180026,0.992960,false,NA,NA,NA,NA,0.250000,64,0.411314,0.036661,0.001276,55.281225,306228,36.8949,0.008490,0.000365,0.994776,22.619156,94721327,5610.79,0,0.495185,readiness,4.1877,18.587173,0.818325,0.000647,0.000365,11.259483,0.495185,9,9,0.000007,0.323148,0.000009,f32,102,2,22.737947,NA,NA,4.122444,390,1,8637,7.347550,7.347550,0.323140
gyroid,65,43112,0.020320,0.050511,11.339443,46.576923,57.987347,0.000150,handoff,0.803226,1.345040,684,6,true,false,false,c1c2,0,false,11.340413,0.195550,0.995565,false,sphere,137,1.017153,0.997500,0.218750,64,5.942653,0.038300,0.000871,9.757821,775728,38.1756,0.020491,0.000350,0.993341,57.601204,241128369,5593.07,0,0.488765,readiness,4.1862,46.565553,0.803226,0.000390,0.000350,28.342203,0.488765,9,9,0.000003,0.314463,0.000007,f32,344,2,57.987347,96,0.002227,11.389954,0,2,21532,18.184669,18.234720,0.314460
sphere,68,10556,0.004980,0.026341,2.472750,9.959662,12.463863,0.000130,handoff,0.799083,1.180737,272,0,true,false,false,c3_match,0,false,2.471650,0.198394,0.989460,false,gyroid,33,1.047287,1.040373,0.059701,67,5.305239,0.034779,0.002113,2.349350,190032,38.1590,0.005190,0.000400,0.991407,12.356761,51758000,4903.18,0,0.496240,readiness,4.1886,9.959662,0.799083,-0.000595,0.000400,6.185071,0.496240,9,9,0.000010,0.302853,0.000372,f32,136,2,12.463863,72,0.006775,2.499091,0,0,5280,3.790411,3.774591,0.302843
sphere,137,43016,0.020440,-0.007550,11.276963,45.592485,56.882528,0.000190,handoff,0.801520,1.322357,536,0,true,false,false,c3_match,0,false,10.988940,0.198250,1.000670,false,gyroid,65,1.017153,0.997500,0.029412,136,2.045088,0.028421,-0.000133,27.814219,774312,37.8822,0.020710,0.000359,1.012489,57.592924,241194370,5607.09,0,0.484322,readiness,4.1879,45.592485,0.801520,0.004430,-0.000133,27.549437,0.484322,9,9,0.000003,0.317202,0.000004,f32,436,2,56.882528,96,0.002227,11.269413,0,168,21510,18.043048,18.043048,0.317198
