# experiment P-97 (R-097)
# hypothesis: M-31 IS 216 GOLDEN HASHES ON EIGHT REFERENCE FIELDS. A SAVE FILE IS A HUNDRED THOUSAND EDITS. These are different regimes and nothing has tested the second. Teardown's team is the only public account and their arc is a warning: they FIRST REWROTE DESTRUCTION IN FIXED- POINT INTEGER ARITHMETIC, then found floating point workable with precautions -- 'floating point operations were considered unsafe for deterministic purposes. That is still true to some extent, but the picture is more nuanced.' They were not committing cross-platform hashes. This crate is, so its bar is higher and its evidence should be too. THE VALUE OF THIS EXPERIMENT IS ENTIRELY IN THE FAILURE CASE: a divergence at edit 60,000 that fixture testing cannot reach is the single worst bug this crate could ship. (C1) A 10^5-edit trace replayed on the M5 and the Zen 3 produces byte-identical meshes on all eight fields. (C2) If C1 fails, the divergence is LOCALISED: the first differing edit is identifiable by bisection and its brush parameters name the operation responsible. (C3) Replay cost is LINEAR in log length with a constant under 1.2x the sum of per-edit costs M-50 measured -- i.e. replay does not have a hidden superlinearity. SHARE: C3 is denominated in the sum of per-edit costs, which M-50 measured directly.
# falsified by: C1 by one differing byte -- and that outcome is the point of the row, not its failure. C2 by a divergence that bisection cannot localise, which would mean the fold accumulates rather than diverges and no per-operation fix exists. C3 by above 1.2x, which would put a ceiling on session length independent of correctness. VACUITY CONTROL: the trace must exercise all three operator classes M-36, M-37 and M-38 distinguish -- same-kind, mixed add/subtract, and smooth union -- reported as three counts, because a trace of only same-kind brushes is the case already known to be order-free.
# commit b2b481e on amd-ryzen-9-5900x-12-core at 2026-08-28T01:25:36Z
field,edits,same_kind_edits,mixed_edits,smooth_union_edits,bytes_differing,first_differing_edit,first_differing_operator,bisection_steps,replay_ms,sum_of_per_edit_ms,linearity_constant,c1_holds,c2_holds,c3_holds,bytes_beyond_m31,bytes_compared,bytes_differing_at_nan_normals,bytes_differing_counts,bytes_differing_indices,bytes_differing_normals,bytes_differing_positions,cell_size,control_bisection_agrees,control_bisection_edit,control_bisection_steps,control_bytes_differing,control_deepest_reaching_from_end,control_depths_reaching_output,control_differing_prefixes,control_divergence_heals,control_first_differing_edit,control_first_differing_operator,control_perturbation_depths,control_perturbed_edit,control_perturbed_operator,cpu_khz,dig_box_fraction_of_extent,extract_ms,first_differing_vertex,fold_ms,grid_bytes,grid_bytes_differing,interactive_baseline_ms,interactive_edits,interactive_linearity_constant,interactive_samples_per_axis,interactive_total_ms,local_machine,mesh_hash_local,mesh_hash_peer,nan_normal_vertices,peer_machine,per_edit_ms,pristine_bytes,samples_per_axis,slope_tape_long_ms,slope_tape_short_ms,triangles,vertices
sphere,100000,37723,37364,24913,0,NONE,NONE,1,19392.905,19064.021,1.017252,HELD,EMPTY,HELD,238209,256920,0,0,0,0,0,0.125000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4200232,0.25,1.612,NONE,19391.293,287496,0,82.939,512,42.556779,17,3529.633,x86_64-linux,d0a2f4460077d1f3,d0a2f4460077d1f3,0,aarch64-macos,0.190640209,83352,33,380.860,190.220,7176,3558
torus,100000,37723,37364,24913,0,NONE,NONE,1,19157.586,19052.189,1.005532,HELD,EMPTY,HELD,249064,267624,0,0,0,0,0,0.125000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4200029,0.25,1.237,NONE,19156.348,287496,0,83.917,512,42.511634,17,3567.462,x86_64-linux,3a9bcce727451a62,3a9bcce727451a62,0,aarch64-macos,0.190521894,81240,33,382.383,191.861,7476,3706
box_exact,100000,37723,37364,24913,3,NONE,NONE,1,19305.711,19037.634,1.014081,FALSIFIED,FALSIFIED,HELD,219832,264360,3,0,0,3,0,0.125000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4199962,0.25,1.173,3353,19304.538,287496,0,86.734,512,41.251508,17,3577.901,x86_64-linux,dfdbb0786c10d8aa,a502e1802d09a62a,1,aarch64-macos,0.190376340,97176,33,382.434,192.058,7380,3662
csg_difference,100000,37723,37364,24913,3,NONE,NONE,1,19218.169,19059.094,1.008346,FALSIFIED,FALSIFIED,HELD,225375,266232,3,0,0,3,0,0.125000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4199901,0.25,1.176,3428,19216.993,287496,0,91.465,512,39.054959,17,3572.150,x86_64-linux,d2863a2854678dba,315b05f9372d7e3a,1,aarch64-macos,0.190590939,99768,33,382.475,191.884,7432,3688
thin_plate,100000,37723,37364,24913,0,NONE,NONE,1,19292.492,19028.720,1.013862,HELD,EMPTY,HELD,240918,254376,0,0,0,0,0,0.125000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4199982,0.25,1.167,NONE,19291.324,287496,0,78.455,512,45.598325,17,3577.407,x86_64-linux,e15bb89abaeb58a8,e15bb89abaeb58a8,0,aarch64-macos,0.190287198,36696,33,382.424,192.136,7108,3522
gyroid,100000,37723,37364,24913,0,NONE,NONE,1,19267.079,19088.238,1.009369,HELD,EMPTY,HELD,351522,449160,0,0,0,0,0,0.437500000,true,98976,17,835,1024,8,1024,false,98976,smooth_add,18,98976,smooth_add,4199926,0.25,1.456,NONE,19265.623,287496,0,196.881,512,18.746598,17,3690.857,x86_64-linux,57c281a829aec385,57c281a829aec385,0,aarch64-macos,0.190882384,381624,33,384.625,193.743,12516,6228
fbm_terrain,100000,37723,37364,24913,0,NONE,NONE,1,19342.615,19030.861,1.016382,HELD,EMPTY,HELD,251693,276864,0,0,0,0,0,0.500000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4190370,0.25,1.215,NONE,19341.400,287496,0,543.908,512,7.460408,17,4057.775,x86_64-linux,3c031b5447dd9781,3c031b5447dd9781,0,aarch64-macos,0.190308611,146688,33,389.480,199.172,7570,3875
noise_cavity,100000,37723,37364,24913,0,NONE,NONE,1,19271.180,19099.021,1.009014,HELD,EMPTY,HELD,338766,435288,0,0,0,0,0,0.125000000,true,99936,16,9,64,7,64,false,99936,subtract,18,99936,subtract,4199772,0.25,1.364,NONE,19269.816,287496,0,215.923,512,17.199971,17,3713.864,x86_64-linux,cf847ce3204721f1,cf847ce3204721f1,0,aarch64-macos,0.190990210,471912,33,385.270,194.280,12160,6028
