# experiment P-127 (R-127)
# hypothesis: THE CRATE HAS SHIPPED A CLASSICAL INVARIANT FOR ITS ENTIRE LIFE AND CALLED IT A TRANSCRIBED QUADRATIC. (C1) b*b - 4*a*c from BodySaddles::coefficients is identically Cayley's 2x2x2 hyperdeterminant of [f0..f7] under the indexing f[u + 2v + 4w]: same 12 terms, total degree 4, symbolic difference exactly zero -- asserted by a committed symbolic check, not by a numeric sample. (C2) The same polynomial equals disc(det(A0 + lambda*A1)) for the two opposite-face 2x2 corner matrices, and does so for all three axis pairings, which is the mechanism behind M-206. (C3) In exact rational arithmetic over at least 3,000 random 8-tuples the two expressions agree with ratio exactly 1 and zero sign disagreements; in f32 they do not, and the disagreement count is the number P-134 exists to act on. SHARE: C1 and C2 move no runtime cost at all -- this row is a renaming plus two theorems, and its whole value is what Group A's other rows can then assume.
# falsified by: C1 by any non-zero symbolic difference, which would mean the indexing convention was misread and every downstream row in Group A collapses. C2 by any axis pairing disagreeing, which would make M-206 a coincidence after all. C3 by zero f32 disagreements, which would retire P-134 before it is written. VACUITY CONTROL: the trial set must contain 8-tuples of both discriminant signs and at least 50 within 1e-6 of zero, reported as counts, or C3 is sampling only the easy stratum.
# commit 8c63041 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:25:19Z
expression,terms_disc,terms_cayley,total_degree,symbolic_difference_is_zero,pencil_axis_pairing,pencil_matches,random_rational_trials,max_abs_ratio_deviation,f32_sign_disagreements,f64_sign_disagreements,c1_holds,c2_holds,c3_holds,bisection_max_depth,coefficient_f0sq_f7sq,corrupted_control_residual_terms,degree_per_corner,disc_is_multi_affine,exact_evals,expression_cayley,expression_matches,f32_cross_disagreements,f32_disagreements_general,f32_disagreements_near_zero,f32_flush_to_zero_trials,f32_mantissa_limit,f32_sign_disagreements_cayley,f32_sign_disagreements_disc,f64_sign_disagreements_cayley,f64_sign_disagreements_disc,general_trials,inexact_f32_inputs,max_abs_ratio_deviation_f64,near_zero_attempts,near_zero_brackets_found,near_zero_constructed,near_zero_floor,near_zero_threshold,near_zero_trials,negative_trials,nonfinite_evaluations,pencil_matches_here,pencil_matches_total,pencil_pairings_checked,pencil_residual_terms,pencil_split_axis,pencil_terms,pencil_total_degree,positive_trials,ratio_exactly_one,ratio_pairs_equal_trials,seed,symbolic_residual_terms,total_degree_cayley,undefined_ratio_trials,wall_ns,zero_trials
f3^2*f4^2-2*f2*f3*f4*f5+f2^2*f5^2-2*f1*f3*f4*f6-2*f1*f2*f5*f6+4*f1*f2*f4*f7+f1^2*f6^2+4*f0*f3*f5*f6-2*f0*f3*f4*f7-2*f0*f2*f5*f7-2*f0*f1*f6*f7+f0^2*f7^2,12,12,4,true,0123|4567,1,3481,0/1,14,0,true,true,true,22,1,1,2|2|2|2|2|2|2|2,false,82663,f3^2*f4^2-2*f2*f3*f4*f5+f2^2*f5^2-2*f1*f3*f4*f6-2*f1*f2*f5*f6+4*f1*f2*f4*f7+f1^2*f6^2+4*f0*f3*f5*f6-2*f0*f3*f4*f7-2*f0*f2*f5*f7-2*f0*f1*f6*f7+f0^2*f7^2,true,0,0,14,10,16777216,14,14,0,0,3000,0,0.000000e0,800,481,481,50,1e-6,481,789,0,true,3,3,0,w-slices,12,4,2680,true,3481,0x01275ad1e0c4a1e9,0,4,0,90341851,12
f3^2*f4^2-2*f2*f3*f4*f5+f2^2*f5^2-2*f1*f3*f4*f6-2*f1*f2*f5*f6+4*f1*f2*f4*f7+f1^2*f6^2+4*f0*f3*f5*f6-2*f0*f3*f4*f7-2*f0*f2*f5*f7-2*f0*f1*f6*f7+f0^2*f7^2,12,12,4,true,0145|2367,2,3481,0/1,14,0,true,true,true,22,1,1,2|2|2|2|2|2|2|2,false,82663,f3^2*f4^2-2*f2*f3*f4*f5+f2^2*f5^2-2*f1*f3*f4*f6-2*f1*f2*f5*f6+4*f1*f2*f4*f7+f1^2*f6^2+4*f0*f3*f5*f6-2*f0*f3*f4*f7-2*f0*f2*f5*f7-2*f0*f1*f6*f7+f0^2*f7^2,true,0,0,14,10,16777216,14,14,0,0,3000,0,0.000000e0,800,481,481,50,1e-6,481,789,0,true,3,3,0,v-slices,12,4,2680,true,3481,0x01275ad1e0c4a1e9,0,4,0,90341851,12
f3^2*f4^2-2*f2*f3*f4*f5+f2^2*f5^2-2*f1*f3*f4*f6-2*f1*f2*f5*f6+4*f1*f2*f4*f7+f1^2*f6^2+4*f0*f3*f5*f6-2*f0*f3*f4*f7-2*f0*f2*f5*f7-2*f0*f1*f6*f7+f0^2*f7^2,12,12,4,true,0246|1357,3,3481,0/1,14,0,true,true,true,22,1,1,2|2|2|2|2|2|2|2,false,82663,f3^2*f4^2-2*f2*f3*f4*f5+f2^2*f5^2-2*f1*f3*f4*f6-2*f1*f2*f5*f6+4*f1*f2*f4*f7+f1^2*f6^2+4*f0*f3*f5*f6-2*f0*f3*f4*f7-2*f0*f2*f5*f7-2*f0*f1*f6*f7+f0^2*f7^2,true,0,0,14,10,16777216,14,14,0,0,3000,0,0.000000e0,800,481,481,50,1e-6,481,789,0,true,3,3,0,u-slices,12,4,2680,true,3481,0x01275ad1e0c4a1e9,0,4,0,90341851,12
