# experiment P-124 (R-052)
# hypothesis: x36 PROVED P-55'S ZERO UNREACHABLE BY PROOF RATHER THAN BY MEASUREMENT, AND THE REASON IS THE COMPLEX THE PREDICATE WAS EVALUATED ON. A mesh edge is a chord of the zero set, so a monotonicity predicate over mesh edges is saturated by geometry before it measures anything -- that is a fact about the domain and no fixture can rescue it. Finken et al.'s PL function lives on the AMBIENT complex, and this row ports it there. METHOD: a fixed simplicial subdivision of the grid -- Kuhn/Freudenthal's SIX tetrahedra per cell, which this crate already ships and P-100 already proved tiles across chunk seams at 0 open edges -- with monotonicity evaluated over TET EDGES INCLUDING THE DIAGONALS, which is the set a mesh-edge predicate structurally cannot reach. BENCH-LOCAL, NO SOURCE CHANGE. THE TOLERANCE IS THE ROW'S MOST LOAD-BEARING DECISION and it is fixed here rather than after the first surprise: it is scaled by max(|f(a)|, |f(b)|) over the edge's two endpoints, a quantity that is NOT identically zero at the endpoints, because x36's defect was a tolerance that vanished exactly where the predicate had to discriminate. (C1) Gated on the CONTRAPOSITIVE of Theorem 1 part 2b -- all tet edges monotone implies zero or at least 2 interior critical points -- evaluated AS AN INTEGER over every cell, ONE FAILING CELL SUFFICES to reject a cell and the count is exact. (C2) box_exact is the resolution witness the falsifier already handed over: its non-monotone corner population is O(n) and HALVES PER REFINEMENT, so the count at 33 cubed, 65 cubed and 129 cubed must fall by a factor in [1.7, 2.3] per doubling. (C3) The predicate discriminates: the non-monotone cell count is strictly between 0 and cells on at least six of the eight reference fields. SHARE: this row moves nothing and proposes no source change. It decides whether the ambient reading of Finken et al. is measurable at all, which x36 left open by closing only the mesh-edge reading.
# falsified by: C1 by the integer count being 0 on every cell of every field, which would mean the ambient predicate is saturated too and closes the whole Finken et al. line rather than only P-55's reading of it; or by cells where the count equals the cell count, which would mean the tolerance is so tight that nothing is monotone and the predicate is measuring the tolerance. C2 by box_exact's population not halving -- a factor outside [1.7, 2.3] on either doubling -- which would mean it is not a resolution witness and x36's own falsifier does not transfer. C3 by the count being 0 or cells on three or more fields. VACUITY CONTROL, AUDITED CLAUSE BY CLAUSE BEFORE THIS REGISTRATION WAS COMMITTED per BACKLOG.md:157-160: every clause here is an integer over an enumerated population whose denominator is exact by construction, so each can be checked for can-it-fire without a run. C1 can fire in both directions and both are reported. C2's [1.7, 2.3] band is two-sided on purpose -- a population that FELL FASTER than O(n) would be as much a refutation of the witness as one that did not fall. C3 is the discrimination control itself. And the instrument must be shown able to read a non-monotone edge: a control arm evaluating the SAME predicate over MESH edges must reproduce x36's saturation -- 0 non-monotone -- in the same run, which is what proves the ambient count is a property of the complex and not of the tolerance.
# commit 675d912 on amd-ryzen-9-5900x-12-core at 2026-08-29T02:24:09Z
field,resolution,cells,tets,tet_edges,non_monotone_edges,non_monotone_cells,diagonal_only_failures,critical_points_lower_bound,box_exact_population_ratio,mesh_edge_control_non_monotone,c1_holds,c2_holds,c3_holds,all_flags_from_endpoints,axis_only_reachable_cells,box_exact_count_falls,box_exact_count_ratio_33_to_65,box_exact_count_ratio_65_to_129,box_exact_rate_ratio_33_to_65,box_exact_rate_ratio_65_to_129,c1_row_discriminates,cell_size_w,certified_cells,control_extract_ns,counts_equal_across_tolerances,degenerate_edges,discriminating_fields_bar,discriminating_fields_here,flagged_by_endpoints_at_1e12,gradient_evals,guard_inert,interior_vertices,k_samples_max,k_samples_min,max_abs_tolerance,mean_abs_tolerance,mesh_edge_control_degenerate,mesh_edge_control_edges,mesh_edge_control_max_abs_tolerance,mesh_edge_control_nonzero_g_discarded,mesh_edge_control_per_1k,mesh_edge_control_saturated,mesh_edge_control_triangles,min_endpoint_scale,non_monotone_axis_edges,non_monotone_body_diagonal_edges,non_monotone_cell_rate,non_monotone_edge_rate,non_monotone_edges_at_1e10,non_monotone_edges_at_1e14,non_monotone_face_diagonal_edges,nonfinite_g_samples,nonzero_g_discarded_at_1e12,pl_local_extrema,predicate_ns,predicate_ns_per_edge,rate_ratio_from_previous,sample_evals,tet_edge_count_matches_closed_form,tet_edges_axis,tet_edges_body_diagonal,tet_edges_closed_form,tet_edges_face_diagonal,tolerance_coef,tolerance_rule,worst_reversal,zero_g_samples
sphere,33,32768,196608,238688,4704,4326,4326,1,1.967635,3156,true,true,true,true,0,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,28442,572884,true,0,6,8,4704,170081,false,29791,3,2,2.464102e-12,1.018418e-12,0,3468,1.701129e-15,16,910.034602,true,2312,7.782219e-3,0,1536,0.132019043,0.019707736,4704,4704,3168,14,412,1,11140723,46.67,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),1.250000e-1,16946
sphere,65,262144,1572864,1872064,18624,17862,17862,1,1.967635,13092,true,true,true,true,0,false,4.065795,4.034352,1.967635,1.982970,true,0.062500000,244282,3276944,true,0,6,8,18624,1335489,false,250047,3,2,2.464102e-12,9.861642e-13,0,14268,4.578763e-16,0,917.577796,true,9512,1.951221e-3,0,6144,0.068138123,0.009948378,18624,18624,12480,14,2216,1,86888460,46.41,1.937521,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),6.250000e-2,66310
sphere,129,2097152,12582912,14827904,74112,72582,72582,1,1.967635,51732,true,true,true,true,0,false,4.065795,4.034352,1.967635,1.982970,true,0.031250000,2024570,22670710,true,0,6,8,74112,10584449,false,2048383,3,2,2.464102e-12,9.700363e-13,0,57684,1.165078e-16,8,896.817142,true,38456,4.881621e-4,0,24576,0.034609795,0.004998144,74112,74112,49536,14,9980,1,688810050,46.45,1.968753,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),3.125000e-2,262258
torus,33,32768,196608,238688,9772,7434,5514,4,1.967635,2978,true,true,true,false,1920,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,25334,428083,true,0,6,8,9766,170081,true,29791,3,2,2.409824e-12,1.058318e-12,0,3384,6.293799e-15,16,880.023641,true,2256,2.386128e-3,1848,2182,0.226867676,0.040940475,9772,9772,5742,510,0,16,12736386,53.36,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),1.767767e-1,10408
torus,65,262144,1572864,1872064,39852,32858,24922,4,1.967635,11282,true,true,true,false,7936,false,4.065795,4.034352,1.967635,1.982970,true,0.062500000,229286,2930423,true,0,6,8,39840,1335489,true,250047,3,2,2.409824e-12,1.027250e-12,0,12624,1.456589e-15,16,893.694550,true,8416,2.271481e-3,7800,8986,0.125343323,0.021287734,39852,39852,23066,958,0,28,99287993,53.04,1.809970,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),8.838835e-2,39304
torus,129,2097152,12582912,14827904,161178,138584,106328,4,1.967635,45760,true,true,true,false,32256,false,4.065795,4.034352,1.967635,1.982970,true,0.031250000,1958568,24582674,true,0,6,8,161172,10584449,true,2048383,3,2,2.409824e-12,1.011721e-12,0,52296,3.815530e-16,0,875.019122,true,34864,4.697337e-4,31992,36396,0.066082001,0.010869911,161178,161178,92790,1854,0,60,785414584,52.97,1.896785,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),4.419417e-2,152392
box_exact,33,32768,196608,238688,4420,2599,2595,0,1.967635,348,true,true,true,true,4,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,30169,414173,true,0,6,8,4420,170081,false,29791,3,2,1.732051e-12,6.833810e-13,0,4044,0.000000e0,0,86.053412,false,2696,0.000000e0,1,1969,0.079315186,0.018517898,4420,4420,2450,0,68,1,12975057,54.36,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),1.250000e-1,162784
box_exact,65,262144,1572864,1872064,17284,10567,10563,0,1.967635,732,true,true,true,true,4,false,4.065795,4.034352,1.967635,1.982970,true,0.062500000,251577,3012442,true,0,6,8,17284,1335489,false,250047,3,2,1.732051e-12,6.547506e-13,0,17292,0.000000e0,0,42.331714,false,11528,0.000000e0,1,7777,0.040309906,0.009232590,17284,17284,9506,0,412,1,101633972,54.29,1.967635,274625,true,811200,262144,1872064,798720,1e-12,coef*max(|f(a)|;|f(b)|),6.250000e-2,1207736
box_exact,129,2097152,12582912,14827904,68356,42631,42627,0,1.967635,1500,true,true,true,true,4,false,4.065795,4.034352,1.967635,1.982970,true,0.031250000,2054521,24259212,true,0,6,8,68356,10584449,false,2048383,3,2,1.732051e-12,6.403021e-13,0,71436,0.000000e0,0,20.997816,false,47624,0.000000e0,1,30913,0.020328045,0.004609957,68356,68356,37442,0,2216,1,804247756,54.24,1.982970,2146689,true,6390144,2097152,14827904,6340608,1e-12,coef*max(|f(a)|;|f(b)|),3.125000e-2,9286156
csg_difference,33,32768,196608,238688,6670,3776,2565,0,1.967635,951,true,true,true,false,1211,false,4.065795,4.034352,1.967635,1.982970,true,0.125000000,28992,471343,true,0,6,8,6616,170081,false,29791,3,2,1.732051e-12,6.793806e-13,0,4152,2.422590e-15,1,229.046243,false,2768,0.000000e0,963,2265,0.115234375,0.027944430,6670,6670,3442,0,68,3,13980395,58.57,0.000000,35937,true,104544,32768,238688,101376,1e-12,coef*max(|f(a)|;|f(b)|),2.165064e-1,153163
