field,resolution,scalar,cells,sign_disagreements_f32,sign_disagreements_f64,disagreement_rate,exact_ms,float_ms,overhead_ratio,filtered_fallback_rate,triangles_changed,nonmanifold_delta,c1_holds,c2_holds,c3_holds,ambiguous_cell_rate,ambiguous_cells,below_bound_this_scalar,below_f32_error_bound,below_f64_error_bound,c1_row,c2_aggregate_f32,c2_aggregate_f64,c2_aggregate_ratio,c2_row,c3_row,case_index_disagreements,disc_sign_cells_changed,exact_max_ms,exact_min_ms,exact_negative,exact_positive,exact_terms,exact_zero,extract_max_ms,extract_min_ms,extract_ms,extract_repeats,f64_is_the_corrected_arm,fields_disagreeing_f32,fields_disagreeing_names,filter_certified_wrong,filter_depth_u,filter_fallbacks,filter_relative_bound,float_max_ms,float_min_ms,grid_cells,hexagon_cells_changed,inside_mask_cells_changed,joined_mask_cells_changed,max_abs_corner,min_abs_nonzero_corner,nonfinite_deltas,nonmanifold_edges_f32,nonmanifold_edges_f64,overhead_ratio_scatter,repeats,saddle_share,saddle_stage_ms,saddle_stage_scatter,samples_per_axis,sign_disagreements_f32_ambiguous,surface_cell_rate,triangles_f32,triangles_f64
torus,129x129x129,f32,17432,0,0,0.000000000,1.601333,0.039941,40.092461,0.103143644,0,0,true,false,true,0.000000000,0,1798,1798,0,false,73.915085,31.808681,54.278948,false,false,0,0,1.616843,1.596903,0,17432,12,0,52.707066,49.054777,49.111228,3,true,2,csg_difference|fbm_terrain,0,26.0,1798,1.549721e-6,0.040201,0.039380,2097152,0,0,0,2.409824e0,5.823470e-6,0,0,0,0.033007,9,0.000170,0.008350,0.050299,129,0,0.008312225,34864,34864
torus,129x129x129,f64,17432,0,0,0.000000000,0.134541,0.034700,3.877262,0.000000000,0,0,true,false,true,0.000000000,0,0,1798,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.156031,0.134101,0,17432,12,0,49.246759,47.351043,47.370774,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.042610,0.033750,2097152,0,0,0,2.409824e0,5.823470e-6,0,0,0,0.418330,9,0.000132,0.006260,0.667732,129,0,0.008312225,34864,34864
box_exact,33x33x33,f32,1352,0,0,0.000000000,0.427973,0.003100,138.055806,1.000000000,0,0,true,false,true,0.000000000,0,1352,1352,1352,false,73.915085,31.808681,54.278948,false,false,0,0,0.433814,0.427653,0,0,12,1352,0.979708,0.940818,0.944967,3,true,2,csg_difference|fbm_terrain,0,26.0,1352,1.549721e-6,0.003140,0.003080,32768,0,0,0,1.732051e0,1.250000e-1,0,0,0,0.033751,9,0.000709,0.000670,0.059701,33,0,0.041259766,2696,2696
box_exact,33x33x33,f64,1352,0,0,0.000000000,0.429643,0.002680,160.314552,1.000000000,0,0,true,false,true,0.000000000,0,1352,1352,1352,false,73.915085,31.808681,54.278948,false,false,0,0,0.431444,0.426503,0,0,12,1352,0.924527,0.915767,0.916967,3,true,2,csg_difference|fbm_terrain,0,26.0,1352,2.886580e-15,0.002770,0.002640,32768,0,0,0,1.732051e0,1.250000e-1,0,0,0,0.060008,9,0.000382,0.000350,0.571429,33,0,0.041259766,2696,2696
box_exact,65x65x65,f32,5768,0,0,0.000000000,1.830675,0.013190,138.792646,1.000000000,0,0,true,false,true,0.000000000,0,5768,5768,5768,false,73.915085,31.808681,54.278948,false,false,0,0,1.838694,1.830294,0,0,12,5768,6.722413,6.615582,6.643703,3,true,2,csg_difference|fbm_terrain,0,26.0,5768,1.549721e-6,0.013620,0.012980,262144,0,0,0,1.732051e0,6.250000e-2,0,0,0,0.053110,9,0.000418,0.002780,0.010791,65,0,0.022003174,11528,11528
box_exact,65x65x65,f64,5768,0,0,0.000000000,1.825454,0.011910,153.270697,1.000000000,0,0,true,false,true,0.000000000,0,5768,5768,5768,false,73.915085,31.808681,54.278948,false,false,0,0,1.830175,1.822094,0,0,12,5768,6.424350,6.387940,6.395611,3,true,2,csg_difference|fbm_terrain,0,26.0,5768,2.886580e-15,0.015910,0.011410,262144,0,0,0,1.732051e0,6.250000e-2,0,0,0,0.382261,9,0.000219,0.001400,0.992857,65,0,0.022003174,11528,11528
box_exact,129x129x129,f32,23816,0,0,0.000000000,7.574720,0.055151,137.345107,1.000000000,0,0,true,false,true,0.000000000,0,23816,23816,23816,false,73.915085,31.808681,54.278948,false,false,0,0,7.593440,7.561500,0,0,12,23816,53.911696,50.098205,50.418448,3,true,2,csg_difference|fbm_terrain,0,26.0,23816,1.549721e-6,0.059131,0.054500,2097152,0,0,0,1.732051e0,3.125000e-2,0,0,0,0.088186,9,0.000226,0.011390,0.410009,129,0,0.011356354,47624,47624
box_exact,129x129x129,f64,23816,0,0,0.000000000,7.541060,0.047961,157.233169,1.000000000,0,0,true,false,true,0.000000000,0,23816,23816,23816,false,73.915085,31.808681,54.278948,false,false,0,0,7.569860,7.532699,0,0,12,23816,51.111134,48.472472,48.506503,3,true,2,csg_difference|fbm_terrain,0,26.0,23816,2.886580e-15,0.094311,0.047530,2097152,0,0,0,1.732051e0,3.125000e-2,0,0,0,0.980324,9,0.000181,0.008760,0.650685,129,0,0.011356354,47624,47624
csg_difference,33x33x33,f32,1388,4,0,0.002881844,0.388773,0.003170,122.641325,0.850864553,0,0,true,false,true,0.000000000,0,1181,1181,1162,true,73.915085,31.808681,54.278948,false,false,0,4,0.392694,0.385843,27,199,12,1162,0.982578,0.954618,0.978127,3,true,2,csg_difference|fbm_terrain,0,26.0,1181,1.549721e-6,0.003180,0.003160,32768,0,16,0,1.732051e0,2.922360e-3,0,0,0,0.023931,9,0.000705,0.000690,1.072464,33,0,0.042358398,2768,2768
csg_difference,33x33x33,f64,1388,4,0,0.000000000,0.370963,0.002760,134.406884,0.837175793,0,0,true,false,true,0.000000000,0,1162,1181,1162,false,73.915085,31.808681,54.278948,false,false,0,4,0.378513,0.370673,27,199,12,1162,0.938337,0.924557,0.927608,3,true,2,csg_difference|fbm_terrain,0,26.0,1162,2.886580e-15,0.002780,0.002700,32768,0,16,0,1.732051e0,2.922360e-3,0,0,0,0.050120,9,0.000388,0.000360,0.555556,33,0,0.042358398,2768,2768
