# experiment P-109 (R-109)
# hypothesis: VIGNA'S QUASI-SUCCINCT INDICES ENCODE A MONOTONE SEQUENCE IN ABOUT 2 + CEIL(LOG(U/N)) BITS WITH O(1) ACCESS, NO HASHING AND NO GLOBAL BUILD -- AND EDGE INDICES WITHIN A CHUNK ARE MONOTONE ONCE SWEPT IN ORDER. Three corrections this registration must carry, every one against the research doc. FIRST: there is NO edge-to-vertex MAP. A grep for 'edge_to_vertex', 'edge_cache', 'EdgeKey' and 'edge_id' over crates/isomesh/src/ returns nothing. The structure is 'edge_vertices: Vec<u32>', a DENSE FLAT VEC of sample_count * 3 slots keyed by the arithmetic 'lo_sample * 3 + axis' -- marching_cubes/mod.rs:97 declares it, :250-251 clears and resizes it every extract, :604 computes the key, :606-609 probes it, :620-622 writes it, and u32::MAX is the sentinel -- with the same shape at marching_tetrahedra.rs:92 and property/extraction.rs:425. SECOND: the KEY side is already order-independent; what is discarded is the VALUE, a buffer position from a monotonic counter. M-318 already recorded that the encoding is not the obstacle, that index-is-edge-id costs 230x MEMORY (about 6.4 M slots for 27,822 vertices at 129 cubed) and that the workable shape carries state across extractions. THIRD: V-45's stop applies to a structure that PERSISTS ACROSS CALLS; one REBUILT FROM GRID AND FIELD ALONE is inside V-45's own stated reopening condition, which asks for 'a formulation where the persistent map is derivable from the inputs'. This row is the rebuilt kind and it is bench-local. (C1) The encoded map costs at most 4 bits per crossing. (C2) Access costs at most 1.5x the current direct addressing. (C3) The decoded map equals the dense array on every crossing. SHARE: this row prices an ENCODING and moves no extraction time; C2 is a cost bound and C1 a space bound, so neither is a ratio of a total and x51's bar does not apply. What it feeds is R-027a's 45x ceiling, which M-318 measured and which nothing here re-claims.
# falsified by: C1 by more than 4 bits per crossing, which is where the dense u32 array's 32 bits per SLOT stops being the thing to beat. C2 by access above 1.5x. C3 by one crossing differing. VACUITY CONTROL: crossings must be non-zero on every row and values_equal must equal crossings; and a deliberately shifted low-bits width must give mutant_value_mismatches greater than zero, or the decoder is being checked against itself.
# commit ff2ec47 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:31:36Z
field,resolution,crossings,samples,dense_bytes,ef_bytes,bits_per_crossing,ns_per_access_dense,ns_per_access_ef,access_ratio,values_equal,mutant_value_mismatches,c1_holds,c2_holds,c3_holds,absent_probed,absent_sentinel_correct,access_ratio_instructions,access_ratio_instructions_popcnt_credited,access_ratio_instructions_random,access_ratio_random,bits_per_crossing_no_select,bits_per_crossing_with_values,buckets,c1_holds_no_select,c1_holds_with_values,c2_contingent_on_popcnt,c2_holds_ns,centroid_vertices,count_ones_per_access_ef,count_ones_per_access_ef_positional,dense_bits_per_crossing,ef_bytes_no_select,ghz,inner_probe,inner_random,instructions_per_access_dense,instructions_per_access_dense_random,instructions_per_access_ef,instructions_per_access_ef_popcnt_credited,instructions_per_access_ef_positional,instructions_per_access_ef_random,low_bits_width,low_bytes,mirror_on_edge,mirror_vertices,mutant_low_bits_width,ns_per_access_dense_random,ns_per_access_ef_positional,ns_per_access_ef_random,positional_values_equal,probes,select_hint_bytes,shipped_vertices,space_ratio_dense_over_ef,target_feature_popcnt,universe,universe_per_crossing,upper_bits,upper_bytes,value_bytes
box_exact,65,5766,274625,3295500,7472,10.3670,0.5060,42.2892,83.5775,5766,5766,false,false,true,4066,4066,71.1661,58.4890,113.3649,121.3716,9.5789,42.3670,3219,false,false,false,false,0,9.2200,5.0017,4572.3205,6904,4.1815,845,4096,8.0003,5.0020,569.3471,467.9273,146.9376,567.0519,8,5776,5766,5766,9,0.3723,8.4293,45.1875,5766,34584,568,5766,107.9218,false,823875,142.8850,8985,1128,23064
csg_difference,65,6012,274625,3295500,7764,10.3313,0.4063,40.6070,99.9429,6012,6012,false,false,true,4066,4066,64.6363,52.8700,102.8716,110.7551,9.5595,42.3313,3219,false,false,false,false,0,8.5576,4.9377,4385.2295,7184,4.1827,778,4096,8.0003,5.0020,517.1067,422.9731,145.7767,514.5643,8,6024,6012,6012,9,0.3883,8.6143,43.0026,6012,36060,580,6012,103.5930,false,823875,137.0384,9231,1160,24048
thin_plate,65,2046,274625,3295500,3008,11.7615,0.3397,47.1681,138.8520,2046,2046,false,false,true,4087,4087,94.6681,87.1260,150.1270,186.4805,10.8543,43.7615,1610,false,false,false,false,0,5.4856,4.9373,12885.6305,2776,4.1850,2829,4096,8.0007,5.0020,757.4089,697.0668,147.9371,750.9359,9,2312,2046,2046,10,0.2687,8.6024,50.1086,2046,12264,232,2046,294.4514,false,823875,402.6760,3656,464,8184
gyroid,65,21534,274625,3295500,22620,8.4035,0.4895,34.5881,70.6529,21534,21534,false,false,true,3989,3989,38.5394,29.2053,61.9224,72.0596,7.6025,40.4035,12874,false,false,false,false,0,6.7885,5.1917,1224.2965,20464,4.1829,193,4096,8.0001,5.0020,308.3185,233.6454,147.8130,309.7359,6,16160,21534,21534,7,0.4821,8.7106,34.7421,21534,129348,2156,21534,30.3018,false,823875,38.2593,34408,4304,86136
fbm_terrain,65,8638,274625,3295500,10400,9.6319,0.5047,36.2126,71.7521,8638,8638,false,false,true,4046,4046,48.0147,39.1282,76.9272,89.8885,8.7576,41.6319,6437,false,false,false,false,0,6.4631,5.2437,3052.0954,9456,4.1818,606,4096,8.0002,5.0020,384.1268,313.0329,154.0460,384.7899,7,7568,8638,8638,8,0.4107,8.8479,36.9186,8638,50652,944,8638,73.3115,false,823875,95.3780,15075,1888,34552
noise_cavity,65,28882,274625,3295500,28316,7.8432,0.3893,35.5376,91.2794,28882,28882,false,false,true,3947,3947,38.6701,29.4420,61.6067,72.2988,6.8959,39.8432,25747,false,false,false,false,0,6.7114,5.2493,912.8177,24896,4.1825,185,4096,8.0001,5.0020,309.3634,235.5383,148.6365,308.1568,5,18064,28882,28882,6,0.4893,8.8732,35.3767,28882,174336,3420,28882,22.9102,false,823875,28.5256,54629,6832,115528
sphere,129,19230,2146689,25760268,27624,11.4920,0.5493,37.3699,68.0298,19230,19230,false,false,true,4085,4085,47.2840,37.1801,76.0916,70.2643,10.6633,43.4920,12579,false,false,false,false,0,7.3484,4.9390,10716.7002,25632,4.1832,193,4096,8.0001,5.0020,378.2771,297.4447,146.3389,380.6107,9,21648,19230,19230,10,0.5579,8.4473,39.1996,19230,115368,1992,19230,246.4060,false,6440067,334.8969,31809,3984,76920
torus,129,17432,2146689,25760268,25256,11.5906,0.5334,38.9028,72.9330,17432,17432,false,false,true,4084,4084,56.4405,46.6419,90.2732,86.5995,10.7279,43.5906,12579,false,false,false,false,0,7.1264,4.9067,11822.0597,23376,4.1745,225,4096,8.0001,5.0020,451.5307,373.1403,147.4305,451.5470,9,19624,17432,17432,10,0.4868,8.3450,42.1587,17432,104592,1880,17432,271.2064,false,6440067,369.4394,30011,3752,69728
box_exact,129,23814,2146689,25760268,33632,11.2982,0.5728,65.3722,114.1334,23814,23814,false,false,true,4080,4080,131.8688,108.6784,212.4323,144.9330,10.5323,43.2982,12579,false,false,false,false,0,16.8659,4.8164,8653.8231,31352,4.1826,178,4096,8.0001,5.0020,1054.9624,869.4372,144.3575,1062.5870,9,26800,23814,23814,10,0.4858,8.2309,70.4051,23814,142872,2280,23814,199.8655,false,6440067,270.4320,36393,4552,95256
csg_difference,129,24918,2146689,25760268,35084,11.2638,0.4721,58.6179,124.1738,24918,24918,false,false,true,4077,4077,111.9571,91.8310,175.6934,127.7761,10.5100,43.2638,12579,false,false,false,false,0,14.6373,4.8704,8270.4127,32736,4.1838,165,4096,8.0001,5.0020,895.6665,734.6564,145.2422,878.8190,9,28048,24918,24918,10,0.4909,8.5012,62.7237,24918,149496,2348,24918,191.1623,false,6440067,258.4504,37497,4688,99672
thin_plate,129,8190,2146689,25760268,12972,12.6711,0.3650,67.0548,183.7042,8190,8190,false,false,true,4093,4093,158.7369,150.0834,252.9526,194.5018,11.7841,44.6711,6290,false,false,false,false,0,6.2936,4.5757,25162.6549,12064,4.1849,684,4096,8.0002,5.0020,1269.9247,1200.6951,141.0577,1265.2697,10,10248,8190,8190,11,0.3715,8.1770,72.2537,8190,49128,908,8190,563.2876,false,6440067,786.3330,14480,1816,32760
gyroid,129,86682,2146689,25760268,101552,9.3724,0.6681,35.2823,52.8084,86682,86682,false,false,true,4040,4040,40.1183,30.4877,64.1033,71.5222,8.5816,41.3724,50314,false,false,false,false,0,7.0042,5.1992,2377.4503,92984,4.1794,43,4096,8.0001,5.0020,320.9487,243.9029,149.1751,320.6451,7,75856,86682,86682,8,0.5255,9.3276,37.5854,86682,520164,8568,86682,57.4647,false,6440067,74.2953,136996,17128,346728
fbm_terrain,129,34961,2146689,25760268,46260,10.5855,0.5731,36.0982,62.9913,34961,34961,false,false,true,4084,4084,52.6308,42.3687,84.5899,77.8255,9.7242,42.5855,25157,false,false,false,false,0,7.4634,5.0952,5894.6296,42496,4.1848,126,4096,8.0001,5.0020,421.0499,338.9527,151.2730,423.1190,8,34976,34961,34961,9,0.4933,8.7378,38.3946,34961,207396,3764,34961,138.4187,false,6440067,184.2072,60118,7520,139844
noise_cavity,129,119400,2146689,25760268,130820,8.7652,0.5474,36.1112,65.9643,119400,119400,false,false,true,4024,4024,40.3961,30.9767,64.7747,74.3178,7.8435,40.7652,100627,false,false,false,false,0,6.8505,5.2500,1725.9811,117064,4.1799,35,4096,8.0000,5.0020,323.1703,247.8152,148.8050,324.0035,6,89560,119400,119400,7,0.5242,9.6807,38.9595,119400,717252,13756,119400,42.3396,false,6440067,53.9369,220027,27504,477600
