# experiment P-38 (R-037)
# hypothesis: A-024's odd-row-stride remedy reached DualMesher and never reached Marching Cubes, and the defect is still there: MarchingCubes indexes its private `values` buffer through `shape.linearize`, so at 128 samples per axis the row stride is 512 bytes and the plane stride exactly 65,536, and its `edge_vertices` cache -- 3 u32 per sample, the buffer with the scattered access -- has a plane stride of three times that. Clause one: measured on a sphere, Marching Cubes at 128 costs more than 1.5x the mean of its 127 and 129 neighbours per sample, where the dual path (already fixed) does not. Clause two: giving both private buffers the same `size[0] | 1` stride takes that ratio under 1.1 and is worth at least 1.25x at 128 alone. Clause three: every one of the 216 golden hashes is bit-identical afterwards, structurally -- the change permutes where floats are stored, not which floats are computed, nor the order cells are visited, nor the order vertices are created.
# falsified by: The 128 ratio coming in under 1.5x before the change, which would mean Marching Cubes' access pattern does not alias and A-024's remedy is specific to the dual path -- a narrower result than the repo currently believes, and the more interesting one. A moved golden hash falsifies clause three outright and makes this a behaviour change rather than a layout change.
# commit 9abc62f (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T17:45:19Z
extractor,samples_per_axis,ns_per_sample_before,ns_per_sample_after,neighbour_ratio_before,neighbour_ratio_after,golden_unchanged,golden_rows_checked,golden_rows_matched,ns_neighbour_hi,ns_neighbour_lo,ns_pad_z_control,pad_z_ratio,scaffold_ns_after,scaffold_ns_before,scaffold_ratio_after,scaffold_ratio_before
marching_cubes,128,8.7419,8.8274,0.9986,1.0084,true,24,24,8.8019,8.7059,8.7869,1.0038,7.9860,8.1792,0.9898,1.0138
marching_cubes,256,8.5094,8.5095,1.0056,1.0056,true,24,24,8.4553,8.4682,8.4875,1.0030,8.0362,8.0671,0.9992,1.0030
surface_nets,128,10.9271,11.0308,0.9867,0.9960,true,24,24,11.2005,10.9490,11.0925,1.0016,10.2207,10.4186,1.0067,1.0262
surface_nets,256,11.8755,11.7890,0.9320,0.9253,true,24,24,12.6730,12.8097,11.9294,0.9363,11.1069,11.2028,0.9235,0.9315
