# experiment P-53 (R-048)
# hypothesis: Custodio, Pesco & Silva (10.1186/s13173-019-0086-6) observe that MC33 classifies a corner whose value EQUALS the isovalue as inside, which marks all three incident edges cut and emits triangles with coincident vertices. Their remedy is a third corner label. The label assignment is a PURE PRE-PASS over the eight-corner sign classification -- one strict comparison per corner instead of one non-strict -- which is the half a bench can reproduce exactly; their triangulator is a per-cube convex hull with cross-cell face dedup and is NOT reproduced here and NOT claimed. On fuel (64^3) and bonsai (256^3) at an INTEGER isovalue of 32: (C1) degenerate triangles under marching_cubes are non-zero and at least 80% of them are attributable to cells having a corner exactly equal to the isovalue, measured by TAGGING each degenerate triangle with its cell's equal-corner count, not inferred from a correlation. (C2) with the ternary label and coincident-vertex collapse, degenerate triangles fall by at least 10x while euler_characteristic, non_manifold_edges and boundary_edges are UNCHANGED. (C3) at a HALF-OFFSET isovalue of 32.5, where an integer sample cannot equal the isosurface, the two paths produce BYTE-IDENTICAL meshes. M-316 measured 16,284 of 529,508 bonsai surface-cell corners exactly on the isosurface -- 3% -- and M-232 measured 20 singular faces per 400,000 cells at u8 density against 0 in continuous data, so this is aimed at a defect already measured on this crate's real CT input.
# falsified by: C1 under 80%, which would mean the degenerate count is dominated by ordinary near-tangency slivers -- the thing CLAUDE.md refuses to gate on -- and the paper solves a problem this crate does not have. Or C2 changing the Euler characteristic, which would mean the label is not topology-preserving as implemented here and rule 5 applies. C3 is the control and is not decoration: M-317's own guidance is to contour at a half-integer precisely because it is unattainable by integer data, so if the two paths differ THERE, the label is doing something beyond the exact-equality case and every number in the row is suspect. Source honesty: the paper reports NO count of degenerate triangles removed on any dataset -- only radii-ratio histograms, Betti numbers and blocked-cube percentages -- so C2's 10x is this crate's own bar and is not a reproduction of any published figure.
# commit db0ca10 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T21:33:42Z
volume,isovalue,label_rule,cells,surface_cell_corners,equal_corners,degenerate_triangles,degenerate_from_equal_corners,degenerate_attributable_fraction,degenerate_ratio,triangles,euler_characteristic,non_manifold_edges,boundary_edges,mesh_hash,half_offset_identical,centroid_cells,collapsed_groups,degenerate_coincident_position,degenerate_repeated_index,degenerate_validator_epsilon,degenerate_zero_area_only,extract_ms,m316_equal_base_corners,max_snap_distance,pinch_excess_components,pinch_groups,replay_matches_crate,samples_per_axis,snapped_vertices,surface_cells,triangles_dropped,unexplained_coincident_vertices,vertices,vertices_removed
fuel,32,binary,250047,6456,50,164,164,1.000000,1,6338,19,0,24,7121386984336214267,false,0,0,164,0,164,0,8.551,42,0,0,0,true,64,0,3199,0,0,3200,0
fuel,32,ternary,250047,6456,50,0,0,0.000000,inf,6174,19,0,24,2722040397130729248,false,0,50,0,0,0,0,8.551,42,0e0,0,0,true,64,132,3199,164,0,3118,82
fuel,32.5,binary,250047,6456,0,0,0,0.000000,1,6338,19,0,24,1307533111487838477,true,0,0,0,0,0,0,7.712,0,0,0,0,true,64,0,3199,0,0,3200,0
fuel,32.5,ternary,250047,6456,0,0,0,0.000000,n/a,6338,19,0,24,1307533111487838477,true,0,0,0,0,0,0,7.712,0,0e0,0,0,true,64,0,3199,0,0,3200,0
bonsai,32,binary,16581375,1011547,21562,58097,58097,1.000000,1,1061042,517,0,4366,1394713823325663964,false,0,0,58097,0,58097,0,492.740,16284,0,0,0,true,256,0,529508,0,0,533221,0
bonsai,32,ternary,16581375,1011547,21562,0,0,0.000000,inf,1002945,585,561,3716,6219814143800351695,false,0,17201,0,0,0,0,492.740,16284,0e0,520,516,true,256,50723,529508,58097,0,503421,29800
bonsai,32.5,binary,16581375,1011547,0,0,0,0.000000,1,1061042,517,0,4366,14069567395604099995,true,0,0,0,0,0,0,493.336,0,0,0,0,true,256,0,529508,0,0,533221,0
bonsai,32.5,ternary,16581375,1011547,0,0,0,0.000000,n/a,1061042,517,0,4366,14069567395604099995,true,0,0,0,0,0,0,493.336,0,0e0,0,0,true,256,0,529508,0,0,533221,0
