# experiment P-81 (R-081)
# hypothesis: THE DOCS ALREADY PROPOSE SDF COLLISION AND CITE THE WRONG PAPER FOR THE GAME'S ACTUAL CASE. The cited source is Liu et al. 10.1016/j.cagd.2024.102305, which is SDF-vs-SDF for two comparable solids -- a strictly harder problem needing interval arithmetic, which is a determinism liability. The game's case is a small analytic proxy against one enormous static field, and that is Macklin, Erleben, Mueller, Chentanez, Jeschke and Corse, 10.1145/3384538: per-element local optimisation between an SDF isosurface and mesh elements, comparing projected gradient descent, Frank-Wolfe and golden-section search, with GSS WINNING ON THE 1-D EDGE PROBLEM. Their decisive line, on 129k-triangle rigid shells: 'this mesh-based collision took approximately 15 ms per-step, compared to under 0.5 ms using SDF-based contact', 48-445 microseconds per timestep, CUDA on a GTX 2080 Ti. DISCOUNTED HONESTLY AT REGISTRATION: their 30x is GPU-parallel against a deep BVH over 129k triangles; this crate's baseline is a much smaller per-chunk parry3d TriMesh on CPU, so single-digit x is the prediction. THIS ROW IS GATED ON P-85, which decides whether the 45% is query cost or construction cost. (C1) Capsule-vs-field by GSS costs under 20 microseconds per query on the Zen 3 and beats the shipped TriMesh path by at least 3x on fbm_terrain at 33^3 chunks. (C2) A fixed iteration count with no data-dependent branching gives bit-identical contact points across the M5 and the Zen 3, on 10^6 queries. (C3) Ghost contacts -- collisions against internal edges between adjacent triangles -- are STRUCTURALLY ABSENT from the field query: non-zero on the TriMesh path over M-106's 495-seam-crossing fixture, exactly zero on the field path. SHARE: C1 moves the query half of the collider's 45%, and P-85 will have measured how large that half is.
# falsified by: C1 by under 3x, which would mean the TriMesh path's cost is collider CONSTRUCTION rather than query and this attacks the wrong half -- in which case P-85's answer is what matters. C2 by one differing contact, which puts the method behind the same wall as every other float-sensitive path. C3 by zero on both, which would mean avian3d already handles it and Jolt's v5.0.0 internal-edge-removal work and avian#612 are solving a problem this crate does not have. VACUITY CONTROL: the TriMesh arm must report a non-zero ghost-contact count, or C3 cannot fire.
# commit d0c3218 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:53:22Z
field,chunk_cells,queries,gss_iterations,query_us_field,query_us_trimesh,speedup,contacts_bit_identical,differing_contacts,ghost_contacts_trimesh,ghost_contacts_field,seam_crossings,c1_holds,c2_holds,c3_holds,arm,boundary_edges,branch_misses_per_query_branchy,branch_misses_per_query_field,branchy_digest,c2_block,c2_blocker,c2_contacts,c2_queries,c3_field_verdict,c3_steps,c3_trimesh_holds,c3_windows,cell_size,cells_per_axis,contact_disagreements,contact_share_field,contact_share_trimesh,contacts_field,contacts_trimesh,cycles_per_query_field,cycles_per_query_trimesh,cycles_speedup,differing_blocks,differing_is_bound,edge_witness_contacts,endpoint_minimisers,field_contacts_at_internal_edge,field_ghost_excess_max_deg,field_normal_dev_max_deg,field_normal_excess_max_deg,field_projection_dist_max,ghost_contacts_field_at_mesh_witness,ghost_contacts_field_projected,ghost_contacts_field_projected_rawdev,ghost_contacts_trimesh_15deg,ghost_contacts_trimesh_jolt,ghost_contacts_trimesh_rawdev,ghost_poses_trimesh,ghz,inactive_edge_share,internal_edge_contacts,internal_edges,local_digest,local_repeat_digest,locally_self_consistent,mean_dihedral_deg,mesh_ghost_dev_max_deg,mesh_ghost_excess_max_deg,nonmanifold_edges,outward_share,peer_host,peer_rustc,peer_target,query_us_field_median,query_us_trimesh_median,speedup_max,speedup_min,triangles
fbm_terrain,33,20000,20,4.766243,38.449486,8.067043,true,0,93298,VACUOUS,495,true,true,VACUOUS,c1_33,140682,4.4675,1.8344,0x4067d5c9b10dcc68,15625,none,453404,1000000,VACUOUS-field-query-has-no-internal-edges,24666,true,496,0.500000,32,2536,0.433500,0.391900,24666,196601,20089.6,160999.4,8.014073,0,false,172316,0.698150,1675,95.3055,86.7561,86.7561,0.285152,14090,373,1600,68599,33357,154941,18948,4.1821,0.308440,172316,6660389,0x2be626c099a75222,0x2be626c099a75222,true,16.7770,123.5854,114.4951,11,0.999981,mac_air,1.96.1-31fca3adb,aarch64-apple-darwin,4.771617,38.490844,8.077843,7.990273,3944
fbm_terrain,65,20000,20,4.759963,118.658518,24.928453,NA,NA,NA,NA,NA,true,NA,NA,c1_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,64,1848,0.435650,0.420750,NA,NA,20403.3,498465.6,24.430595,NA,NA,NA,0.694500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.769448,119.070035,25.057609,24.821695,16882
