# experiment P-113 (R-113)
# hypothesis: ROARING SWITCHES CONTAINER TYPE AT 4096 SET VALUES PER 2^16 CHUNK -- 6.25% DENSITY -- AND SAYS OUTRIGHT THAT 'when applications encounter integer sets with lower density (less than 0.1%) a bitmap is unlikely to be the proper data structure'. The correction this registration carries, and it is the row's most load-bearing content: M-306's 16.8% (gyroid, 688 of 4,096) and 95.1% (thin_plate, 3,896 of 4,096) are REJECTED-BRUSH SHARES, NOT ACTIVE-CELL DENSITIES, and they were measured at 17 cubed with SubgridMarchingTetrahedra at 16 samples per edge IN A DEBUG BUILD. The research doc's inference that 'thin_plate's active density is around 4.9%' is derived from them and MUST NOT BE QUOTED AS A MEASUREMENT; this harness measures density itself. And M-377 has moved the optimum chunk to 4 cubed, where a chunk is ONE WORD. (C1) Measured active-cell density straddles Roaring's 6.25% boundary across the eight reference fields -- at least one field below and one above -- so the representation is a decision rather than a constant. (C2) Below the threshold an array-of-indices beats the bitmap on BOTH bytes and the active-cell walk. (C3) At M-377's 4 cubed optimum a chunk is one word and the bitmap's per-chunk overhead exceeds its payload, measured as bytes per active cell. SHARE: no extraction time is claimed. This row produces a DECISION RULE and its clauses are a density span, a two-sided comparison and a bytes-per-active-cell ratio -- none of them a fraction of a total.
# falsified by: C1 by one representation winning on all eight fields, which makes it a constant rather than a decision and is the outcome that closes the row. C2 by the bitmap winning below the threshold on either bytes or walk time. C3 by the bitmap's overhead staying under its payload at 4 cubed. VACUITY CONTROL: active_cells non-zero on every row, and density must span at least one DECADE across the fixture, or the 6.25% boundary is untested by construction.
# commit 07fd713 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:32:37Z
field,chunk_cells,active_cells,density,bitmap_bytes,array_bytes,bytes_per_active_cell_bitmap,bytes_per_active_cell_array,ns_per_walk_bitmap,ns_per_walk_array,winner,c1_holds,c2_holds,c3_holds,array_overhead_bytes,array_payload_bytes,array_walk_saturated,bitmap_overhead_bytes,bitmap_overhead_bytes_per_active_cell,bitmap_payload_bytes,bitmap_payload_bytes_per_active_cell,bitmap_walk_saturated,byte_crossover_density,c1_straddles_here,c1_winner_varies_here,c2_failures,cells_per_chunk,chunks_above_boundary,chunks_array_smaller,chunks_below_boundary,chunks_bitmap_smaller,chunks_occupied,chunks_total,cycles_per_active_cell_array,cycles_per_active_cell_bitmap,density_span_over_fixture,distinct_winners,fields_above_boundary,fields_below_boundary,fold_mismatches,ghz,granularities_straddling,granularities_winner_varies,index_bytes,instructions_per_active_cell_array,instructions_per_active_cell_bitmap,roaring_boundary,rows_below_boundary,walk_checksum,walk_cycle_difference,walk_cycle_ratio,walk_floor_cycles_per_active_cell,walk_floor_ns_per_active_cell,words_per_chunk,words_scanned,world_cells,world_density
box_exact,16,23816,0.10382952,30016,48976,1.260329,2.056433,0.727466,0.477507,split,false,false,true,1344,47632,true,1344,0.056433,28672,1.203897,false,0.062500,false,false,2,4096,32,0,24,32,56,512,1.999711,3.070993,73.193782,1,7,0,0,4.1886,0,1,2,3.425057,9.473763,0.062500,8,18004270362121716901,1.071282,1.535718,1.999304,0.477439,64,3584,128,0.01135635
box_exact,64,23816,0.01135635,262336,95456,11.015116,4.008062,0.970170,0.477605,array,false,false,true,192,95264,true,192,0.008062,262144,11.007054,false,0.031250,false,true,2,262144,0,8,8,0,8,8,2.000314,3.990868,73.193782,2,0,8,0,4.1865,0,1,4,3.384748,19.010882,0.062500,8,10643950821384599525,1.990554,1.995121,1.999283,0.477361,4096,32768,128,0.01135635
csg_difference,4,24920,0.27693812,44992,58664,1.805457,2.354093,0.720145,0.477416,split,false,false,true,33744,24920,true,33744,1.354093,11248,0.451364,false,0.125000,false,false,2,64,1379,51,27,1346,1406,32768,2.000549,3.006428,73.193782,1,8,0,0,4.1878,0,1,1,4.433081,9.185288,0.062500,8,13536674069116474835,1.005879,1.502802,1.998982,0.477554,1,1406,128,0.01188278
csg_difference,8,24920,0.15957992,26840,57160,1.077047,2.293740,0.719681,0.477279,split,false,false,true,7320,49840,true,7320,0.293740,19520,0.783307,false,0.062500,false,false,2,512,287,18,18,287,305,4096,1.999519,3.018002,73.193782,1,8,0,0,4.1892,0,1,2,3.662536,9.114983,0.062500,8,4789452494309958393,1.018484,1.509364,1.999334,0.477198,8,2440,128,0.01188278
csg_difference,16,24920,0.10311838,31624,51256,1.269021,2.056822,0.730879,0.477309,split,false,false,true,1416,49840,true,1416,0.056822,30208,1.212199,false,0.062500,false,false,2,4096,38,6,21,38,59,512,1.999314,3.086529,73.193782,1,7,0,0,4.1888,0,1,2,3.435008,9.474373,0.062500,8,7509241576459611526,1.087216,1.543794,1.999508,0.477557,64,3776,128,0.01188278
csg_difference,64,24920,0.01188278,262336,99872,10.527127,4.007705,0.975243,0.477634,array,false,false,true,192,99680,true,192,0.007705,262144,10.519422,false,0.031250,false,true,2,262144,0,8,8,0,8,8,2.000657,4.124769,73.193782,2,0,8,0,4.1881,0,1,4,3.385168,18.428547,0.062500,8,6405459872957233890,2.124112,2.061707,1.999341,0.479222,4096,32768,128,0.01188278
thin_plate,4,8192,0.25000000,16384,20480,2.000000,2.500000,0.718892,0.477191,split,false,false,true,12288,8192,true,12288,1.500000,4096,0.500000,false,0.125000,false,false,2,64,512,0,0,512,512,32768,1.997289,3.002010,73.193782,1,8,0,0,4.1788,0,1,1,4.375948,9.313448,0.062500,8,620943273466136734,1.004720,1.503042,1.995239,0.476368,1,512,128,0.00390625
thin_plate,8,8192,0.12500000,11264,19456,1.375000,2.375000,0.716898,0.476956,split,false,false,true,3072,16384,true,3072,0.375000,8192,1.000000,false,0.062500,false,false,2,512,128,0,0,128,128,4096,1.996225,3.000605,73.193782,1,8,0,0,4.1827,0,1,2,3.688448,9.532198,0.062500,8,14976694208122440139,1.004380,1.503139,1.995301,0.476926,8,1024,128,0.00390625
thin_plate,16,8192,0.06250000,17152,17152,2.093750,2.093750,0.721176,0.476553,split,false,false,true,768,16384,true,768,0.093750,16384,2.000000,false,0.062500,false,false,2,4096,0,0,32,0,32,512,1.995388,3.021857,73.193782,1,7,0,0,4.1889,0,1,2,3.454073,10.040010,0.062500,8,8056834388047127479,1.026469,1.514421,1.995125,0.476238,64,2048,128,0.00390625
thin_plate,64,8192,0.00390625,262336,32960,32.023438,4.023438,1.728714,0.477336,array,false,false,true,192,32768,true,192,0.023438,262144,32.000000,false,0.031250,false,true,2,262144,0,8,8,0,8,8,1.998289,7.549405,73.193782,2,0,8,0,4.1890,0,1,4,3.395480,36.135714,0.062500,8,9296014605708963904,5.551116,3.777934,1.996076,0.476886,4096,32768,128,0.00390625
gyroid,4,86580,0.25395391,170464,214428,1.968861,2.476646,0.910329,0.479801,split,false,false,true,127848,86580,true,127848,1.476646,42616,0.492215,false,0.125000,false,false,2,64,4132,1585,1195,3607,5327,32768,2.031246,3.521903,73.193782,1,8,0,0,4.1854,0,1,1,4.873963,9.292351,0.062500,8,14426060183679279619,1.490657,1.733863,2.000471,0.477883,1,5327,128,0.04128456
gyroid,8,86580,0.13336085,111584,203592,1.288796,2.351490,0.927845,0.478139,split,false,false,true,30432,173160,true,30432,0.351490,81152,0.937307,false,0.062500,false,false,2,512,860,408,408,860,1268,4096,2.003537,3.962739,73.193782,1,8,0,0,4.1891,0,1,2,3.856973,9.304004,0.062500,8,5903287317073809430,1.959202,1.977872,2.000468,0.477870,8,10144,128,0.04128456
gyroid,16,86580,0.07469150,151688,179952,1.751998,2.078448,1.155535,0.477920,split,false,false,true,6792,173160,true,6792,0.078448,144896,1.673550,false,0.062500,false,false,2,4096,147,136,136,147,283,512,2.001483,4.956683,73.193782,1,7,0,0,4.1882,0,1,2,3.485548,9.899962,0.062500,8,4908911375414865887,2.955199,2.476504,2.000441,0.477717,64,18112,128,0.04128456
gyroid,64,86580,0.04128456,262336,346512,3.029984,4.002218,1.270099,0.478146,split,false,false,true,192,346320,true,192,0.002218,262144,3.027766,false,0.031250,false,true,2,262144,0,0,8,8,8,8,2.002358,5.296573,73.193782,2,0,8,0,4.1532,0,1,4,3.378688,11.434936,0.062500,8,16663405061210116226,3.294215,2.645167,2.000924,0.478134,4096,32768,128,0.04128456
fbm_terrain,4,34540,0.26455270,65280,83500,1.889983,2.417487,0.762638,0.478196,split,false,false,true,48960,34540,true,48960,1.417487,16320,0.472496,false,0.125000,false,false,2,64,1650,562,390,1437,2040,32768,2.018683,3.163463,73.193782,1,8,0,0,4.1873,0,1,1,4.848567,9.240692,0.062500,8,6757333319208799945,1.144781,1.567093,1.999909,0.477638,1,2040,128,0.01646996
fbm_terrain,8,34540,0.13411717,44264,81152,1.281529,2.349508,0.724111,0.477816,split,false,false,true,12072,69080,true,12072,0.349508,32192,0.932021,false,0.062500,false,false,2,512,336,162,167,336,503,4096,2.002085,3.091295,73.193782,1,8,0,0,4.1932,0,1,2,3.853431,9.333164,0.062500,8,17797651615988635771,1.089210,1.544038,2.000199,0.477894,8,4024,128,0.01646996
fbm_terrain,16,34540,0.06855786,65928,72032,1.908743,2.085466,0.735334,0.477650,split,false,false,true,2952,69080,true,2952,0.085466,62976,1.823277,false,0.062500,false,false,2,4096,68,55,55,68,123,512,1.999939,3.184732,73.193782,1,7,0,0,4.1873,0,1,2,3.496077,9.955167,0.062500,8,16094340512510999653,1.184793,1.592415,1.999793,0.477514,64,7872,128,0.01646996
fbm_terrain,64,34540,0.01646996,262336,138352,7.595136,4.005559,1.179667,0.477726,array,false,false,true,192,138160,true,192,0.005559,262144,7.589577,false,0.031250,false,true,2,262144,0,8,8,0,8,8,2.000595,5.003181,73.193782,2,0,8,0,4.1875,0,1,4,3.383165,15.052620,0.062500,8,12664522527770333313,3.002587,2.500847,1.999861,0.477552,4096,32768,128,0.01646996
noise_cavity,4,118885,0.28591321,207904,274813,1.748782,2.311587,0.935245,0.483389,split,false,false,true,155928,118885,true,155928,1.311587,51976,0.437196,false,0.125000,false,false,2,64,5538,1487,959,4842,6497,32768,2.073175,3.530854,73.193782,1,8,0,0,4.1874,0,1,1,4.733306,9.147908,0.062500,8,17902167135206281891,1.457678,1.703114,2.000607,0.477868,1,6497,128,0.05668879
noise_cavity,8,118885,0.18710497,109208,267554,0.918602,2.250528,0.946736,0.478531,split,false,false,true,29784,237770,true,29784,0.250528,79424,0.668074,false,0.062500,false,false,2,512,993,242,248,993,1241,4096,2.005659,3.971759,73.193782,1,8,0,0,4.1865,0,1,2,3.727166,8.961855,0.062500,8,3548163156782210666,1.966100,1.980276,2.000845,0.478069,8,9928,128,0.05668879
noise_cavity,16,118885,0.15774271,98624,242186,0.829575,2.037145,0.982128,0.478286,split,false,false,true,4416,237770,true,4416,0.037145,94208,0.792430,false,0.062500,false,false,2,4096,160,24,24,160,184,512,2.001856,4.143024,73.193782,1,7,0,0,4.1856,0,1,2,3.427801,8.997435,0.062500,8,18110206293786536839,2.141168,2.069591,2.000790,0.478589,64,11776,128,0.05668879
noise_cavity,64,118885,0.05668879,262336,475732,2.206637,4.001615,1.244941,0.480147,split,false,false,true,192,475540,true,192,0.001615,262144,2.205022,false,0.031250,false,true,2,262144,0,0,8,8,8,8,2.006376,4.876939,73.193782,2,0,8,0,4.1832,0,1,4,3.377593,10.427422,0.062500,8,8746089065158071496,2.870563,2.430721,2.007284,0.479882,4096,32768,128,0.05668879
