# experiment P-170 (R-170)
# hypothesis: This repository cites Plantinga-Vegter in 18 files and Freudenthal/Kuhn in 6 including marching_tetrahedra/table.rs, and cites the parent theory in none. (C1) Allgower & Schmidt, An algorithm for piecewise linear approximation of an implicitly defined manifold, SIAM J. Numer. Anal. 22(2):322-346, 1985, DOI 10.1137/0722020, predates Lorensen & Cline (1987) and describes PL approximation of H^-^1(0) by simplicial subdivision -- recorded with the DOI verified, because 10.1137/0722019 is a different paper (Nanda on the QR algorithm, same volume and issue) and is the trap. (C2) THE LIMIT IS RECORDED WITH THE PRIORITY: AS85 proves ||H(x)||_inf < eps along the constructed manifold under a full-rank hypothesis at the seed -- a residual bound with a regularity condition, not a homeomorphism; the isotopy result for isomanifolds is Boissonnat & Wintraecken, SoCG 2020, whose own text says the earlier result holds 'without a homeomorphism with the zero set of f'. (C3) Dobkin, Levy, Thurston & Wilks (ACM TOG 9(4), 1990, 10.1145/88560.88575) brought PL continuation into graphics -- and traces curves, not surfaces, claiming robustness and loop detection rather than topological correctness. SHARE: none -- this is a citation repair and a scope statement.
# falsified by: C1 by the citation not resolving as stated. C2 by AS85 in fact proving a homeomorphism, which would make the precedence far stronger and should be checked before being claimed. C3 by DLTW covering surfaces, same. VACUITY CONTROL: each DOI must be resolved and its title recorded in the finding, not merely quoted from this document.
# commit d20dde1 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:35Z
source,year,doi,doi_verified,claim_type,hypothesis,guarantee,is_homeomorphism,descendant_citations_in_repo,root_citations_in_repo,c1_holds,c2_holds,c3_holds,authors,cited_by_dltw,descendant_citations_excl_phase27_docs,descendant_citations_excl_registration,doc_claim_descendant,doc_claim_descendant_reproduced,doc_claim_kuhn,doc_claim_kuhn_reproduced,doc_claim_root,doc_claim_root_reproduced,evidence,files_scanned,full_text_read,kuhn_citations_excl_phase27_docs,kuhn_citations_excl_registration,kuhn_citations_in_repo,naive_schmidt_files,pages,phase27_harnesses_in_corpus,predates_marching_cubes,resolved_via,root_citations_excl_phase27_docs,root_citations_excl_registration,this_source_citations_in_repo,title,trap_gap,venue,volume_issue
allgower_schmidt_1984,1984,10.1007/978-3-642-45567-4_26,true,residual_bound,a nonlinear system H(x) = 0 with a known starting point on the solution set,a piecewise linear approximation of the solution manifold by simplicial subdivision,false,21,4,true,true,true,Eugene L. Allgower|Phillip H. Schmidt,false,20,17,18,false,6,false,0,true,title_and_venue_only_no_abstract_deposited,531,false,10,8,12,6,339-347,25,true,home_still_paper_get|crossref_ref_R3_of_10.1137/0724033,2,0,0,Piecewise Linear Approximation of Solution Manifolds for Nonlinear Systems of Equations,1,Lecture Notes in Econom. and Math. Systems,226
allgower_schmidt_1985,1985,10.1137/0722020,true,residual_bound,H: R^(N+K) -> R^N smooth; the seed x0 lies in H^-1(0) and DH(x0) has full rank,for any eps > 0 a PL manifold is constructed along which ||H(x)||_inf < eps,false,21,4,true,true,true,Eugene L. Allgower|Phillip H. Schmidt,true,20,17,18,false,6,false,0,true,abstract_verbatim_crossref,531,false,10,8,12,6,322-346,25,true,crossref_api|home_still_paper_get,2,0,4,An Algorithm for Piecewise-Linear Approximation of an Implicitly Defined Manifold,1,SIAM J. Numer. Anal.,22(2)
nanda_1985_trap,1985,10.1137/0722019,true,unrelated_work_trap,isospectral flows on n x n matrices arising from Lax pairs,asymptotics of those flows give a new method for the symmetric eigenvalue problem,false,21,4,true,true,true,T. Nanda,false,20,17,18,false,6,false,0,true,abstract_verbatim_crossref,531,false,10,8,12,6,310-321,25,true,crossref_api|home_still_paper_get,2,0,3,Differential Equations and the $QR$ Algorithm,1,SIAM J. Numer. Anal.,22(2)
allgower_gnutzmann_1987,1987,10.1137/0724033,true,residual_bound_2d_surfaces,H: R^(N+2) -> R^N smooth and x0 in H^-1(0) a regular point of H,error bounds on ||H(x)||_inf over M_T in terms of the mesh size of T,false,21,4,true,true,true,Eugene L. Allgower|Stefan Gnutzmann,false,20,17,18,false,6,false,0,true,abstract_verbatim_crossref,531,false,10,8,12,6,452-469,25,false,crossref_api|home_still_paper_search,2,0,0,An Algorithm for Piecewise Linear Approximation of Implicitly Defined Two-Dimensional Surfaces,1,SIAM J. Numer. Anal.,24(2)
lorensen_cline_1987,1987,10.1145/37402.37422,true,no_correctness_claim,none stated,triangle models of constant-density surfaces from a case table plus linear interpolation; no topological guarantee stated,false,21,4,true,true,true,William E. Lorensen|Harvey E. Cline,false,20,17,18,false,6,false,0,true,abstract_verbatim_crossref,531,false,10,8,12,6,163-169,25,false,crossref_api|home_still_paper_get,2,0,10,Marching cubes: A high resolution 3D surface construction algorithm,1,SIGGRAPH Comput. Graph.,21(4)
dobkin_levy_thurston_wilks_1990,1990,10.1145/88560.88575,true,robustness_and_loop_detection,a curve given as the contour of a function in Euclidean space of any dimension; a triangulation generated by reflections,traces a curve without failing at high curvature; accumulates essentially no round-off error; has a well-defined integer test for detecting a loop,false,21,4,true,true,true,David P. Dobkin|Allan R. Wilks|Silvio V. F. Levy|William P. Thurston,false,20,17,18,false,6,false,0,true,abstract_verbatim_crossref,531,false,10,8,12,6,389-423,25,false,crossref_api|home_still_paper_get,2,0,3,Contour tracing by piecewise linear approximations,1,ACM Trans. Graph.,9(4)
allgower_georg_1990_ncm,1990,10.1007/978-3-642-61257-2,true,manifoldness_under_strong_conditions,strong conditions incl. the zero set avoiding simplices of dimension below the codimension,Thm 15.4.1: the zero set of f_PL is a manifold -- explicitly without a homeomorphism with the zero set of f,false,21,4,true,true,true,Eugene L. Allgower|Kurt Georg,false,20,17,18,false,6,false,0,true,boissonnat_wintraecken_socg_2020_p20_3_verbatim,531,false,10,8,12,6,n/a-book,25,false,crossref_via_title_search|guessed_doi_returned_a_merged_record,2,0,0,Numerical Continuation Methods,1,Springer Series in Computational Mathematics,13
boissonnat_wintraecken_2020,2020,10.4230/LIPIcs.SoCG.2020.20,true,isotopy,0 a regular value of f; longest edge D small enough at bounded simplex thickness T,Thm 20: the zero set of f_PL is a manifold isotopic to the zero set of f; plus a Frechet bound,true,21,4,true,true,true,Jean-Daniel Boissonnat|Mathijs Wintraecken,false,20,17,18,false,6,false,0,true,full_text_read_p20_1_to_20_18,531,true,10,8,12,6,20:1-20:18,25,false,home_still_paper_get|dagstuhl_open_access_pdf,2,0,10,The Topological Correctness of PL-Approximations of Isomanifolds,1,LIPIcs (SoCG 2020),164
