# experiment P-151 (R-151)
# hypothesis: v1's Axis 7 named goal-oriented adaptivity and nothing has used it. The dual-weighted-residual method refines to reduce error in a chosen output functional rather than globally, and for a game the functional is screen-space error under the current camera. Yano & Darmofal (in corpus, 10.2514/6.2012-79) give the optimisation framing: 'both the sizing decision and the anisotropy decision are driven directly by the behavior of the a posteriori error estimate.' (C1) At matched triangle count, a goal-oriented criterion beats camera-distance LOD on screen-space error by at least 20%. (C2) The saving comes from not refining what is off-screen or back-facing, reported as an off-screen triangle count, rather than from a general improvement. (C3) The adjoint cost is under 10% of extraction, or the method is a non-starter for a frame budget and should be said so. SHARE: C1 moves the LOD selection stage; M-121 measured a level change moving the surface by up to 3.14 cells, which is the pop this criterion is meant to spend better.
# falsified by: C1 by under 20%. C2 by a saving that persists with everything on-screen, which would mean the mechanism is not visibility. C3 by above 10%. VACUITY CONTROL: the camera must be positioned so that a non-trivial fraction of the scene is off-screen, reported as a fraction, or C2 cannot fire.
# commit 622735b on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:39Z
criterion,functional,triangles,screen_space_error,screen_error_at_matched_triangles,off_screen_triangles,adjoint_ms,adjoint_share,pop_magnitude_cells,c1_holds,c2_holds,c3_holds,adjoint_ms_max,adjoint_ms_min,adjoint_scatter,adjoint_share_hi,adjoint_share_lo,back_facing_fraction,back_facing_triangles,blocks_occupied,blocks_promoted,budget_bound,budget_fraction,budget_rung,c1_bar,c1_fields_held,c2_fields_held,c3_row_decisive,c3_row_holds,camera,camera_eye,criterion_ms,criterion_share,curvature_ms,degenerate_triangles,estimated_triangles,extract_ms,extract_ms_max,extract_ms_min,field,fov_y_deg,frustum_off_fraction,frustum_off_triangles,gain_near,gain_wide,level_histogram,levels_differ,matched_clamped,matched_triangles,off_screen_fraction,p146_metric_share_max,p146_metric_share_median,p146_metric_share_min,pixels,pop_magnitude_pixels,probes,proxy_ms,repeats,screen_error_max_px,screen_error_world_rms,visible_probes
camera_distance,rms_visible_pixel_displacement,482,3.724980e1,3.220247e0,473,0.005580,0.038915,0.719141,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.817427,394,32,31,true,0.0600,0,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,1196.0,0.143391,0.147341,0.142971,sphere,38.0,0.715768,345,-9.655511,0.200163,1|31|0|0,true,false,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,6.401794e1,1.164710e-2,26
camera_distance,rms_visible_pixel_displacement,1202,8.198219e0,3.220247e0,1160,0.005580,0.038915,0.719141,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.695507,836,32,32,true,0.1500,1,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,3056.0,0.143391,0.147341,0.142971,sphere,38.0,0.816140,981,-9.655511,0.200163,0|13|19|0,true,false,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,1.370406e1,2.587015e-3,26
camera_distance,rms_visible_pixel_displacement,3212,3.220247e0,3.220247e0,3059,0.005580,0.038915,0.752866,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.692092,2223,32,32,true,0.3500,2,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,7040.0,0.143391,0.147341,0.142971,sphere,38.0,0.722291,2320,-9.655511,0.200163,0|0|28|4,true,false,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,1.113300e1,1.056946e-3,26
camera_distance,rms_visible_pixel_displacement,6812,2.381044e0,3.220247e0,6636,0.005580,0.038915,0.752866,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.775250,5281,32,32,true,0.7500,3,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,15296.0,0.143391,0.147341,0.142971,sphere,38.0,0.808426,5507,-9.655511,0.200163,0|0|9|23,true,false,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,3.786211e0,7.495921e-4,26
goal_oriented,rms_visible_pixel_displacement,380,3.513188e1,3.431338e1,344,0.005580,0.038915,0.719141,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.442105,168,32,3,true,0.0600,0,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,1052.0,0.143391,0.147341,0.142971,sphere,38.0,0.805263,306,-9.655511,0.200163,29|0|2|1,true,true,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,1.276057e2,1.191268e-2,26
goal_oriented,rms_visible_pixel_displacement,1280,3.431338e1,3.431338e1,1133,0.005580,0.038915,0.752866,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.357031,457,32,3,false,0.1500,1,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,2588.0,0.143391,0.147341,0.142971,sphere,38.0,0.855469,1095,-9.655511,0.200163,29|0|0|3,true,true,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,1.276057e2,1.167631e-2,26
goal_oriented,rms_visible_pixel_displacement,1280,3.431338e1,3.431338e1,1133,0.005580,0.038915,0.752866,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.357031,457,32,3,false,0.3500,2,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,2588.0,0.143391,0.147341,0.142971,sphere,38.0,0.855469,1095,-9.655511,0.200163,29|0|0|3,true,true,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,1.276057e2,1.167631e-2,26
goal_oriented,rms_visible_pixel_displacement,1280,3.431338e1,3.431338e1,1133,0.005580,0.038915,0.752866,false,false,false,0.006300,0.005570,1.131059,0.044065,0.037803,0.357031,457,32,3,false,0.7500,3,0.20,1,1,true,true,near,0.3000x0.6200x1.3000,0.194112,1.353725,0.100621,0,2588.0,0.143391,0.147341,0.142971,sphere,38.0,0.855469,1095,-9.655511,0.200163,29|0|0|3,true,true,3212.0,0.663662,8.747515,2.008345,0.332862,1920x1080,632.149486,1442,0.087911,7,1.276057e2,1.167631e-2,26
camera_distance,rms_visible_pixel_displacement,482,9.982247e-1,1.904033e-1,228,0.007100,0.014061,0.719141,false,false,false,0.007770,0.006550,1.186260,0.015518,0.012380,0.473029,228,32,31,true,0.0600,0,0.20,1,1,true,true,wide,4.0783x8.4286x17.6728,0.195632,0.387433,0.100621,0,1196.0,0.504944,0.529074,0.500714,sphere,38.0,0.000000,0,-9.655511,0.200163,1|31|0|0,true,false,3212.0,0.000000,8.747515,2.008345,0.332862,1920x1080,29.328897,1442,0.087911,7,1.818116e0,1.239200e-2,686
camera_distance,rms_visible_pixel_displacement,1202,5.392790e-1,1.904033e-1,334,0.007100,0.014061,0.719141,false,false,false,0.007770,0.006550,1.186260,0.015518,0.012380,0.277870,334,32,32,true,0.1500,1,0.20,1,1,true,true,wide,4.0783x8.4286x17.6728,0.195632,0.387433,0.100621,0,3056.0,0.504944,0.529074,0.500714,sphere,38.0,0.000000,0,-9.655511,0.200163,0|13|19|0,true,false,3212.0,0.000000,8.747515,2.008345,0.332862,1920x1080,29.328897,1442,0.087911,7,1.753040e0,6.762041e-3,686
