# experiment P-180 (R-185)
# hypothesis: M-490 measured fbm_terrain inside the Gaussian kinematic formula's matched two-sigma band at 0.25 sigma and noise_cavity outside it at 6.77 sigma, with the SIGN of chi wrong -- 15.000000000 measured against -6.602285203 predicted. Both are hash noise, so Gaussianity alone does not separate them. The formula's hypothesis has a second half: it is stated for a field that is STATIONARY over the set it is integrated over, and noise_cavity is Intersection(NoiseVolume, Sphere(radius 1.5)) on cube_domain(2.0), so outside radius 1.5 the sampled field is the SPHERE'S distance function and not noise at all. The inscribed cube of that sphere has half-side 1.5/sqrt(3) = 0.866025404, and inside it the cap term is at most -0.633974596 and is dominated by the noise. (C1) Censused on that inscribed cap-free sub-box, with the sub-box's own lambda and Lipschitz-Killing curvatures and a matched Gaussian ensemble on the same sub-box, noise_cavity lands INSIDE its two-sigma band. (C2) The same samples are Gaussian to third and fourth order: absolute skewness at most 0.1 and absolute excess kurtosis at most 0.2. C1 and C2 are separate instruments on one question and are allowed to disagree, which is the informative case. (C3) The restriction does not manufacture agreement: fbm_terrain, already inside on the full box, is still inside on its own inscribed sub-box, and the full-box noise_cavity row reproduces M-490's miss. SHARE: none -- this decides what the validity gate may assert and on which region, not what the extractor does.
# falsified by: C1 by the sub-box missing the band too, which moves the blame from stationarity to Gaussianity: the crate's hash noise would then be non-Gaussian in a way the formula cannot grade anywhere, and C2's two moments are the measurement that says how. C2 by skewness or kurtosis outside the bars while C1 HOLDS, which would be the more interesting failure -- the formula surviving a field that is measurably not Gaussian would say the Euler characteristic is insensitive to the moments the bars are written on, and the bars would be the wrong instrument rather than the field being the wrong shape. C3 by fbm_terrain falling OUT on its sub-box, which would mean the restriction changes the answer by itself and C1's hold, if any, proves nothing. VACUITY CONTROL: the sub-box band must reject a prediction built from 4*lambda AT u = 0, and only at u = 0. M-490 is why the rung is named: at u = +/-1 the formula's (u^2 - 1) factor is zero for every lambda, so a control asserted over a ladder including those rungs is unsatisfiable by construction, which is exactly how M-490 came out vacuous. If the 4*lambda prediction at u = 0 also lands inside the band, the comparison cannot discriminate and this row is vacuous whatever the clauses say.
# commit e7aad9e on amd-ryzen-9-5900x-12-core at 2026-09-12T14:56:39Z
field,region,resolution,isovalue,realisations,lambda_spectral,chi_digital,chi_gkf_predicted,band_sigma,gkf_within_band,sigma_distance,skewness,excess_kurtosis,cap_dominated_share,band_rejects_wrong_lambda,c1_holds,c2_holds,c3_holds,arm,matched_chi_mean,matched_chi_predicted,matched_ksq,matched_lambda,wrong_lambda_predicted
noise_cavity,full,65,0.000000000,32,3.514897286,15,-6.602285203,3.286703418,false,6.572629915,na,na,0.861374602,na,false,false,true,full_box,-7.312500000,-6.606939848,6,3.516046568,na
fbm_terrain,full,65,0.000000000,32,0.025259313,1,1.297632628,0.949851432,true,0.313346507,na,na,na,na,false,false,true,full_box,1.531250000,1.022851231,1,0.051404190,na
noise_cavity,inscribed,29,0.000000000,32,66.970843691,-99,-64.868032207,6.860064422,false,4.975458785,na,na,0.133912830,true,false,false,true,sub_box,-64.812500000,-62.247676475,25,65.285320909,-541.573717748
noise_cavity,inscribed,65,0.000000000,32,81.824833503,-67,-89.439644587,7.628205302,false,2.941667627,0.149388749,-0.315140997,0.121813382,true,false,false,true,sub_box,-91.562500000,-90.969323723,30,82.701400523,-776.378808583
fbm_terrain,inscribed,29,0.000000000,32,0.125960462,1,1.297453083,1.189673308,true,0.250029215,na,na,na,true,false,false,true,sub_box,1.062500000,1.022851231,1,0.274155678,-5.709494994
fbm_terrain,inscribed,65,0.000000000,32,0.146086512,1,1.294003447,1.148280622,true,0.256037977,na,na,na,true,false,false,true,sub_box,1.187500000,1.022851231,1,0.274155678,-5.709494994
sphere,own,65,0.000000000,1,NaN,2,NaN,0.000000000,false,na,na,na,na,na,false,false,true,calibration,na,na,na,na,na
torus,own,65,0.000000000,1,NaN,0,NaN,0.000000000,false,na,na,na,na,na,false,false,true,calibration,na,na,na,na,na
