# experiment P-75 (R-075)
# hypothesis: M-138 MEASURED THE PRICE OF EXACT PAINT: every sample walks the edit log, at 2.33x the cost per chunk. That is per SAMPLE. A shading pass pays it per FRAGMENT, every frame, at screen resolution. The alternative is bounded per-vertex material weights -- an [f32; 4], L1-normalised, the de facto standard in voxel renderers -- computed once during extraction from the same walk. Nobody has published the comparison; the only public arithmetic for a real pipeline is a blog post costing 4 materials x 3 triplanar planes x 5 maps = 60 texture fetches per fragment, with NO TIMING BEHIND IT. SCOPE, stated at registration: this is weights carried as a VERTEX ATTRIBUTE, which is additive and breaks nothing. Whether Sdf grows a phase concept (the PhaseTree proposal) is a public-API decision and is NOT part of this. (C1) Per-vertex weights, computed inside the existing extraction walk, cost under 5% of extraction. (C2) At 1920x1080 on game_dig's scene, per-vertex weights beat a per-fragment log walk by at least 4x in frame time, and the gap WIDENS with edit-log length across M-50's four buckets (1-15, 16-30, 31-45, 46-60 brushes). (C3) Interpolating weights across a triangle is not exact: the material misclassification rate against the field at 10^6 surface points is under 2%, and is concentrated within one cell of a material boundary. SHARE: C1 moves the vertex-attribute stage, currently zero; C2 moves the whole material shading stage.
# falsified by: C1 by above 5%. C2 by under 4x, or by a gap that does not widen with log length -- the second means the fragment path is not paying M-138's cost and the premise is wrong. C3 by above 2%, or by misclassification that is not boundary-local, the latter meaning the weights are not a resampling of the field but a different quantity. VACUITY CONTROL: the scene must contain at least two materials with a boundary crossing the visible surface, reported as a boundary- vertex count.
# commit cfb58df on amd-ryzen-9-5900x-12-core at 2026-08-28T00:33:39Z
log_bucket,brushes,materials,boundary_vertices,weights_ms,extract_ms,weights_share,frame_ms_vertex,frame_ms_fragment,speedup,misclassified_points,misclassified_fraction,misclassified_within_one_cell,c1_holds,c2_holds,c3_holds,boundary_vertices_all,brushes_biting,clipped_triangles,cpu_mhz,extract_ns_per_sample,field_walk_mismatches,fragment_ns_per_log_entry,fragment_ns_per_pixel,interp_ms,l1_max_error,log_len,misclassified_blend,misclassified_blend_local,misclassified_paint,misclassified_paint_local,misclassified_within_one_cell_axis,pixel_disagreement,pixel_disagreement_fraction,raster_ms,reps,samples,screen_pixels,shade_reps,speedup_max,speedup_min,speedup_widens,sprays,surface_points,triangles,vertex_ns_per_pixel,vertices,visible_pixels,visible_triangles,weights_ns_per_vertex,within_one_cell_fraction
1,15,4,294,2.246181,71.677384,0.031337,6.395743,82.725191,12.934415,1830,0.001830,1825,true,true,true,444,11,5179,4200.114,56.9896,0,3.7258,74.5168,14.277347,5.960e-8,20,150,147,1680,1678,1603,3444,0.003102,19.156937,3,1257728,2073600,9,14.794915,12.254567,true,5,1000000,44000,5.7611,24470,1110155,17336,91.7933,0.997268
2,30,4,526,3.103549,98.242060,0.031591,6.336782,142.426132,22.476098,3407,0.003407,3393,true,true,true,955,26,5179,4200.114,78.1107,0,3.2073,128.2939,12.574244,8.941e-8,40,500,500,2907,2893,2631,3670,0.003306,19.771613,3,1257728,2073600,9,32.022048,15.552226,true,10,1000000,45878,5.7080,25471,1110155,17357,121.8464,0.995891
3,45,4,526,4.430142,141.101200,0.031397,6.277442,199.184319,31.730173,3463,0.003463,3441,true,true,true,962,26,5179,4200.114,112.1874,0,2.9903,179.4203,13.278359,8.941e-8,60,522,518,2941,2923,2670,3670,0.003306,19.864423,3,1257728,2073600,9,42.700300,17.983096,true,15,1000000,45890,5.6546,25482,1110155,17357,173.8538,0.993647
4,60,4,526,6.601437,212.028792,0.031135,7.107918,290.662002,40.892706,3463,0.003463,3441,true,true,true,962,26,5179,4200.114,168.5808,0,3.2728,261.8211,20.216587,8.941e-8,80,522,518,2941,2923,2670,3670,0.003306,27.662618,3,1257728,2073600,9,50.520805,23.219043,true,20,1000000,45890,6.4026,25482,1110155,17357,259.0628,0.993647
