# experiment P-155 (R-155)
# hypothesis: M-12 measured Marching Cubes' error falling like h^2 with a fitted constant, and M-113 found the fitted constant does not survive across configurations. Strang-Fix theory says the order is a property of the filter and gives a closed form for the asymptotic constant; the trilinear's order-2 is then a derivation rather than a measurement. (C1) The Strang-Fix approximation order of the tensor-product hat is 2, derived and asserted as a test, matching M-12's measured exponent. (C2) The predicted asymptotic constant reproduces M-12's fitted constant within its confidence interval on at least four of eight fields. SHARE: none -- this converts a fit into a prediction.
# falsified by: C1 by a derived order other than 2, which would mean the filter is not what we think it is. C2 by the prediction missing on five or more fields, which would mean the asymptotic regime is not reached at game resolutions -- a genuinely useful negative, because it would say M-12's law is empirical rather than asymptotic and should not be extrapolated. VACUITY CONTROL: the fitted constants must differ across fields by at least 2x, or the prediction is matching a universal constant by accident.
# commit 076943b on amd-ryzen-9-5900x-12-core at 2026-08-30T09:27:21Z
field,resolution_series,fitted_constant,fitted_constant_ci,predicted_constant,ratio,within_ci,strang_fix_order,measured_order,c1_holds,c2_holds,analytic_constant,bound,c1_monomials_tested,c1_multiaffine_reproduced,c1_residual_deg0,c1_residual_deg1,c1_residual_deg2,c1_residual_deg3,c2_hit,c2_hits,c2_measurable_fields,ci_relative_halfwidth,crossing_edges_finest,edges_dropped_finest,fitted_constant_mean,fitted_constant_mean_ci,fitted_exponent,fitted_spread,fourier_dual_lattice_max_value,fourier_quadrature_max_deviation,fourier_zero_order_min,grad_norm_range,hausdorff_series,hausdorff_valid,m12_mean_32,m12_mean_64,m12_ratio,predicted_series,predicted_stability_ratio,ratio_mean,skip_reason,within_ci_mean,zero_valued_samples
sphere,19|27|35|47|63,3.393342e-1,3.354011e-1|3.433134e-1,1.222029e-1,2.776811,false,2,2,true,false,0.125000,exact,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,0.011659,4494,0,1.597139e-1,1.566957e-1|1.627902e-1,1.985214,14.458612,1.519574e-33,1.930950e-11,2,1.000000|1.000000,1.666301e-2|7.936634e-3|4.696027e-3|2.597497e-3|1.420084e-3,true,2.716769e-3,6.501537e-4,4.178656,1.231012e-1|1.182149e-1|1.244618e-1|1.228203e-1|1.222029e-1,1.052843,1.306957,none,false,0
torus,19|27|35|47|63,8.930169e-1,7.387042e-1|1.079565e0,4.127297e-1,2.163685,false,2,2,true,false,0.416667,exact,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,0.190848,4048,0,2.794453e-1,2.595819e-1|3.008286e-1,1.712362,14.458612,1.519574e-33,1.930950e-11,2,1.000000|1.000000,3.601772e-2|2.120197e-2|1.126727e-2|7.621930e-3|4.409344e-3,true,2.716769e-3,6.501537e-4,4.178656,3.722476e-1|4.085816e-1|4.094527e-1|4.113290e-1|4.127297e-1,1.108750,0.677066,none,false,0
box_exact,19|27|35|47|63,4.906302e0,2.697459e0|8.923879e0,0.000000e0,inf,false,2,2,true,false,0.000000,exact,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,0.634533,5766,0,1.088360e-1,1.075482e-1|1.101392e-1,1.000000,14.458612,1.519574e-33,1.930950e-11,2,1.000000|1.000000,1.283001e-1|8.882312e-2|6.792356e-2|5.020437e-2|3.724840e-2,true,2.716769e-3,6.501537e-4,4.178656,4.496403e-15|4.690692e-15|8.021361e-15|1.468270e-14|0.000000e0,inf,inf,none,false,0
csg_difference,19|27|35|47|63,nan,nan|nan,3.101859e0,nan,false,2,2,true,false,nan,underestimate,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,nan,6060,0,nan,nan|nan,nan,14.458612,1.519574e-33,1.930950e-11,2,1.000000|1.000000,nan,false,2.716769e-3,6.501537e-4,4.178656,9.668551e-1|1.537119e0|1.665767e0|2.463582e0|3.101859e0,3.208194,nan,bound_not_exact,false,0
thin_plate,19|27|35|47|63,4.890225e0,2.989660e0|7.999005e0,2.373437e0,2.060398,false,2,2,true,false,0.000000,exact,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,0.512179,2046,0,9.310486e-2,4.762453e-2|1.820179e-1,1.177867,14.458612,1.519574e-33,1.930950e-11,2,1.000000|1.000000,1.412448e-1|9.357906e-2|6.860951e-2|4.775732e-2|3.287913e-2,true,2.716769e-3,6.501537e-4,4.178656,9.984375e-1|1.360937e0|1.673438e0|2.048438e0|2.373437e0,2.377152,0.039228,none,false,0
gyroid,19|27|35|47|63,nan,nan|nan,1.895781e0,nan,false,2,2,true,false,nan,lipschitz,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,nan,20262,0,nan,nan|nan,nan,14.458612,1.519574e-33,1.930950e-11,2,1.000000|1.728824,nan,false,2.716769e-3,6.501537e-4,4.178656,5.264772e-1|6.264500e-1|9.812584e-1|1.851664e0|1.895781e0,3.600879,nan,bound_not_exact,false,5
fbm_terrain,19|27|35|47|63,nan,nan|nan,1.119853e0,nan,false,2,2,true,false,nan,unbounded,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,nan,8066,0,nan,nan|nan,nan,14.458612,1.519574e-33,1.930950e-11,2,1.000011|3.278343,nan,false,2.716769e-3,6.501537e-4,4.178656,4.210979e-1|6.202388e-1|8.397800e-1|9.169507e-1|1.119853e0,2.659365,nan,bound_not_exact,false,0
noise_cavity,19|27|35|47|63,nan,nan|nan,1.163899e2,nan,false,2,2,true,false,nan,unbounded,20,true,0.000000,0.000000,0.250000,0.380859,false,0,4,nan,27190,0,nan,nan|nan,nan,14.458612,1.519574e-33,1.930950e-11,2,0.047665|10.005683,nan,false,2.716769e-3,6.501537e-4,4.178656,8.184663e0|1.727400e1|1.704902e1|2.234817e1|1.163899e2,14.220486,nan,bound_not_exact,false,1
