# experiment P-122 (R-122)
# hypothesis: STREAM VBYTE KEEPS A DENSE CONTROL STREAM AND A VARIABLE-LENGTH DATA STREAM SEPARATE SO THE DECODER NEVER BRANCHES ON PAYLOAD, AND ONLY THE LAYOUT TRANSFERS HERE. What this registration must state: Stream VByte's 4 billion integers per second on a 3.4 GHz Haswell is the SIMD path, so that figure is NOT A COMPARAND for a scalar arm and must not be scored against. (C1) Splitting the per-cell case index into a dense control stream and the variable-length vertex payload into a second stream REDUCES BRANCH MISPREDICTIONS PER CELL. (C2) Total instructions per cell rise by no more than 10%. (C3) Identical mesh. INSTRUMENT: common::counters::Probe's BRANCH_MISSES; refuse and exit(1) off Linux, because it is the only instrument that can see the quantity C1 is about. SHARE: C1 is a per-cell counter ratio rather than a fraction of extraction time, and C2 is a cost bound -- so no time claim is made and x51's bar does not apply. Whether a misprediction reduction is worth anything in wall time is a question this row deliberately does not answer.
# falsified by: C1 by no branch-misprediction reduction, measured with counters on Linux. C2 by instructions per cell rising more than 10%, which would mean the split pays for itself in the other currency. C3 by any mesh difference. VACUITY CONTROL: branch_misses_per_cell_single must be NON-ZERO on the single-stream arm, or there is no misprediction to remove and the ratio is division by a floor.
# commit 8098ba4 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:50:29Z
field,resolution,arm,branch_misses_per_cell_single,branch_misses_per_cell_split,branch_miss_ratio,instructions_per_cell_single,instructions_per_cell_split,instruction_ratio,mesh_identical,c1_holds,c2_holds,c3_holds,active_fraction,best_branch_miss_ratio,branch_miss_ratio_rep_best,branch_miss_ratio_rep_worst,branch_miss_ratio_single_first,branch_miss_ratio_split_first,branch_misses_per_cell,c1_holds_all_rows,c2_holds_all_rows,c3_holds_all_rows,cache_misses_per_cell,cells,control_stream_bytes,count_ones_calls_per_cell_single,count_ones_calls_per_cell_split,cycles_per_cell,emitting_cells,extra_branch_misses_per_pass,extra_branch_misses_per_x_row,extractor,gather_calls_ratio,gather_calls_single,gather_calls_split,ghz,inner_reps,instruction_ratio_rep_spread,instructions_per_cell,ipc,l1d_read_misses_per_cell,mesh_identical_to_shipped,ns_per_cell,payload_length_table_bytes,reps,rows_reducing_branch_misses,rows_total,scalar,target_feature_popcnt,triangles,vertices,worst_branch_miss_ratio,worst_instruction_ratio,x_rows
gyroid,65,single_stream,0.230113,0.230393,1.001214,194.1001,181.8133,0.936699,true,false,true,true,0.081757,1.001214,0.989480,1.066253,1.002346,0.999613,0.230113,false,true,true,0.085923,262144,262144,0,0,60.3654,21432,73.2,0.0179,marching_cubes,1.081757,262144,283576,4.1805,27,0.000000,194.1001,3.2154,0.524075,true,14.439802,256,16,0,16,f32,false,43116,21534,1.983313,0.970606,4096
gyroid,65,split_stream,0.230113,0.230393,1.001214,194.1001,181.8133,0.936699,true,false,true,true,0.081757,1.001214,0.989480,1.066253,1.002346,0.999613,0.230393,false,true,true,0.107110,262144,262144,0,0,54.6230,21432,73.2,0.0179,marching_cubes,1.081757,262144,283576,4.1794,27,0.000000,181.8133,3.3285,0.621410,true,13.069517,256,16,0,16,f32,false,43116,21534,1.983313,0.970606,4096
fbm_terrain,65,single_stream,0.094857,0.097405,1.026864,234.6513,218.8627,0.932715,true,false,true,true,0.032093,1.001214,0.999837,1.167945,1.026657,1.126336,0.094857,false,true,true,0.042121,262144,262144,0,0,61.0964,8413,668.0,0.1631,marching_cubes,1.032093,262144,270557,4.1821,27,0.000000,234.6513,3.8407,0.400793,true,14.609202,256,16,0,16,f32,false,16884,8638,1.983313,0.970606,4096
fbm_terrain,65,split_stream,0.094857,0.097405,1.026864,234.6513,218.8627,0.932715,true,false,true,true,0.032093,1.001214,0.999837,1.167945,1.026657,1.126336,0.097405,false,true,true,0.048051,262144,262144,0,0,55.2474,8413,668.0,0.1631,marching_cubes,1.032093,262144,270557,4.1828,27,0.000000,218.8627,3.9615,0.434841,true,13.208349,256,16,0,16,f32,false,16884,8638,1.983313,0.970606,4096
noise_cavity,65,single_stream,0.250699,0.251252,1.002204,306.5750,297.5637,0.970606,true,false,true,true,0.108242,1.001214,0.980458,1.089766,1.000044,1.010794,0.250699,false,true,true,0.065551,262144,262144,0,0,86.5075,28375,144.8,0.0354,marching_cubes,1.108242,262144,290519,4.1795,19,0.000000,306.5750,3.5439,0.571967,true,20.698171,256,16,0,16,f32,false,58112,28882,1.983313,0.970606,4096
noise_cavity,65,split_stream,0.250699,0.251252,1.002204,306.5750,297.5637,0.970606,true,false,true,true,0.108242,1.001214,0.980458,1.089766,1.000044,1.010794,0.251252,false,true,true,0.076951,262144,262144,0,0,82.1391,28375,144.8,0.0354,marching_cubes,1.108242,262144,290519,4.1796,19,0.000000,297.5637,3.6227,0.658772,true,19.652190,256,16,0,16,f32,false,58112,28882,1.983313,0.970606,4096
sphere,129,single_stream,0.014876,0.022801,1.532730,121.6200,104.6017,0.860070,true,false,true,true,0.009171,1.001214,1.517786,1.547453,1.532823,1.530097,0.014876,false,true,true,0.019096,2097152,2097152,0,0,29.9287,19232,16619.6,1.0144,marching_cubes,1.009171,2097152,2116384,4.1803,7,0.000000,121.6200,4.0637,0.147739,true,7.159513,256,16,0,16,f32,false,38456,19230,1.983313,0.970606,16384
sphere,129,split_stream,0.014876,0.022801,1.532730,121.6200,104.6017,0.860070,true,false,true,true,0.009171,1.001214,1.517786,1.547453,1.532823,1.530097,0.022801,false,true,true,0.019829,2097152,2097152,0,0,23.7146,19232,16619.6,1.0144,marching_cubes,1.009171,2097152,2116384,4.1815,7,0.000000,104.6017,4.4108,0.193936,true,5.671254,256,16,0,16,f32,false,38456,19230,1.983313,0.970606,16384
torus,129,single_stream,0.014262,0.022135,1.552089,121.4805,104.3867,0.859287,true,false,true,true,0.008312,1.001214,1.539855,1.568352,1.557841,1.549896,0.014262,false,true,true,0.022812,2097152,2097152,0,0,29.7842,17432,16512.4,1.0078,marching_cubes,1.008312,2097152,2114584,4.1808,7,0.000000,121.4805,4.0787,0.147863,true,7.124071,256,16,0,16,f32,false,34864,17432,1.983313,0.970606,16384
torus,129,split_stream,0.014262,0.022135,1.552089,121.4805,104.3867,0.859287,true,false,true,true,0.008312,1.001214,1.539855,1.568352,1.557841,1.549896,0.022135,false,true,true,0.018765,2097152,2097152,0,0,23.5992,17432,16512.4,1.0078,marching_cubes,1.008312,2097152,2114584,4.1815,7,0.000000,104.3867,4.4233,0.189011,true,5.643761,256,16,0,16,f32,false,34864,17432,1.983313,0.970606,16384
