# experiment P-150 (R-150)
# hypothesis: THIS ROW EXISTS BECAUSE THE HEADLINE NUMBER FOR GROUP D IS NOT WHAT IT LOOKS LIKE. Cao's Table 2 (10.1090/S0025-5718-07-01981-3, in corpus) does show 5.43e-7 versus 2.79e-6 at N_e ~ 16,000 -- a real 5.1x spread, and the element counts match to within 1.4%, not exactly. But the two metrics are optimised for different norms: in H^1 the ranking reverses. And Cao writes that his theory holds 'in all the cases except the L^1-error of quadratic interpolation' -- the L^1 column is the one place his own optimal metric does not win. Building on that column is the weakest available ground and the registration says so before anyone quotes 5.1x as a free win. (C1) On our fields, the metric optimised for a given norm wins in that norm -- the property Cao's theory asserts and his L^1 column violates. (C2) Any violation we find is characterised, and the comparison is always reported within a norm, never across two. SHARE: none -- this is a methodology guard.
# falsified by: C1 by a violation, which would reproduce Cao's anomaly on different data and would be a genuine contribution to a question his paper leaves open. C2 by an uncharacterisable violation. VACUITY CONTROL: at least three norms must be run, or 'within a norm' is not a constraint.
# commit 249ff31 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:33Z
norm,metric,element_count,error_measured,optimal_metric_wins,anomaly_reproduced,cao_table_agreement,c1_holds,c2_holds,anomaly_reproduced_global,aspect_ratio_max,aspect_ratio_max_off_floor,at_floor_cells,at_floor_fraction,band_samples,c1_global_holds,c2_global_holds,cao_element_match_reference,cao_spread_reference,cell_size,complexity_measured,complexity_rel_error,complexity_target,continuous_agrees,continuous_error,continuous_winner_metric,continuous_wins,det_floored_log_variance,domain_extent,element_extent_max,element_extent_relative,field,group_arms,group_key,groups_resolved,groups_total,loss_margin_relative,metric_exponent,metric_scale,norm_dependent_winner_rungs,p_exponent,quadratic_model_ratio,ranking_resolved,resolution,runner_up_margin_relative,spread_in_norm,stencil_points,top_cell_share,violation_mechanism,violations_in_l1,violations_outside_l1,violations_total,winner_metric
L^1,M_L1,422,1.230105e1,true,false,theory_holds,true,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,true,5.197108e-2,M_L1,true,1.255257e1,4.000000,8.112633e2,2.028158e2,sphere,4,sphere|17|L^1,96,96,0.000000e0,1,2.673104e1,0,1,1.110569e0,true,17,6.350631e-1,5.639439,21,0.058533,none,0,72,72,M_L1
L^1,M_L2,422,2.011300e1,true,false,theory_holds,true,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,4.441e-16,422,true,5.223626e-2,M_L1,true,1.255257e1,4.000000,1.306100e3,3.265251e2,sphere,4,sphere|17|L^1,96,96,0.000000e0,2,3.271282e1,0,1,1.106961e0,true,17,6.350631e-1,5.639439,21,0.057661,none,0,72,72,M_L1
L^1,M_L3,422,2.645386e1,true,false,theory_holds,true,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,true,5.263087e-2,M_L1,true,1.255257e1,4.000000,1.703443e3,4.258608e2,sphere,4,sphere|17|L^1,96,96,0.000000e0,3,3.652021e1,0,1,1.105529e0,true,17,6.350631e-1,5.639439,21,0.057188,none,0,72,72,M_L1
L^1,M_Linf,422,6.937104e1,true,false,theory_holds,true,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,3.775e-15,422,true,5.647648e-2,M_L1,true,1.255257e1,4.000000,4.338836e3,1.084709e3,sphere,4,sphere|17|L^1,96,96,0.000000e0,inf,5.311945e1,0,1,1.111074e0,true,17,6.350631e-1,5.639439,21,0.055567,none,0,72,72,M_L1
L^2,M_L1,422,5.957931e1,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,false,5.393092e-2,M_L2,true,1.255257e1,4.000000,8.112633e2,2.028158e2,sphere,4,sphere|17|L^2,96,96,6.346019e-1,1,2.673104e1,0,2,1.110569e0,true,17,6.346019e-1,5.636663,21,0.061633,element_exceeds_domain,0,72,72,M_L1
L^2,M_L2,422,9.738845e1,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,4.441e-16,422,false,5.363580e-2,M_L2,true,1.255257e1,4.000000,1.306100e3,3.265251e2,sphere,4,sphere|17|L^2,96,96,6.346019e-1,2,3.271282e1,0,2,1.106961e0,true,17,6.346019e-1,5.636663,21,0.059844,element_exceeds_domain,0,72,72,M_L1
L^2,M_L3,422,1.280775e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,false,5.372750e-2,M_L2,true,1.255257e1,4.000000,1.703443e3,4.258608e2,sphere,4,sphere|17|L^2,96,96,6.346019e-1,3,3.652021e1,0,2,1.105529e0,true,17,6.346019e-1,5.636663,21,0.058878,element_exceeds_domain,0,72,72,M_L1
L^2,M_Linf,422,3.358285e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,3.775e-15,422,false,5.647648e-2,M_L2,true,1.255257e1,4.000000,4.338836e3,1.084709e3,sphere,4,sphere|17|L^2,96,96,6.346019e-1,inf,5.311945e1,0,2,1.111074e0,true,17,6.346019e-1,5.636663,21,0.055598,element_exceeds_domain,0,72,72,M_L1
L^3,M_L1,422,1.008807e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,false,5.526279e-2,M_L3,true,1.255257e1,4.000000,8.112633e2,2.028158e2,sphere,4,sphere|17|L^3,96,96,1.148416e0,1,2.673104e1,0,3,1.110569e0,true,17,6.339089e-1,5.631829,21,0.064749,element_exceeds_domain,0,72,72,M_L1
L^3,M_L2,422,1.648299e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,4.441e-16,422,false,5.448400e-2,M_L3,true,1.255257e1,4.000000,1.306100e3,3.265251e2,sphere,4,sphere|17|L^3,96,96,1.148416e0,2,3.271282e1,0,3,1.106961e0,true,17,6.339089e-1,5.631829,21,0.062031,element_exceeds_domain,0,72,72,M_L1
L^3,M_L3,422,2.167337e2,false,false,violation_outside_l1,false,true,false,1.298221e9,1.538686e2,18,0.042654,422,false,true,0.014000,5.138122,0.250000000,4.220000e2,1.776e-15,422,false,5.437276e-2,M_L3,true,1.255257e1,4.000000,1.703443e3,4.258608e2,sphere,4,sphere|17|L^3,96,96,1.148416e0,3,3.652021e1,0,3,1.105529e0,true,17,6.339089e-1,5.631829,21,0.060565,element_exceeds_domain,0,72,72,M_L1
